Lflavo2a000001P1 lcl|NW_015149102.1_prot_XP_015187713.1_18870
Lflavo2a003803P1 lcl|NW_015148972.1_prot_XP_015186857.1_1389
Lflavo2a003804P1 lcl|NW_015148992.1_prot_XP_015175370.1_7741
Lflavo2a003805P1 lcl|NW_015148972.1_prot_XP_015181279.1_1376
Lflavo2a003806P1 lcl|NW_015149047.1_prot_XP_015184105.1_15532
Lflavo2a003808P1 lcl|NW_015149047.1_prot_XP_015184041.1_15536
Lflavo2a003809P1 lcl|NW_015149016.1_prot_XP_015180475.1_12253
Lflavo2a003811P1 lcl|NW_015149016.1_prot_XP_015180516.1_12392
Lflavo2a003812P1 lcl|NW_015148973.1_prot_XP_015189222.1_2287
Lflavo2a003813P1 lcl|NW_015149131.1_prot_XP_015188626.1_19700
Lflavo2a003814P1 lcl|NW_015149020.1_prot_XP_015181013.1_12768
Lflavo2a003815P1 lcl|NW_015148972.1_prot_XP_015186843.1_1388
Lflavo2a003816P1 lcl|NW_015149047.1_prot_XP_015184038.1_15534
Lflavo2a003816P2 lcl|NW_015149047.1_prot_XP_015184039.1_15535
Lflavo2a003819P1 lcl|NW_015148972.1_prot_XP_015186823.1_1384
Lflavo2a003820P1 lcl|NW_015149092.1_prot_XP_015187121.1_18325
Lflavo2a003822P1 lcl|NW_015149020.1_prot_XP_015180954.1_12791
Lflavo2a003824P1 lcl|NW_015148992.1_prot_XP_015175254.1_7744
Lflavo2a003825P1 lcl|NW_015149047.1_prot_XP_015183954.1_15530
Lflavo2a003826P1 lcl|NW_015148998.1_prot_XP_015176446.1_8830
Lflavo2a003827P1 lcl|NW_015148998.1_prot_XP_015176441.1_8814
Lflavo2a003828P1 lcl|NW_015149016.1_prot_XP_015180511.1_12385
Lflavo2a003830P1 lcl|NW_015149083.1_prot_XP_015186672.1_17896
Lflavo2a003833P1 lcl|NW_015149016.1_prot_XP_015180474.1_12251
Lflavo2a003835P1 lcl|NW_015149020.1_prot_XP_015180959.1_12792
Lflavo2a003839P1 lcl|NW_015149020.1_prot_XP_015180958.1_12780
Lflavo2a003840P1 lcl|NW_015149006.1_prot_XP_015178002.1_10063
Lflavo2a003843P1 lcl|NW_015148973.1_prot_XP_015189199.1_2290
Lflavo2a003846P1 lcl|NW_015148973.1_prot_XP_015190042.1_2557
Lflavo2a003847P1 lcl|NW_015148972.1_prot_XP_015182201.1_1395
Lflavo2a003849P1 lcl|NW_015148972.1_prot_XP_015182171.1_1392
Lflavo2a003851P1 lcl|NW_015148994.1_prot_XP_015175650.1_8062
Lflavo2a003860P1 lcl|NW_015149157.1_prot_XP_015189098.1_20113
Lflavo2a003862P1 lcl|NW_015149023.1_prot_XP_015181387.1_13252
Lflavo2a003865P2 lcl|NW_015149157.1_prot_XP_015189111.1_20112
Lflavo2a003866P1 lcl|NW_015149157.1_prot_XP_015189117.1_20109
Lflavo2a003869P1 lcl|NW_015149023.1_prot_XP_015181381.1_13250
Lflavo2a003874P1 lcl|NW_015149023.1_prot_XP_015181380.1_13249
Lflavo2a003875P1 lcl|NW_015149157.1_prot_XP_015189118.1_20101
Lflavo2a003876P1 lcl|NW_015149157.1_prot_XP_015189110.1_20111
Lflavo2a003877P1 lcl|NW_015149157.1_prot_XP_015189101.1_20114
Lflavo2a003878P1 lcl|NW_015149157.1_prot_XP_015189099.1_20117
Lflavo2a003880P1 lcl|NW_015149157.1_prot_XP_015189121.1_20100
Lflavo2a003882P1 lcl|NW_015149157.1_prot_XP_015189100.1_20116
Lflavo2a003883P1 lcl|NW_015149157.1_prot_XP_015189109.1_20103
Lflavo2a003883P2 lcl|NW_015149157.1_prot_XP_015189108.1_20104
Lflavo2a003885P2 lcl|NW_015149157.1_prot_XP_015189104.1_20105
Lflavo2a003889P1 lcl|NW_015148971.1_prot_XP_015180766.1_1266
Lflavo2a003902P1 lcl|NW_015149066.1_prot_XP_015185537.1_16943
Lflavo2a003937P1 lcl|NW_015148974.1_prot_XP_015190531.1_2711
Lflavo2a003938P2 lcl|NW_015148974.1_prot_XP_015190636.1_2726
Lflavo2a003939P1 lcl|NW_015148974.1_prot_XP_015190530.1_2710
Lflavo2a003940P1 lcl|NW_015149037.1_prot_XP_015182920.1_14594
Lflavo2a003943P1 lcl|NW_015148974.1_prot_XP_015190603.1_2700
Lflavo2a003944P2 lcl|NW_015148976.1_prot_XP_015191773.1_3551
Lflavo2a003944P3 lcl|NW_015148976.1_prot_XP_015191774.1_3552
Lflavo2a003945P1 lcl|NW_015148974.1_prot_XP_015190632.1_2730
Lflavo2a003946P1 lcl|NW_015148974.1_prot_XP_015190885.1_2714
Lflavo2a003947P1 lcl|NW_015148974.1_prot_XP_015190602.1_2698
Lflavo2a003948P1 lcl|NW_015148976.1_prot_XP_015191604.1_3713
Lflavo2a003950P1 lcl|NW_015148976.1_prot_XP_015191781.1_3718
Lflavo2a003954P1 lcl|NW_015148974.1_prot_XP_015190593.1_2687
Lflavo2a003956P1 lcl|NW_015148976.1_prot_XP_015191777.1_3714
Lflavo2a003957P1 lcl|NW_015148976.1_prot_XP_015191779.1_3716
Lflavo2a003958P1 lcl|NW_015148974.1_prot_XP_015190606.1_2697
Lflavo2a003961P1 lcl|NW_015148974.1_prot_XP_015190970.1_2713
Lflavo2a003965P1 lcl|NW_015148974.1_prot_XP_015190608.1_2696
Lflavo2a003966P1 lcl|NW_015148976.1_prot_XP_015191780.1_3717
Lflavo2a003967P1 lcl|NW_015148976.1_prot_XP_015191764.1_3544
Lflavo2a003970P1 lcl|NW_015148976.1_prot_XP_015191769.1_3548
Lflavo2a003973P1 lcl|NW_015148974.1_prot_XP_015190631.1_2728
Lflavo2a003974P1 lcl|NW_015148976.1_prot_XP_015191782.1_3719
Lflavo2a003976P1 lcl|NW_015148974.1_prot_XP_015190910.1_2702
Lflavo2a003977P1 lcl|NW_015148976.1_prot_XP_015191799.1_3712
Lflavo2a003978P1 lcl|NW_015148974.1_prot_XP_015190919.1_2725
Lflavo2a003979P1 lcl|NW_015148974.1_prot_XP_015190916.1_2708
Lflavo2a003984P1 lcl|NW_015148976.1_prot_XP_015191772.1_3550
Lflavo2a003986P1 lcl|NW_015148974.1_prot_XP_015190638.1_2729
Lflavo2a003987P1 lcl|NW_015149071.1_prot_XP_015185993.1_17319
Lflavo2a003988P1 lcl|NW_015149133.1_prot_XP_015188699.1_19744
Lflavo2a003989P1 lcl|NW_015149071.1_prot_XP_015185992.1_17318
Lflavo2a003991P2 lcl|NW_015149045.1_prot_XP_015183846.1_15378
Lflavo2a003992P1 lcl|NW_015148984.1_prot_XP_015173327.1_5930
Lflavo2a003993P1 lcl|NW_015149008.1_prot_XP_015178554.1_10486
Lflavo2a003995P1 lcl|NW_015149008.1_prot_XP_015178551.1_10493
Lflavo2a003998P1 lcl|NW_015148984.1_prot_XP_015173365.1_5923
Lflavo2a004002P1 lcl|NW_015148984.1_prot_XP_015173254.1_5937
Lflavo2a004003P1 lcl|NW_015149008.1_prot_XP_015178550.1_10492
Lflavo2a004004P1 lcl|NW_015149133.1_prot_XP_015188697.1_19748
Lflavo2a004006P1 lcl|NW_015148984.1_prot_XP_015173256.1_5939
Lflavo2a004009P1 lcl|NW_015149133.1_prot_XP_015188698.1_19746
Lflavo2a004012P1 lcl|NW_015149004.1_prot_XP_015177523.1_9836
Lflavo2a004014P1 lcl|NW_015149008.1_prot_XP_015178573.1_10477
Lflavo2a004015P1 lcl|NW_015148984.1_prot_XP_015173275.1_5955
Lflavo2a004016P1 lcl|NW_015148984.1_prot_XP_015173251.1_5934
Lflavo2a004019P1 lcl|NW_015149031.1_prot_XP_015182300.1_14086
Lflavo2a004020P1 lcl|NW_015149031.1_prot_XP_015182304.1_14088
Lflavo2a004021P3 lcl|NW_015148984.1_prot_XP_015173301.1_5921
Lflavo2a004029P1 lcl|NW_015149008.1_prot_XP_015178524.1_10481
Lflavo2a004030P1 lcl|NW_015149145.1_prot_XP_015188928.1_19930
Lflavo2a004032P1 lcl|NW_015149071.1_prot_XP_015185995.1_17315
Lflavo2a004033P1 lcl|NW_015148984.1_prot_XP_015173362.1_5927
Lflavo2a004034P1 lcl|NW_015148970.1_prot_XP_015173605.1_712
Lflavo2a004035P1 lcl|NW_015149071.1_prot_XP_015185997.1_17313
Lflavo2a004036P1 lcl|NW_015148984.1_prot_XP_015173274.1_5956
Lflavo2a004038P1 lcl|NW_015149071.1_prot_XP_015185998.1_17314
Lflavo2a004039P1 lcl|NW_015149004.1_prot_XP_015177598.1_9829
Lflavo2a004041P1 lcl|NW_015149031.1_prot_XP_015182297.1_14091
Lflavo2a004042P1 lcl|NW_015149031.1_prot_XP_015182305.1_14089
Lflavo2a004043P1 lcl|NW_015148984.1_prot_XP_015173387.1_5925
Lflavo2a004046P1 lcl|NW_015149133.1_prot_XP_015188695.1_19747
Lflavo2a004047P1 lcl|NW_015149008.1_prot_XP_015178567.1_10485
Lflavo2a004050P3 lcl|NW_015148984.1_prot_XP_015173267.1_5950
Lflavo2a004050P5 lcl|NW_015148984.1_prot_XP_015173270.1_5946
Lflavo2a004058P1 lcl|NW_015148984.1_prot_XP_015173250.1_5933
Lflavo2a004059P1 lcl|NW_015148988.1_prot_XP_015174387.1_6882
Lflavo2a004064P1 lcl|NW_015149006.1_prot_XP_015177984.1_10050
Lflavo2a004067P1 lcl|NW_015148985.1_prot_XP_015173538.1_6161
Lflavo2a004068P1 lcl|NW_015149006.1_prot_XP_015177937.1_10032
Lflavo2a004070P1 lcl|NW_015149006.1_prot_XP_015177983.1_10049
Lflavo2a004071P1 lcl|NW_015149006.1_prot_XP_015177985.1_10051
Lflavo2a004072P1 lcl|NW_015149006.1_prot_XP_015177940.1_10035
Lflavo2a004075P1 lcl|NW_015149006.1_prot_XP_015177943.1_10037
Lflavo2a004078P1 lcl|NW_015148985.1_prot_XP_015173540.1_6162
Lflavo2a004079P1 lcl|NW_015149006.1_prot_XP_015177936.1_10048
Lflavo2a004082P1 lcl|NW_015149006.1_prot_XP_015178025.1_10047
Lflavo2a004087P1 lcl|NW_015148986.1_prot_XP_015173771.1_6216
Lflavo2a004088P1 lcl|NW_015148986.1_prot_XP_015173763.1_6209
Lflavo2a004089P1 lcl|NW_015149155.1_prot_XP_015189076.1_20067
Lflavo2a004090P1 lcl|NW_015148970.1_prot_XP_015173245.1_583
Lflavo2a004091P1 lcl|NW_015149041.1_prot_XP_015183433.1_15082
Lflavo2a004092P13 lcl|NW_015148970.1_prot_XP_015184896.1_571
Lflavo2a004092P2 lcl|NW_015148970.1_prot_XP_015185139.1_569
Lflavo2a004092P21 lcl|NW_015148970.1_prot_XP_015185451.1_570
Lflavo2a004092P22 lcl|NW_015148970.1_prot_XP_015185217.1_567
Lflavo2a004092P7 lcl|NW_015148970.1_prot_XP_015185371.1_565
Lflavo2a004093P1 lcl|NW_015149092.1_prot_XP_015187129.1_18334
Lflavo2a004094P1 lcl|NW_015148978.1_prot_XP_015171602.1_4428
Lflavo2a004095P1 lcl|NW_015148973.1_prot_XP_015190053.1_2138
Lflavo2a004096P1 lcl|NW_015149046.1_prot_XP_015183940.1_15472
Lflavo2a004097P1 lcl|NW_015148970.1_prot_XP_015184398.1_560
Lflavo2a004098P1 lcl|NW_015148978.1_prot_XP_015171600.1_4427
Lflavo2a004099P1 lcl|NW_015149015.1_prot_XP_015180237.1_11926
Lflavo2a004102P2 lcl|NW_015149015.1_prot_XP_015180167.1_11927
Lflavo2a004104P1 lcl|NW_015148970.1_prot_XP_015183758.1_554
Lflavo2a004105P1 lcl|NW_015148970.1_prot_XP_015190519.1_553
Lflavo2a004106P1 lcl|NW_015149002.1_prot_XP_015177237.1_9473
Lflavo2a004107P2 lcl|NW_015148978.1_prot_XP_015171722.1_4324
Lflavo2a004110P1 lcl|NW_015148978.1_prot_XP_015171598.1_4425
Lflavo2a004112P1 lcl|NW_015149127.1_prot_XP_015188506.1_19578
Lflavo2a004113P1 lcl|NW_015149092.1_prot_XP_015187127.1_18330
Lflavo2a004114P1 lcl|NW_015149041.1_prot_XP_015183424.1_15088
Lflavo2a004115P12 lcl|NW_015148978.1_prot_XP_015171496.1_4418
Lflavo2a004115P17 lcl|NW_015148978.1_prot_XP_015171497.1_4420
Lflavo2a004115P3 lcl|NW_015148978.1_prot_XP_015171499.1_4423
Lflavo2a004115P5 lcl|NW_015148978.1_prot_XP_015171498.1_4422
Lflavo2a004115P8 lcl|NW_015148978.1_prot_XP_015171503.1_4419
Lflavo2a004116P1 lcl|NW_015148970.1_prot_XP_015172032.1_12
Lflavo2a004117P1 lcl|NW_015149002.1_prot_XP_015177245.1_9479
Lflavo2a004119P1 lcl|NW_015148986.1_prot_XP_015173768.1_6210
Lflavo2a004121P2 lcl|NW_015149131.1_prot_XP_015188618.1_19690
Lflavo2a004121P3 lcl|NW_015149131.1_prot_XP_015188619.1_19691
Lflavo2a004121P4 lcl|NW_015149131.1_prot_XP_015188617.1_19692
Lflavo2a004122P2 lcl|NW_015149894.1_prot_XP_015189917.1_20801
Lflavo2a004123P1 lcl|NW_015149010.1_prot_XP_015178985.1_11061
Lflavo2a004124P1 lcl|NW_015149010.1_prot_XP_015178908.1_11060
Lflavo2a004125P1 lcl|NW_015149046.1_prot_XP_015183945.1_15469
Lflavo2a004126P1 lcl|NW_015149041.1_prot_XP_015183394.1_15083
Lflavo2a004128P1 lcl|NW_015148970.1_prot_XP_015173933.1_587
Lflavo2a004129P3 lcl|NW_015149002.1_prot_XP_015177227.1_9480
Lflavo2a004131P1 lcl|NW_015149041.1_prot_XP_015183415.1_15086
Lflavo2a004132P1 lcl|NW_015149092.1_prot_XP_015187124.1_18328
Lflavo2a004133P1 lcl|NW_015148970.1_prot_XP_015185956.1_576
Lflavo2a004135P1 lcl|NW_015149092.1_prot_XP_015187139.1_18343
Lflavo2a004137P1 lcl|NW_015148970.1_prot_XP_015185663.1_574
Lflavo2a004139P1 lcl|NW_015149046.1_prot_XP_015183947.1_15468
Lflavo2a004140P1 lcl|NW_015149075.1_prot_XP_015186278.1_17560
Lflavo2a004141P1 lcl|NW_015149002.1_prot_XP_015177204.1_9490
Lflavo2a004142P1 lcl|NW_015149046.1_prot_XP_015183918.1_15475
Lflavo2a004143P1 lcl|NW_015149092.1_prot_XP_015187155.1_18351
Lflavo2a004144P1 lcl|NW_015148973.1_prot_XP_015190405.1_1891
Lflavo2a004146P1 lcl|NW_015149046.1_prot_XP_015183948.1_15465
Lflavo2a004149P1 lcl|NW_015149041.1_prot_XP_015183413.1_15084
Lflavo2a004151P1 lcl|NW_015149002.1_prot_XP_015177383.1_9489
Lflavo2a004152P1 lcl|NW_015149010.1_prot_XP_015178909.1_11055
Lflavo2a004153P1 lcl|NW_015149131.1_prot_XP_015188645.1_19685
Lflavo2a004154P2 lcl|NW_015149210.1_prot_XP_015189575.1_20513
Lflavo2a004155P1 lcl|NW_015149010.1_prot_XP_015178799.1_11051
Lflavo2a004156P1 lcl|NW_015149131.1_prot_XP_015188615.1_19689
Lflavo2a004157P2 lcl|NW_015148970.1_prot_XP_015173219.1_581
Lflavo2a004158P2 lcl|NW_015149015.1_prot_XP_015180170.1_11929
Lflavo2a004159P1 lcl|NW_015149046.1_prot_XP_015183938.1_15470
Lflavo2a004161P1 lcl|NW_015148990.1_prot_XP_015174540.1_7317
Lflavo2a004163P1 lcl|NW_015149010.1_prot_XP_015178914.1_11054
Lflavo2a004164P1 lcl|NW_015149092.1_prot_XP_015187134.1_18339
Lflavo2a004165P2 lcl|NW_015149002.1_prot_XP_015177378.1_9491
Lflavo2a004165P3 lcl|NW_015149002.1_prot_XP_015177382.1_9495
Lflavo2a004166P1 lcl|NW_015148986.1_prot_XP_015173770.1_6214
Lflavo2a004167P3 lcl|NW_015148970.1_prot_XP_015187989.1_14
Lflavo2a004168P1 lcl|NW_015149092.1_prot_XP_015187123.1_18327
Lflavo2a004169P3 lcl|NW_015149092.1_prot_XP_015187138.1_18350
Lflavo2a004169P6 lcl|NW_015149092.1_prot_XP_015187137.1_18349
Lflavo2a004170P1 lcl|NW_015149092.1_prot_XP_015187110.1_18332
Lflavo2a004171P1 lcl|NW_015149092.1_prot_XP_015187146.1_18341
Lflavo2a004172P1 lcl|NW_015148978.1_prot_XP_015171443.1_4328
Lflavo2a004174P1 lcl|NW_015148970.1_prot_XP_015172052.1_1
Lflavo2a004175P1 lcl|NW_015148978.1_prot_XP_015171478.1_4405
Lflavo2a004177P1 lcl|NW_015148970.1_prot_XP_015186065.1_577
Lflavo2a004180P1 lcl|NW_015149010.1_prot_XP_015178817.1_10857
Lflavo2a004183P1 lcl|NW_015148970.1_prot_XP_015184271.1_559
Lflavo2a004186P1 lcl|NW_015148970.1_prot_XP_015183969.1_556
Lflavo2a004188P1 lcl|NW_015149010.1_prot_XP_015179010.1_10985
Lflavo2a004189P1 lcl|NW_015148970.1_prot_XP_015184781.1_564
Lflavo2a004190P1 lcl|NW_015149092.1_prot_XP_015187132.1_18337
Lflavo2a004191P1 lcl|NW_015148986.1_prot_XP_015173767.1_6211
Lflavo2a004192P1 lcl|NW_015148978.1_prot_XP_015171599.1_4424
Lflavo2a004193P1 lcl|NW_015148970.1_prot_XP_015172435.1_591
Lflavo2a004196P1 lcl|NW_015148970.1_prot_XP_015176433.1_636
Lflavo2a004197P1 lcl|NW_015149015.1_prot_XP_015180134.1_12042
Lflavo2a004199P1 lcl|NW_015149015.1_prot_XP_015180233.1_12039
Lflavo2a004201P1 lcl|NW_015148970.1_prot_XP_015175966.1_629
Lflavo2a004203P1 lcl|NW_015148974.1_prot_XP_015190628.1_2840
Lflavo2a004208P1 lcl|NW_015149015.1_prot_XP_015180248.1_12038
Lflavo2a004211P1 lcl|NW_015148984.1_prot_XP_015173292.1_5913
Lflavo2a004212P1 lcl|NW_015148970.1_prot_XP_015180820.1_649
Lflavo2a004216P1 lcl|NW_015149015.1_prot_XP_015180143.1_12040
Lflavo2a004217P1 lcl|NW_015148981.1_prot_XP_015172617.1_5226
Lflavo2a004217P2 lcl|NW_015148981.1_prot_XP_015172618.1_5227
Lflavo2a004223P1 lcl|NW_015148990.1_prot_XP_015174615.1_7198
Lflavo2a004227P2 lcl|NW_015148984.1_prot_XP_015173361.1_5920
Lflavo2a004234P1 lcl|NW_015148970.1_prot_XP_015180947.1_646
Lflavo2a004236P1 lcl|NW_015148990.1_prot_XP_015174624.1_7205
Lflavo2a004237P1 lcl|NW_015148974.1_prot_XP_015190844.1_2841
Lflavo2a004239P1 lcl|NW_015148970.1_prot_XP_015180562.1_650
Lflavo2a004240P1 lcl|NW_015148970.1_prot_XP_015177312.1_630
Lflavo2a004246P1 lcl|NW_015148990.1_prot_XP_015174617.1_7200
Lflavo2a004255P1 lcl|NW_015148980.1_prot_XP_015172369.1_5047
Lflavo2a004256P2 lcl|NW_015149004.1_prot_XP_015177599.1_9766
Lflavo2a004258P1 lcl|NW_015149004.1_prot_XP_015177604.1_9762
Lflavo2a004259P1 lcl|NW_015148980.1_prot_XP_015172368.1_5046
Lflavo2a004260P1 lcl|NW_015148984.1_prot_XP_015173320.1_5849
Lflavo2a004261P1 lcl|NW_015148976.1_prot_XP_015191738.1_3690
Lflavo2a004265P1 lcl|NW_015149120.1_prot_XP_015188308.1_19423
Lflavo2a004270P1 lcl|NW_015149026.1_prot_XP_015181841.1_13687
Lflavo2a004271P1 lcl|NW_015149014.1_prot_XP_015179938.1_11847
Lflavo2a004272P1 lcl|NW_015149026.1_prot_XP_015181921.1_13698
Lflavo2a004275P1 lcl|NW_015148999.1_prot_XP_015176930.1_8906
Lflavo2a004276P1 lcl|NW_015149026.1_prot_XP_015181980.1_13694
Lflavo2a004277P2 lcl|NW_015149052.1_prot_XP_015184515.1_16017
Lflavo2a004278P1 lcl|NW_015149026.1_prot_XP_015181902.1_13703
Lflavo2a004279P1 lcl|NW_015148999.1_prot_XP_015176927.1_8908
Lflavo2a004281P1 lcl|NW_015149044.1_prot_XP_015183656.1_15330
Lflavo2a004282P1 lcl|NW_015149026.1_prot_XP_015181903.1_13705
Lflavo2a004283P1 lcl|NW_015148999.1_prot_XP_015176611.1_8892
Lflavo2a004284P1 lcl|NW_015148976.1_prot_XP_015191791.1_3686
Lflavo2a004285P1 lcl|NW_015149026.1_prot_XP_015181993.1_13693
Lflavo2a004286P1 lcl|NW_015148976.1_prot_XP_015191824.1_3687
Lflavo2a004287P1 lcl|NW_015148999.1_prot_XP_015176983.1_8888
Lflavo2a004288P1 lcl|NW_015149051.1_prot_XP_015184406.1_15859
Lflavo2a004289P1 lcl|NW_015149026.1_prot_XP_015181917.1_13699
Lflavo2a004290P1 lcl|NW_015148984.1_prot_XP_015173222.1_5848
Lflavo2a004291P1 lcl|NW_015149052.1_prot_XP_015184525.1_16021
Lflavo2a004292P2 lcl|NW_015149051.1_prot_XP_015184402.1_15857
Lflavo2a004294P1 lcl|NW_015148976.1_prot_XP_015191841.1_3696
Lflavo2a004296P1 lcl|NW_015148999.1_prot_XP_015176612.1_8907
Lflavo2a004297P1 lcl|NW_015148976.1_prot_XP_015191737.1_3689
Lflavo2a004298P1 lcl|NW_015148999.1_prot_XP_015176872.1_8905
Lflavo2a004299P1 lcl|NW_015148976.1_prot_XP_015191814.1_3694
Lflavo2a004300P1 lcl|NW_015149026.1_prot_XP_015181919.1_13701
Lflavo2a004301P1 lcl|NW_015149026.1_prot_XP_015181900.1_13704
Lflavo2a004302P1 lcl|NW_015148976.1_prot_XP_015191739.1_3692
Lflavo2a004303P1 lcl|NW_015149026.1_prot_XP_015181977.1_13690
Lflavo2a004304P1 lcl|NW_015148976.1_prot_XP_015191789.1_3684
Lflavo2a004305P1 lcl|NW_015148999.1_prot_XP_015176625.1_8910
Lflavo2a004307P1 lcl|NW_015149014.1_prot_XP_015179975.1_11848
Lflavo2a004308P1 lcl|NW_015148999.1_prot_XP_015176928.1_8909
Lflavo2a004323P1 lcl|NW_015149340.1_prot_XP_015189770.1_20686
Lflavo2a004343P1 lcl|NW_015148970.1_prot_XP_015172527.1_525
Lflavo2a004344P3 lcl|NW_015148970.1_prot_XP_015190254.1_524
Lflavo2a004345P1 lcl|NW_015149057.1_prot_XP_015184933.1_16338
Lflavo2a004348P1 lcl|NW_015148970.1_prot_XP_015174311.1_536
Lflavo2a004349P1 lcl|NW_015149162.1_prot_XP_015189253.1_20241
Lflavo2a004350P1 lcl|NW_015148974.1_prot_XP_015190795.1_2762
Lflavo2a004351P1 lcl|NW_015148974.1_prot_XP_015190618.1_2833
Lflavo2a004352P1 lcl|NW_015149008.1_prot_XP_015178474.1_10407
Lflavo2a004354P1 lcl|NW_015149162.1_prot_XP_015189246.1_20232
Lflavo2a004355P1 lcl|NW_015148970.1_prot_XP_015183592.1_547
Lflavo2a004355P2 lcl|NW_015148970.1_prot_XP_015183166.1_548
Lflavo2a004356P1 lcl|NW_015148972.1_prot_XP_015183935.1_1337
Lflavo2a004358P1 lcl|NW_015148972.1_prot_XP_015183905.1_1333
Lflavo2a004359P1 lcl|NW_015149162.1_prot_XP_015189255.1_20234
Lflavo2a004361P1 lcl|NW_015148972.1_prot_XP_015183825.1_1326
Lflavo2a004362P1 lcl|NW_015149162.1_prot_XP_015189252.1_20236
Lflavo2a004365P1 lcl|NW_015148972.1_prot_XP_015183892.1_1332
Lflavo2a004366P1 lcl|NW_015149162.1_prot_XP_015189223.1_20235
Lflavo2a004368P1 lcl|NW_015149162.1_prot_XP_015189248.1_20237
Lflavo2a004368P3 lcl|NW_015149162.1_prot_XP_015189251.1_20240
Lflavo2a004369P1 lcl|NW_015148974.1_prot_XP_015190613.1_2828
Lflavo2a004370P1 lcl|NW_015149008.1_prot_XP_015178475.1_10408
Lflavo2a004371P2 lcl|NW_015148970.1_prot_XP_015173344.1_546
Lflavo2a004372P1 lcl|NW_015148974.1_prot_XP_015190839.1_2914
Lflavo2a004373P1 lcl|NW_015148970.1_prot_XP_015174730.1_540
Lflavo2a004374P1 lcl|NW_015149008.1_prot_XP_015178476.1_10406
Lflavo2a004375P1 lcl|NW_015149117.1_prot_XP_015188237.1_19335
Lflavo2a004377P1 lcl|NW_015149015.1_prot_XP_015180132.1_11911
Lflavo2a004378P1 lcl|NW_015148974.1_prot_XP_015190810.1_2765
Lflavo2a004379P2 lcl|NW_015148972.1_prot_XP_015183838.1_1329
Lflavo2a004380P1 lcl|NW_015149057.1_prot_XP_015184931.1_16337
Lflavo2a004381P1 lcl|NW_015149015.1_prot_XP_015180130.1_11910
Lflavo2a004382P1 lcl|NW_015148972.1_prot_XP_015183878.1_1331
Lflavo2a004384P1 lcl|NW_015148972.1_prot_XP_015183812.1_1325
Lflavo2a004386P1 lcl|NW_015148970.1_prot_XP_015173986.1_537
Lflavo2a004387P1 lcl|NW_015148998.1_prot_XP_015176580.1_8770
Lflavo2a004388P1 lcl|NW_015148970.1_prot_XP_015172960.1_119
Lflavo2a004390P1 lcl|NW_015149009.1_prot_XP_015178631.1_10751
Lflavo2a004394P1 lcl|NW_015148987.1_prot_XP_015174074.1_6467
Lflavo2a004396P1 lcl|NW_015149127.1_prot_XP_015188543.1_19598
Lflavo2a004398P1 lcl|NW_015149009.1_prot_XP_015178639.1_10748
Lflavo2a004399P1 lcl|NW_015149127.1_prot_XP_015188545.1_19599
Lflavo2a004400P1 lcl|NW_015149092.1_prot_XP_015187173.1_18371
Lflavo2a004401P1 lcl|NW_015148987.1_prot_XP_015174113.1_6477
Lflavo2a004402P1 lcl|NW_015149022.1_prot_XP_015181233.1_13037
Lflavo2a004403P1 lcl|NW_015148973.1_prot_XP_015190027.1_2170
Lflavo2a004403P9 lcl|NW_015148973.1_prot_XP_015190024.1_2169
Lflavo2a004404P1 lcl|NW_015149020.1_prot_XP_015181037.1_12823
Lflavo2a004406P1 lcl|NW_015149074.1_prot_XP_015186097.1_17420
Lflavo2a004407P1 lcl|NW_015149011.1_prot_XP_015179272.1_11256
Lflavo2a004408P1 lcl|NW_015148975.1_prot_XP_015191329.1_3527
Lflavo2a004411P1 lcl|NW_015149009.1_prot_XP_015178633.1_10761
Lflavo2a004413P1 lcl|NW_015149074.1_prot_XP_015186185.1_17415
Lflavo2a004416P1 lcl|NW_015148970.1_prot_XP_015174191.1_116
Lflavo2a004417P1 lcl|NW_015149018.1_prot_XP_015180773.1_12723
Lflavo2a004418P1 lcl|NW_015148973.1_prot_XP_015189139.1_2282
Lflavo2a004419P1 lcl|NW_015149143.1_prot_XP_015188842.1_19875
Lflavo2a004420P1 lcl|NW_015149143.1_prot_XP_015188841.1_19874
Lflavo2a004421P1 lcl|NW_015148997.1_prot_XP_015176324.1_8612
Lflavo2a004422P1 lcl|NW_015148973.1_prot_XP_015190307.1_2104
Lflavo2a004423P1 lcl|NW_015149143.1_prot_XP_015188844.1_19877
Lflavo2a004425P1 lcl|NW_015149009.1_prot_XP_015178626.1_10758
Lflavo2a004426P1 lcl|NW_015148973.1_prot_XP_015190033.1_2175
Lflavo2a004427P1 lcl|NW_015148997.1_prot_XP_015176353.1_8617
Lflavo2a004429P1 lcl|NW_015149057.1_prot_XP_015184949.1_16384
Lflavo2a004430P1 lcl|NW_015148973.1_prot_XP_015190305.1_2103
Lflavo2a004431P1 lcl|NW_015148997.1_prot_XP_015176248.1_8618
Lflavo2a004434P1 lcl|NW_015149074.1_prot_XP_015186095.1_17421
Lflavo2a004437P1 lcl|NW_015149028.1_prot_XP_015182115.1_13813
Lflavo2a004438P1 lcl|NW_015149009.1_prot_XP_015178641.1_10755
Lflavo2a004440P1 lcl|NW_015149018.1_prot_XP_015180910.1_12724
Lflavo2a004441P1 lcl|NW_015149002.1_prot_XP_015177205.1_9511
Lflavo2a004443P1 lcl|NW_015149057.1_prot_XP_015184903.1_16381
