Lflavo2a000001P1 NP_001014747.1
Lflavo2a003408P1 NP_524192.2
Lflavo2a003409P1 NP_724277.2
Lflavo2a003410P1 NP_001259997.1
Lflavo2a003411P1 NP_001303376.1
Lflavo2a003415P1 NP_572945.1
Lflavo2a003418P1 NP_611410.1
Lflavo2a003418P2 NP_725873.1
Lflavo2a003421P1 NP_001261584.1
Lflavo2a003423P1 NP_651407.3
Lflavo2a003434P1 NP_729454.1
Lflavo2a003435P1 NP_001261920.1
Lflavo2a003436P1 NP_524453.1
Lflavo2a003440P1 NP_001285321.1
Lflavo2a003442P1 NP_001036276.1
Lflavo2a003445P4 NP_001163734.1
Lflavo2a003449P1 NP_573362.1
Lflavo2a003452P1 NP_725536.1
Lflavo2a003454P1 NP_572778.1
Lflavo2a003455P1 NP_649942.1
Lflavo2a003459P1 NP_001260332.1
Lflavo2a003462P1 NP_611425.1
Lflavo2a003464P1 NP_001189169.1
Lflavo2a003465P1 NP_001260658.1
Lflavo2a003469P1 NP_609782.2
Lflavo2a003470P1 NP_611131.2
Lflavo2a003472P1 NP_001188775.1
Lflavo2a003473P1 NP_611803.1
Lflavo2a003476P1 NP_001260879.1
Lflavo2a003477P3 NP_001261818.1
Lflavo2a003480P1 NP_611265.1
Lflavo2a003481P1 NP_001261102.1
Lflavo2a003482P1 NP_001097729.1
Lflavo2a003483P1 NP_476959.1
Lflavo2a003491P1 NP_001284936.1
Lflavo2a003511P2 NP_001260048.1
Lflavo2a003513P1 NP_648581.1
Lflavo2a003515P4 NP_001097088.3
Lflavo2a003518P1 NP_648918.1
Lflavo2a003520P1 NP_523582.4
Lflavo2a003524P3 NP_609058.2
Lflavo2a003525P1 NP_996433.1
Lflavo2a003528P1 NP_001246805.1
Lflavo2a003529P1 NP_001287506.1
Lflavo2a003533P1 NP_572353.1
Lflavo2a003534P1 NP_001261763.1
Lflavo2a003535P1 NP_609557.1
Lflavo2a003537P1 NP_001245885.1
Lflavo2a003540P1 NP_001246806.1
Lflavo2a003542P1 NP_001303320.1
Lflavo2a003543P1 NP_001097592.1
Lflavo2a003546P1 NP_523533.2
Lflavo2a003551P1 NP_477324.1
Lflavo2a003555P1 NP_608387.1
Lflavo2a003557P1 NP_001262418.1
Lflavo2a003566P2 NP_001246417.1
Lflavo2a003567P1 NP_001097497.1
Lflavo2a003568P1 NP_523365.2
Lflavo2a003570P1 NP_610117.1
Lflavo2a003571P1 NP_001287103.1
Lflavo2a003572P3 NP_001261061.1
Lflavo2a003573P1 NP_524651.2
Lflavo2a003574P1 NP_651285.1
Lflavo2a003577P1 NP_650772.1
Lflavo2a003578P1 NP_523742.2
Lflavo2a003579P1 NP_727447.1
Lflavo2a003581P1 NP_001260707.1
Lflavo2a003581P2 NP_001285216.1
Lflavo2a003583P1 NP_651054.1
Lflavo2a003584P2 NP_648895.1
Lflavo2a003585P1 NP_523922.1
Lflavo2a003586P1 NP_001285868.1
Lflavo2a003587P1 NP_724812.2
Lflavo2a003588P1 NP_477320.1
Lflavo2a003589P1 NP_650865.1
Lflavo2a003590P1 NP_001259537.2
Lflavo2a003592P1 NP_730606.1
Lflavo2a003594P1 NP_001015401.1
Lflavo2a003596P1 NP_001286998.1
Lflavo2a003597P1 NP_652001.2
Lflavo2a003599P1 NP_572361.1
Lflavo2a003601P1 NP_648205.1
Lflavo2a003602P1 NP_001097371.1
Lflavo2a003603P2 NP_477394.3
Lflavo2a003604P2 NP_649858.1
Lflavo2a003606P1 NP_001163295.1
Lflavo2a003607P1 NP_651265.1
Lflavo2a003610P1 NP_569965.1
Lflavo2a003611P1 NP_001163414.1
Lflavo2a003613P1 NP_608423.1
Lflavo2a003614P1 NP_511139.2
Lflavo2a003617P1 NP_610488.1
Lflavo2a003621P1 NP_001259129.1
Lflavo2a003624P2 NP_788550.1
Lflavo2a003625P1 NP_001036618.1
Lflavo2a003630P2 NP_524316.1
Lflavo2a003631P1 NP_001097023.1
Lflavo2a003633P1 NP_001033805.1
Lflavo2a003637P1 NP_001163029.1
Lflavo2a003639P1 NP_731634.2
Lflavo2a003640P1 NP_730966.1
Lflavo2a003642P1 NP_569963.1
Lflavo2a003643P1 NP_649241.1
Lflavo2a003644P1 NP_649412.1
Lflavo2a003645P1 NP_524908.1
Lflavo2a003646P2 NP_609246.1
Lflavo2a003648P1 NP_001097689.1
Lflavo2a003649P1 NP_609366.2
Lflavo2a003651P1 NP_001188684.1
Lflavo2a003653P1 NP_650307.2
Lflavo2a003654P1 NP_610591.1
Lflavo2a003657P1 NP_001245801.1
Lflavo2a003658P1 NP_001259693.1
Lflavo2a003659P1 NP_001188528.1
Lflavo2a003660P1 NP_651905.1
Lflavo2a003662P1 NP_649252.1
Lflavo2a003663P1 NP_611065.1
Lflavo2a003665P1 NP_724479.1
Lflavo2a003668P1 NP_477330.1
Lflavo2a003669P1 NP_001162702.1
Lflavo2a003670P1 NP_001261269.1
Lflavo2a003671P1 NP_611460.1
Lflavo2a003672P1 NP_572952.1
Lflavo2a003673P1 NP_001260896.1
Lflavo2a003674P1 NP_001260930.1
Lflavo2a003676P1 NP_001097800.1
Lflavo2a003679P1 NP_477134.1
Lflavo2a003680P1 NP_001285391.1
Lflavo2a003682P1 NP_001246992.1
Lflavo2a003683P1 NP_608372.1
Lflavo2a003685P1 NP_001261648.1
Lflavo2a003687P1 NP_001286169.1
Lflavo2a003690P1 NP_573088.1
Lflavo2a003691P1 NP_001163403.1
Lflavo2a003692P1 NP_001260554.1
Lflavo2a003693P1 NP_647762.3
Lflavo2a003694P1 NP_001097738.2
Lflavo2a003695P1 NP_650000.1
Lflavo2a003697P1 NP_001259426.1
Lflavo2a003698P1 NP_001262936.1
Lflavo2a003701P1 NP_001286545.1
Lflavo2a003702P1 NP_001262820.1
Lflavo2a003703P1 NP_001260060.1
Lflavo2a003706P1 NP_001261501.1
Lflavo2a003708P1 NP_001285678.1
Lflavo2a003709P1 NP_001097743.1
Lflavo2a003710P1 NP_651395.1
Lflavo2a003711P1 NP_525036.2
Lflavo2a003713P1 NP_524688.1
Lflavo2a003715P1 NP_001259732.1
Lflavo2a003716P2 NP_001015349.2
Lflavo2a003717P1 NP_650253.1
Lflavo2a003719P1 NP_001027049.1
Lflavo2a003721P1 NP_001286160.1
Lflavo2a003723P1 NP_001163633.1
Lflavo2a003726P1 NP_001262650.1
Lflavo2a003729P1 NP_524452.4
Lflavo2a003732P1 NP_609941.2
Lflavo2a003733P1 NP_724834.1
Lflavo2a003734P1 NP_001286365.1
Lflavo2a003735P1 NP_609537.1
Lflavo2a003739P1 NP_001014569.1
Lflavo2a003740P1 NP_001097143.1
Lflavo2a003744P1 NP_001260710.1
Lflavo2a003747P1 NP_524471.2
Lflavo2a003748P1 NP_001097942.1
Lflavo2a003749P1 NP_651908.1
Lflavo2a003751P1 NP_524318.1
Lflavo2a003752P1 NP_001285505.1
Lflavo2a003763P1 NP_650471.2
Lflavo2a003765P1 NP_001033818.1
Lflavo2a003767P1 NP_610504.4
Lflavo2a003768P1 NP_524850.2
Lflavo2a003769P1 NP_523714.2
Lflavo2a003769P2 NP_725182.1
Lflavo2a003773P1 NP_001245616.1
Lflavo2a003775P1 NP_001036556.1
Lflavo2a003777P1 NP_609541.1
Lflavo2a003778P1 NP_001261687.1
Lflavo2a003781P1 NP_001263027.1
Lflavo2a003782P1 NP_001014474.3
Lflavo2a003783P1 NP_523359.2
Lflavo2a003784P1 NP_001162841.1
Lflavo2a003785P2 NP_001286617.1
Lflavo2a003786P1 NP_001245953.1
Lflavo2a003788P1 NP_730968.1
Lflavo2a003789P1 NP_001284815.1
Lflavo2a003790P1 NP_001260585.1
Lflavo2a003791P1 NP_001246755.1
Lflavo2a003794P1 NP_611588.1
Lflavo2a003796P1 NP_001334713.1
Lflavo2a003798P4 NP_648104.2
Lflavo2a003799P1 NP_001137958.1
Lflavo2a003800P1 NP_001261574.1
Lflavo2a003802P2 NP_001260420.1
Lflavo2a003803P1 NP_731129.1
Lflavo2a003804P1 NP_001303565.1
Lflavo2a003805P1 NP_649985.1
Lflavo2a003806P1 NP_001162919.1
Lflavo2a003808P1 NP_001097200.1
Lflavo2a003809P1 NP_001284865.1
Lflavo2a003811P1 NP_001259311.1
Lflavo2a003812P1 NP_001259751.2
Lflavo2a003813P1 NP_648482.3
Lflavo2a003815P1 NP_608516.1
Lflavo2a003816P2 NP_001262452.1
Lflavo2a003820P1 NP_611791.2
Lflavo2a003822P1 NP_648351.1
Lflavo2a003825P1 NP_609230.2
Lflavo2a003826P1 NP_523910.1
Lflavo2a003828P1 NP_001096868.3
Lflavo2a003830P1 NP_648109.1
Lflavo2a003832P1 NP_001286980.1
Lflavo2a003835P1 NP_611728.1
Lflavo2a003839P1 NP_609581.3
Lflavo2a003840P1 NP_001163396.1
Lflavo2a003846P1 NP_001285102.1
Lflavo2a003847P1 NP_728104.1
Lflavo2a003851P1 NP_001260812.1
Lflavo2a003860P1 NP_524758.1
Lflavo2a003862P1 NP_524786.1
Lflavo2a003865P2 NP_523975.1
Lflavo2a003866P1 NP_648230.1
Lflavo2a003869P1 NP_001286324.1
Lflavo2a003874P1 NP_650864.1
Lflavo2a003875P1 NP_001261595.1
Lflavo2a003876P1 NP_608886.1
Lflavo2a003877P1 NP_001285121.1
Lflavo2a003878P1 NP_649495.1
Lflavo2a003880P1 NP_652037.1
Lflavo2a003882P1 NP_523428.1
Lflavo2a003883P1 NP_001014587.1
Lflavo2a003883P2 NP_524106.3
Lflavo2a003885P2 NP_001162722.1
Lflavo2a003902P1 NP_001303567.1
Lflavo2a003903P1 NP_724335.2
Lflavo2a003937P1 NP_001246229.1
Lflavo2a003940P1 NP_788728.1
Lflavo2a003943P1 NP_001287171.1
Lflavo2a003944P2 NP_524473.2
Lflavo2a003945P1 NP_001262352.1
Lflavo2a003947P1 NP_647995.1
Lflavo2a003948P1 NP_648138.1
Lflavo2a003950P1 NP_608872.1
Lflavo2a003954P1 NP_001262695.1
Lflavo2a003957P1 NP_524287.1
Lflavo2a003958P1 NP_572532.1
Lflavo2a003961P1 NP_523628.1
Lflavo2a003966P1 NP_649516.1
Lflavo2a003970P1 NP_651560.2
Lflavo2a003976P1 NP_001097155.2
Lflavo2a003977P1 NP_001036705.1
Lflavo2a003978P1 NP_001034052.2
Lflavo2a003984P1 NP_733164.1
Lflavo2a003986P1 NP_001260464.1
Lflavo2a003988P1 NP_524980.1
Lflavo2a003991P1 NP_523767.2
Lflavo2a003992P1 NP_001245746.1
Lflavo2a003995P1 NP_001260872.1
Lflavo2a003998P1 NP_001369048.1
Lflavo2a004002P1 NP_731045.1
Lflavo2a004003P1 NP_001246653.1
Lflavo2a004009P1 NP_001262009.1
Lflavo2a004014P1 NP_001137978.1
Lflavo2a004016P1 NP_524603.2
Lflavo2a004019P1 NP_649439.1
Lflavo2a004021P3 NP_001287126.1
Lflavo2a004029P1 NP_001286665.1
Lflavo2a004030P1 NP_001247100.1
Lflavo2a004032P1 NP_001286489.1
Lflavo2a004034P1 NP_524438.1
Lflavo2a004035P1 NP_001260133.1
Lflavo2a004036P1 NP_651971.2
Lflavo2a004038P1 NP_001262267.1
Lflavo2a004039P1 NP_001027292.1
Lflavo2a004040P1 NP_001285595.1
Lflavo2a004041P1 NP_001014529.1
Lflavo2a004042P1 NP_001027186.1
Lflavo2a004043P1 NP_001163782.1
Lflavo2a004046P2 NP_649033.1
Lflavo2a004047P1 NP_476901.1
Lflavo2a004050P5 NP_001138157.2
Lflavo2a004058P1 NP_477088.2
Lflavo2a004067P1 NP_609490.1
Lflavo2a004068P1 NP_001285799.1
Lflavo2a004070P1 NP_001286492.1
Lflavo2a004072P1 NP_001104357.1
Lflavo2a004075P1 NP_573062.1
Lflavo2a004078P1 NP_609192.1
Lflavo2a004079P1 NP_001246581.1
Lflavo2a004082P1 NP_647753.1
Lflavo2a004087P1 NP_001259495.1
Lflavo2a004088P1 NP_001014589.1
Lflavo2a004090P1 NP_612080.1
Lflavo2a004091P1 NP_001260550.2
Lflavo2a004092P1 NP_001246785.1
Lflavo2a004092P10 NP_001261919.1
Lflavo2a004092P16 NP_730100.2
Lflavo2a004092P23 NP_730099.2
Lflavo2a004093P1 NP_572480.1
Lflavo2a004094P1 NP_477374.1
Lflavo2a004097P1 NP_611256.1
Lflavo2a004099P1 NP_648976.2
Lflavo2a004102P2 NP_611896.1
Lflavo2a004104P1 NP_649160.1
Lflavo2a004105P1 NP_001188681.1
Lflavo2a004106P1 NP_001188733.1
Lflavo2a004107P2 NP_477268.2
Lflavo2a004110P1 NP_477502.1
Lflavo2a004112P1 NP_477127.1
Lflavo2a004114P1 NP_647971.3
Lflavo2a004115P6 NP_731192.2
Lflavo2a004117P1 NP_647633.1
Lflavo2a004119P1 NP_570011.1
Lflavo2a004121P1 NP_001261884.1
Lflavo2a004122P1 NP_001261238.1
Lflavo2a004122P4 NP_001097469.2
Lflavo2a004123P1 NP_001261362.1
Lflavo2a004124P1 NP_001261195.1
Lflavo2a004125P1 NP_523923.1
Lflavo2a004126P1 NP_609534.1
Lflavo2a004128P1 NP_728573.1
Lflavo2a004129P4 NP_727952.3
Lflavo2a004132P1 NP_732033.1
Lflavo2a004133P1 NP_001246669.1
Lflavo2a004139P1 NP_648054.2
Lflavo2a004140P1 NP_001260949.1
Lflavo2a004142P1 NP_729462.2
Lflavo2a004143P1 NP_725221.1
Lflavo2a004144P1 NP_001287422.2
Lflavo2a004146P1 NP_001286955.1
Lflavo2a004149P1 NP_608533.1
Lflavo2a004151P1 NP_572712.1
Lflavo2a004152P1 NP_610019.2
Lflavo2a004153P1 NP_001097723.1
Lflavo2a004154P2 NP_651849.1
Lflavo2a004155P1 NP_649569.1
Lflavo2a004157P2 NP_611962.2
Lflavo2a004158P1 NP_651136.1
Lflavo2a004159P1 NP_001261621.2
Lflavo2a004163P1 NP_570087.1
Lflavo2a004165P3 NP_001245529.1
Lflavo2a004166P1 NP_001014633.2
Lflavo2a004167P1 NP_001259177.1
Lflavo2a004168P1 NP_649777.1
Lflavo2a004169P2 NP_001163620.3
Lflavo2a004171P1 NP_001286609.1
Lflavo2a004172P1 NP_001245666.1
Lflavo2a004174P1 NP_524775.1
Lflavo2a004175P1 NP_001286155.1
Lflavo2a004180P1 NP_650840.1
Lflavo2a004181P1 NP_650057.1
Lflavo2a004186P1 NP_650774.1
Lflavo2a004188P1 NP_611215.1
Lflavo2a004189P1 NP_651217.2
Lflavo2a004190P1 NP_001285019.1
Lflavo2a004191P1 NP_001262260.1
Lflavo2a004192P1 NP_788522.1
Lflavo2a004193P1 NP_001188593.1
Lflavo2a004196P1 NP_001286990.1
Lflavo2a004197P1 NP_788381.1
Lflavo2a004199P1 NP_001286611.1
Lflavo2a004201P1 NP_001285313.1
Lflavo2a004203P1 NP_001104482.3
Lflavo2a004208P1 NP_001246038.1
Lflavo2a004216P1 NP_651766.1
Lflavo2a004217P1 NP_001247234.1
Lflavo2a004223P1 NP_001162944.1
Lflavo2a004227P2 NP_001260726.1
Lflavo2a004236P1 NP_650889.1
Lflavo2a004239P1 NP_001259353.1
Lflavo2a004240P1 NP_650428.1
Lflavo2a004242P1 NP_001262826.1
Lflavo2a004246P1 NP_001014593.1
Lflavo2a004255P1 NP_001261853.1
Lflavo2a004256P2 NP_649649.1
Lflavo2a004259P1 NP_573020.2
Lflavo2a004260P1 NP_647835.1
Lflavo2a004261P1 NP_649239.1
Lflavo2a004262P1 NP_611741.1
Lflavo2a004270P1 NP_610342.1
Lflavo2a004271P1 NP_651628.1
Lflavo2a004275P1 NP_001245905.1
Lflavo2a004276P1 NP_648573.2
Lflavo2a004277P1 NP_573359.1
Lflavo2a004278P1 NP_651751.1
Lflavo2a004279P1 NP_001287127.1
Lflavo2a004281P1 NP_610625.1
Lflavo2a004282P1 NP_724760.2
Lflavo2a004284P1 NP_649551.4
Lflavo2a004285P1 NP_651177.1
Lflavo2a004286P1 NP_610927.3
Lflavo2a004287P1 NP_649304.1
Lflavo2a004289P1 NP_651208.1
Lflavo2a004290P1 NP_610786.2
Lflavo2a004291P1 NP_649974.1
Lflavo2a004292P2 NP_001097508.2
Lflavo2a004296P1 NP_609711.1
Lflavo2a004297P1 NP_610611.1
Lflavo2a004298P1 NP_001246127.1
Lflavo2a004299P1 NP_524219.1
Lflavo2a004301P1 NP_727265.1
Lflavo2a004302P1 NP_001262515.1
Lflavo2a004304P1 NP_001262802.1
Lflavo2a004305P1 NP_001262867.1
Lflavo2a004307P1 NP_001287466.1
Lflavo2a004308P1 NP_001287182.1
Lflavo2a004309P1 NP_001261212.1
Lflavo2a004343P1 NP_001286886.1
Lflavo2a004345P1 NP_611859.1
Lflavo2a004348P1 NP_649294.1
Lflavo2a004349P1 NP_001247362.1
Lflavo2a004350P1 NP_651204.1
Lflavo2a004351P2 NP_001286661.1
Lflavo2a004352P1 NP_727068.1
Lflavo2a004354P1 NP_001247197.1
Lflavo2a004355P1 NP_573191.1
Lflavo2a004356P1 NP_611565.2
Lflavo2a004358P1 NP_001262112.1
Lflavo2a004359P1 NP_649847.1
Lflavo2a004361P1 NP_611336.1
Lflavo2a004362P1 NP_001163392.1
Lflavo2a004365P1 NP_001163122.1
Lflavo2a004366P1 NP_647960.1
Lflavo2a004368P3 NP_733442.1
Lflavo2a004369P1 NP_523412.1
Lflavo2a004372P1 NP_650451.1
Lflavo2a004373P1 NP_609310.2
Lflavo2a004375P1 NP_001262698.1
Lflavo2a004377P1 NP_570014.3
Lflavo2a004379P1 NP_001263029.1
Lflavo2a004380P1 NP_001189105.1
Lflavo2a004381P1 NP_001284805.1
Lflavo2a004382P1 NP_610351.1
Lflavo2a004384P1 NP_001261783.1
Lflavo2a004385P1 NP_610357.1
Lflavo2a004386P1 NP_001014599.2
Lflavo2a004387P1 NP_649857.1
Lflavo2a004388P1 NP_573025.2
Lflavo2a004390P1 NP_001287568.1
Lflavo2a004394P1 NP_523397.1
Lflavo2a004398P1 NP_001163666.1
Lflavo2a004399P1 NP_001246937.1
Lflavo2a004400P1 NP_649465.6
Lflavo2a004401P1 NP_511045.1
Lflavo2a004402P1 NP_476962.1
Lflavo2a004403P8 NP_477084.1
Lflavo2a004404P1 NP_649556.3
Lflavo2a004407P1 NP_001188707.1
Lflavo2a004416P1 NP_477224.1
Lflavo2a004418P1 NP_651326.1
Lflavo2a004419P1 NP_609641.1
Lflavo2a004420P1 NP_001285218.1
Lflavo2a004422P1 NP_611498.1
Lflavo2a004425P1 NP_001263025.1
Lflavo2a004426P1 NP_476606.1
Lflavo2a004427P1 NP_001287327.1
Lflavo2a004429P1 NP_511065.1
Lflavo2a004430P1 NP_001027575.1
Lflavo2a004431P1 NP_001262986.1
Lflavo2a004434P1 NP_001303458.1
Lflavo2a004438P1 NP_476639.1
Lflavo2a004440P1 NP_001163596.2
Lflavo2a004441P1 NP_611712.2
Lflavo2a004445P1 NP_001287269.1
Lflavo2a004447P1 NP_650512.1
Lflavo2a004450P1 NP_001263139.1
Lflavo2a004451P1 NP_001284813.1
Lflavo2a004452P1 NP_647745.1
Lflavo2a004454P1 NP_477019.1
Lflavo2a004455P1 NP_001162684.1
Lflavo2a004456P12 NP_001163575.2
Lflavo2a004459P1 NP_001263002.1
Lflavo2a004460P1 NP_001245621.1
Lflavo2a004461P1 NP_523450.1
Lflavo2a004462P1 NP_001138076.1
Lflavo2a004467P1 NP_001263143.1
Lflavo2a004468P2 NP_728162.1
Lflavo2a004469P1 NP_001260245.1
Lflavo2a004470P1 NP_001036666.2
Lflavo2a004471P1 NP_651224.1
Lflavo2a004472P1 NP_001138209.1
Lflavo2a004473P1 NP_649466.1
Lflavo2a004474P1 NP_649695.1
Lflavo2a004475P1 NP_610694.1
Lflavo2a004477P1 NP_001263070.1
Lflavo2a004478P1 NP_001189267.1
Lflavo2a004480P1 NP_001247239.1
Lflavo2a004481P1 NP_001262451.1
Lflavo2a004482P1 NP_523806.2
Lflavo2a004484P1 NP_649782.1
Lflavo2a004485P3 NP_001138108.1
Lflavo2a004486P1 NP_524331.2
Lflavo2a004487P1 NP_001097239.2
Lflavo2a004488P1 NP_647865.2
Lflavo2a004489P1 NP_542440.1
Lflavo2a004492P1 NP_001285072.1
Lflavo2a004494P1 NP_609362.1
Lflavo2a004495P1 NP_001163430.1
Lflavo2a004496P1 NP_650507.1
Lflavo2a004497P2 NP_649211.1
Lflavo2a004499P1 NP_001356933.1
Lflavo2a004501P2 NP_647931.1
Lflavo2a004502P1 NP_648838.3
Lflavo2a004504P1 NP_608983.2
Lflavo2a004507P1 NP_001286031.1
Lflavo2a004508P1 NP_650064.1
Lflavo2a004509P2 NP_648303.1
Lflavo2a004510P1 NP_649132.1
Lflavo2a004513P1 NP_001287342.1
Lflavo2a004514P1 NP_649254.2
Lflavo2a004515P1 NP_001188773.1
Lflavo2a004516P1 NP_001138186.1
Lflavo2a004517P1 NP_723202.2
Lflavo2a004517P7 NP_001097105.3
Lflavo2a004518P1 NP_001245768.1
Lflavo2a004522P1 NP_610744.1
Lflavo2a004523P1 NP_001188675.1
Lflavo2a004530P1 NP_650331.1
Lflavo2a004535P2 NP_001138117.1
Lflavo2a004542P1 NP_001015473.1
Lflavo2a004543P1 NP_001036652.1
Lflavo2a004544P1 NP_001036428.1
Lflavo2a004546P1 NP_001284923.1
Lflavo2a004547P1 NP_001260166.1
Lflavo2a004548P1 NP_001163722.1
Lflavo2a004549P1 NP_651728.1
Lflavo2a004553P2 NP_001259266.1
Lflavo2a004554P1 NP_612045.1
Lflavo2a004556P1 NP_572291.2
Lflavo2a004559P1 NP_523784.2
Lflavo2a004560P1 NP_001014722.1
Lflavo2a004561P2 NP_001163124.1
Lflavo2a004564P1 NP_001036757.1
Lflavo2a004567P1 NP_648211.1
Lflavo2a004568P1 NP_572293.1
Lflavo2a004569P1 NP_651221.1
Lflavo2a004572P1 NP_572303.4
Lflavo2a004574P1 NP_001097898.1
Lflavo2a004577P1 NP_001303555.1
Lflavo2a004578P1 NP_732610.1
Lflavo2a004579P1 NP_001262029.1
Lflavo2a004580P1 NP_001262295.1
Lflavo2a004581P1 NP_001261050.1
Lflavo2a004584P1 NP_001262000.1
Lflavo2a004585P1 NP_524664.1
Lflavo2a004586P1 NP_001262364.1
Lflavo2a004586P4 NP_649761.2
Lflavo2a004587P1 NP_651218.1
Lflavo2a004588P1 NP_610059.1
Lflavo2a004589P3 NP_001163113.1
Lflavo2a004592P1 NP_001245959.1
Lflavo2a004593P2 NP_001260366.1
Lflavo2a004594P1 NP_001263008.1
Lflavo2a004595P1 NP_001262946.1
Lflavo2a004597P1 NP_001163143.1
Lflavo2a004598P1 NP_651727.1
Lflavo2a004600P1 NP_610677.1
Lflavo2a004603P1 NP_001260299.1
Lflavo2a004604P1 NP_647946.1
Lflavo2a004606P1 NP_001287508.1
Lflavo2a004608P1 NP_650353.1
Lflavo2a004609P1 NP_001259511.1
Lflavo2a004610P1 NP_650563.2
Lflavo2a004611P1 NP_001138118.2
Lflavo2a004611P2 NP_001263047.1
Lflavo2a004612P1 NP_609709.1
Lflavo2a004616P1 NP_001286837.1
Lflavo2a004617P1 NP_573330.3
Lflavo2a004618P1 NP_001368957.1
Lflavo2a004621P1 NP_001262294.1
Lflavo2a004622P1 NP_609375.1
Lflavo2a004623P1 NP_650017.1
Lflavo2a004624P1 NP_788610.1
Lflavo2a004625P1 NP_001163080.1
Lflavo2a004627P1 NP_001262486.1
Lflavo2a004628P1 NP_001033899.1
Lflavo2a004631P1 NP_001263050.1
Lflavo2a004633P1 NP_647681.2
Lflavo2a004640P1 NP_523795.2
Lflavo2a004641P1 NP_001260796.1
Lflavo2a004644P1 NP_001284735.1
Lflavo2a004645P1 NP_001245826.1
Lflavo2a004646P2 NP_001285551.1
Lflavo2a004647P2 NP_648653.2
Lflavo2a004648P1 NP_001261164.1
Lflavo2a004649P1 NP_001259846.1
Lflavo2a004650P1 NP_001245933.1
Lflavo2a004652P1 NP_001260877.1
Lflavo2a004654P1 NP_001162844.1
Lflavo2a004657P1 NP_001260019.1
Lflavo2a004658P1 NP_001286076.1
Lflavo2a004660P1 NP_723600.2
Lflavo2a004661P1 NP_001285573.1
Lflavo2a004662P1 NP_001097124.1
Lflavo2a004664P1 NP_609121.2
Lflavo2a004667P1 NP_609735.1
Lflavo2a004668P1 NP_608734.2
Lflavo2a004669P2 NP_608822.1
Lflavo2a004671P1 NP_608548.1
Lflavo2a004672P1 NP_724049.1
Lflavo2a004673P1 NP_648582.1
Lflavo2a004676P1 NP_610031.1
Lflavo2a004679P1 NP_523842.2
Lflavo2a004682P3 NP_608841.1
Lflavo2a004683P1 NP_001097107.1
Lflavo2a004684P1 NP_001262015.1
Lflavo2a004686P1 NP_651052.1
Lflavo2a004687P1 NP_610276.1
Lflavo2a004689P1 NP_001007096.1
Lflavo2a004690P1 NP_001261766.1
Lflavo2a004692P1 NP_995620.1
Lflavo2a004714P1 NP_650925.1
Lflavo2a004717P1 NP_730096.2
Lflavo2a004718P1 NP_610797.1
Lflavo2a004719P1 NP_001097616.1
Lflavo2a004720P1 NP_001263015.1
Lflavo2a004730P1 NP_995794.1
Lflavo2a004733P1 NP_524124.1
Lflavo2a004738P1 NP_001303410.1
Lflavo2a004742P1 NP_523721.1
Lflavo2a004747P1 NP_001034042.1
Lflavo2a004748P1 NP_001163674.1
Lflavo2a004750P1 NP_611940.1
Lflavo2a004751P1 NP_001303568.1
Lflavo2a004753P1 NP_477445.1
Lflavo2a004756P1 NP_001286547.1
Lflavo2a004757P1 NP_651070.3
Lflavo2a004758P1 NP_001036353.1
Lflavo2a004760P1 NP_651233.1
Lflavo2a004761P1 NP_651950.3
Lflavo2a004762P1 NP_001262104.1
Lflavo2a004764P1 NP_001260612.1
Lflavo2a004765P1 NP_651296.1
Lflavo2a004767P1 NP_609032.1
Lflavo2a004768P1 NP_001287034.1
Lflavo2a004770P1 NP_001259431.1
Lflavo2a004776P1 NP_652674.1
Lflavo2a004777P1 NP_001261142.1
Lflavo2a004778P1 NP_609648.1
Lflavo2a004779P3 NP_001287195.1
Lflavo2a004780P1 NP_001036574.1
Lflavo2a004782P1 NP_001259352.1
Lflavo2a004785P1 NP_001284995.1
Lflavo2a004788P1 NP_001096913.1
Lflavo2a004790P1 NP_476596.1
Lflavo2a004791P1 NP_001260960.1
Lflavo2a004792P1 NP_608825.2
Lflavo2a004794P1 NP_523588.2
Lflavo2a004796P2 NP_611051.2
Lflavo2a004797P1 NP_722456.1
Lflavo2a004798P1 NP_001350857.1
Lflavo2a004799P1 NP_001285683.1
Lflavo2a004800P1 NP_651655.1
Lflavo2a004801P1 NP_651099.1
Lflavo2a004803P1 NP_649783.2
Lflavo2a004804P1 NP_611650.2
Lflavo2a004805P1 NP_650140.1
Lflavo2a004806P1 NP_477418.1
Lflavo2a004807P1 NP_651624.2
Lflavo2a004808P1 NP_001284890.1
Lflavo2a004809P1 NP_649200.2
Lflavo2a004810P1 NP_001260971.1
Lflavo2a004811P3 NP_610311.1
Lflavo2a004812P1 NP_648909.1
Lflavo2a004815P1 NP_001286320.1
Lflavo2a004816P3 NP_001188537.1
Lflavo2a004818P1 NP_001189017.1
Lflavo2a004819P1 NP_001245807.1
Lflavo2a004820P1 NP_476594.1
Lflavo2a004821P1 NP_001036572.1
Lflavo2a004822P1 NP_477130.1
Lflavo2a004824P1 NP_001260451.1
Lflavo2a004825P1 NP_610687.1
Lflavo2a004826P1 NP_610192.1
Lflavo2a004827P1 NP_610097.2
Lflavo2a004828P1 NP_610913.1
Lflavo2a004830P1 NP_731267.1
Lflavo2a004834P1 NP_523938.2
Lflavo2a004835P1 NP_477370.1
Lflavo2a004837P1 NP_511119.2
Lflavo2a004838P1 NP_524881.2
Lflavo2a004842P2 NP_731242.1
