Geneid	gene_name	SRR1519115_1Aligned.sortedByCoord.out.bam	SRR1519109_1Aligned.sortedByCoord.out.bam	SRR1519111_1Aligned.sortedByCoord.out.bam	SRR1519117_1Aligned.sortedByCoord.out.bam	SRR1519113_1Aligned.sortedByCoord.out.bam	SRR1519110_1Aligned.sortedByCoord.out.bam	SRR1519116_1Aligned.sortedByCoord.out.bam	SRR1519108_1Aligned.sortedByCoord.out.bam	SRR1519112_1Aligned.sortedByCoord.out.bam	SRR1519114_1Aligned.sortedByCoord.out.bam
gene-LOC106793032	LOC106793032	91	120	188	204	126	99	62	119	187	98
gene-LOC106793031	LOC106793031	443	1144	1091	940	421	1290	1491	513	825	605
gene-LOC106792547	LOC106792547	117	279	252	300	170	235	283	190	286	202
gene-LOC106792998	LOC106792998	54	187	186	230	35	167	211	64	132	66
gene-LOC106792999	LOC106792999	386	834	1061	1206	397	979	860	420	1108	464
gene-LOC106793000	LOC106793000	4	30	39	23	3	48	23	14	41	9
gene-LOC106792997	LOC106792997	872	1477	2155	1787	905	1780	1601	1007	1797	954
gene-LOC106793006	LOC106793006	428	345	474	499	438	307	329	467	313	510
gene-LOC106793008	LOC106793008	411	824	793	1046	355	776	931	344	531	371
gene-LOC106793009	LOC106793009	37	0	3	1	42	0	0	31	0	39
gene-LOC106793007	LOC106793007	502	1022	949	920	562	1051	1185	514	924	635
gene-LOC106792655	LOC106792655	263	2	4	12	329	2	4	368	33	456
gene-LOC106793022	LOC106793022	1366	1650	2068	2222	1051	1967	1664	1497	1976	1202
gene-LOC106793011	LOC106793011	848	777	933	1238	564	816	886	673	817	752
gene-LOC106793010	LOC106793010	17	45	134	28	10	180	213	11	10	8
gene-LOC106793060	LOC106793060	211	368	511	298	188	463	434	212	299	220
gene-LOC106793024	LOC106793024	314	491	693	490	248	596	555	263	523	282
gene-LOC106793023	LOC106793023	468	1341	1317	871	588	1792	1981	945	1009	851
gene-LOC106792647	LOC106792647	65	144	154	215	73	162	174	100	184	85
gene-LOC106792552	LOC106792552	0	0	0	0	0	0	0	0	0	0
gene-LOC106792993	LOC106792993	2136	4533	5309	5091	1749	5509	5383	2038	3893	2385
gene-LOC106792994	LOC106792994	8712	5738	11906	4729	9423	6084	19557	4906	14792	13897
gene-LOC106792996	LOC106792996	272	146	178	314	412	156	224	255	238	217
gene-LOC106792995	LOC106792995	6	7	17	5	9	47	9	2	11	7
gene-LOC106793051	LOC106793051	703	1395	1625	2115	752	1441	1861	620	1704	890
gene-LOC106793049	LOC106793049	226	522	578	649	249	539	629	335	430	304
gene-LOC106793050	LOC106793050	30	1	6	2	41	2	3	47	7	41
gene-LOC106793004	LOC106793004	141	269	269	188	163	248	274	155	200	189
gene-LOC106793002	LOC106793002	120	340	338	434	138	325	380	156	280	189
gene-LOC106793001	LOC106793001	82	98	108	59	43	116	77	19	22	67
gene-LOC106793003	LOC106793003	73	86	56	50	39	67	59	41	12	36
gene-LOC106793025	LOC106793025	1708	2599	2651	1665	1715	2862	4147	1114	1399	1160
gene-LOC106792984	LOC106792984	334	668	626	750	358	675	630	378	587	389
gene-LOC106792985	LOC106792985	122	147	196	180	104	202	174	136	150	135
gene-LOC106792986	LOC106792986	204	250	297	184	188	280	222	234	177	215
gene-LOC106792987	LOC106792987	259	519	616	522	232	463	448	276	487	283
gene-LOC106792989	LOC106792989	576	2834	3029	3158	815	3379	3649	1099	2549	914
gene-LOC106792990	LOC106792990	3	12	6	5	8	14	20	4	5	1
gene-LOC106792991	LOC106792991	636	678	673	681	579	574	630	488	611	672
gene-LOC106792992	LOC106792992	16	42	62	70	23	59	43	28	57	22
gene-LOC106792561	LOC106792561	374	507	805	578	223	739	426	200	878	247
gene-LOC106793019	LOC106793019	1	0	2	0	0	1	1	2	0	0
gene-LOC106793016	LOC106793016	158	252	187	204	185	160	154	157	188	220
gene-LOC106793017	LOC106793017	123	133	194	148	96	48	46	91	88	157
gene-LOC106793020	LOC106793020	737	657	783	746	606	737	573	562	611	413
gene-LOC106793053	LOC106793053	18	26	38	32	24	50	16	37	22	28
gene-LOC106793054	LOC106793054	292	806	712	809	475	818	686	425	737	493
gene-LOC106792682	LOC106792682	16	28	3	0	1	25	5	4	2	7
gene-LOC106792571	LOC106792571	1	0	0	0	0	0	0	0	0	0
gene-LOC106793021	LOC106793021	1650	1734	2493	4146	1313	1588	1993	1225	2283	1339
gene-LOC106793042	LOC106793042	126	1428	1139	564	155	1238	1270	417	1626	284
gene-LOC106793041	LOC106793041	322	573	643	645	370	427	437	355	585	438
gene-LOC106792965	LOC106792965	470	913	1042	1116	438	910	900	476	780	615
gene-LOC106792971	LOC106792971	88	50	33	46	75	30	23	111	57	121
gene-LOC106792974	LOC106792974	361	1611	1563	1190	585	1652	1788	710	1462	719
gene-LOC106792966	LOC106792966	1318	2894	3484	3105	1224	3256	3764	1358	2801	1547
gene-LOC106792976	LOC106792976	116	34	56	92	123	22	20	97	117	113
gene-LOC106792972	LOC106792972	127	319	359	403	133	370	402	257	275	198
gene-LOC106792964	LOC106792964	1526	2197	2341	1412	1711	2437	2220	1296	1652	1846
gene-LOC106792967	LOC106792967	154	234	271	321	137	217	220	186	213	147
gene-LOC106792969	LOC106792969	960	856	1128	965	918	838	1370	445	1320	1106
gene-LOC106792975	LOC106792975	990	1442	1506	1620	945	1350	1550	1091	1503	971
gene-LOC106792970	LOC106792970	317	772	770	917	338	720	742	361	762	406
gene-LOC106793005	LOC106793005	136	539	563	724	203	738	439	252	394	211
gene-LOC106792831	LOC106792831	266	595	862	1263	237	888	545	303	635	294
gene-LOC106792579	LOC106792579	0	1	0	0	0	1	2	0	0	0
gene-LOC106792842	LOC106792842	6	41	25	24	7	27	12	13	9	4
gene-LOC106792803	LOC106792803	779	1819	2859	3732	682	2870	1732	741	1854	577
gene-LOC106793052	LOC106793052	437	631	919	1188	380	639	727	319	685	368
gene-LOC106793056	LOC106793056	257	397	412	399	229	432	498	212	248	284
gene-LOC106792590	LOC106792590	3	1	3	1	0	5	0	0	0	0
gene-LOC106793047	LOC106793047	52	100	97	19	85	120	69	164	14	58
gene-LOC106793048	LOC106793048	5	9	15	8	8	9	10	3	11	1
gene-Trnal-uaa	Trnal-uaa	0	0	0	0	0	0	0	0	0	0
gene-LOC106793040	LOC106793040	278	514	525	643	352	688	468	291	380	347
gene-LOC106793034	LOC106793034	60	190	191	144	80	185	209	106	109	95
gene-LOC106793037	LOC106793037	2	1	9	7	0	7	6	4	1	5
gene-LOC106793036	LOC106793036	138	226	226	288	121	151	191	88	214	136
gene-LOC106793059	LOC106793059	207	371	355	359	279	360	311	276	272	250
gene-LOC106792636	LOC106792636	205	409	542	713	211	405	516	204	460	220
gene-LOC106793027	LOC106793027	309	365	306	284	327	249	224	289	251	319
gene-LOC106793029	LOC106793029	613	568	530	403	544	549	599	597	369	649
gene-LOC106792672	LOC106792672	176	292	292	314	147	322	383	221	269	217
gene-LOC106793043	LOC106793043	22	111	38	23	54	128	109	16	19	55
gene-LOC106793046	LOC106793046	208	573	726	332	252	915	582	294	460	257
gene-LOC106792598	LOC106792598	54	763	9	2	190	2544	702	90	251	96
gene-LOC106793015	LOC106793015	710	1478	1783	1318	919	1639	1432	806	1349	911
gene-LOC106793014	LOC106793014	211	289	328	334	202	243	251	229	263	260
gene-LOC106792983	LOC106792983	25	79	104	118	31	82	119	67	80	63
gene-LOC106792607	LOC106792607	841	2296	2684	2477	913	2630	2567	1083	1823	668
gene-LOC106792948	LOC106792948	317	488	581	737	335	541	666	267	516	449
gene-LOC106792920	LOC106792920	55	173	185	306	76	195	242	104	191	105
gene-LOC106792963	LOC106792963	60	100	124	173	61	88	97	103	98	84
gene-LOC106792876	LOC106792876	350	920	1124	755	534	880	956	456	600	559
gene-LOC106792859	LOC106792859	2506	3402	4831	3013	2586	3325	3190	1771	2648	2674
gene-LOC106792915	LOC106792915	16	20	17	27	11	10	11	7	8	13
gene-LOC106792962	LOC106792962	1	0	0	0	0	80	3	0	0	1
gene-LOC106792616	LOC106792616	3	0	2	0	0	10	0	2	1	1
gene-LOC106792905	LOC106792905	621	1215	1418	1832	597	1464	1825	634	1322	652
gene-LOC106792934	LOC106792934	368	563	793	660	340	599	504	385	623	344
gene-LOC106792851	LOC106792851	102	172	202	161	76	204	163	103	153	127
gene-LOC106793058	LOC106793058	36	2	4	4	34	0	0	49	9	39
gene-LOC106793057	LOC106793057	236	417	529	523	138	451	445	232	440	284
gene-LOC106792978	LOC106792978	441	539	683	489	362	563	489	341	514	341
gene-LOC106792979	LOC106792979	330	107	81	149	289	11	12	304	171	346
gene-LOC106792977	LOC106792977	3086	4639	7410	5827	2517	6288	5247	3224	5645	3084
gene-LOC106792982	LOC106792982	1050	2953	3674	4018	1445	3320	3638	1280	3462	1715
gene-LOC106792981	LOC106792981	210	453	508	545	235	503	541	329	440	314
gene-LOC106792795	LOC106792795	263	372	363	492	245	316	344	265	375	332
gene-LOC106792703	LOC106792703	99	46	51	69	112	52	36	98	58	112
gene-LOC106792760	LOC106792760	7	15	19	23	13	15	12	11	19	26
gene-LOC106792713	LOC106792713	1226	2917	3267	3874	1428	2948	3953	1331	3095	1432
gene-LOC106792690	LOC106792690	4170	8381	10031	11030	3429	9834	8168	3750	7365	4535
gene-LOC106792722	LOC106792722	188	369	481	604	181	466	434	224	417	199
gene-LOC106792770	LOC106792770	798	1294	1475	1211	716	1479	1462	808	1061	863
gene-LOC106792777	LOC106792777	328	626	822	488	372	737	674	443	522	510
gene-LOC106793033	LOC106793033	3241	6212	6150	6198	3195	5962	5993	3250	4707	4047
gene-LOC106792622	LOC106792622	0	2	4	2	0	0	2	1	0	0
gene-LOC106793062	LOC106793062	122	270	381	330	180	293	354	165	247	186
gene-LOC106792629	LOC106792629	0	0	0	0	1	4	6	2	1	3
gene-LOC106793063	LOC106793063	566	19527	1492	26	2549	25722	589	13039	44	4218
gene-LOC106793012	LOC106793012	837	1235	1480	1181	806	1493	1123	905	1077	916
gene-LOC106793013	LOC106793013	162	427	505	498	190	375	308	266	359	210
gene-LOC106793061	LOC106793061	322	395	493	520	261	386	421	277	386	319
gene-LOC106793026	LOC106793026	739	731	1269	1167	489	692	793	547	816	704
gene-LOC106793064	LOC106793064	2	37	93	14	18	125	94	3	5	7
gene-LOC106793039	LOC106793039	56	163	214	161	87	199	167	82	124	79
gene-LOC106793038	LOC106793038	881	2568	2319	1164	1235	3175	1661	1377	1442	1412
gene-LOC106793055	LOC106793055	457	972	1163	1212	418	1085	1157	428	913	485
gene-LOC106793155	LOC106793155	229	349	407	603	195	302	467	205	506	188
gene-LOC106793124	LOC106793124	282	532	604	537	311	510	532	245	393	396
gene-LOC106793126	LOC106793126	13	22	16	29	6	13	23	15	10	7
gene-LOC106793123	LOC106793123	475	1325	1250	780	550	1462	1087	668	885	816
gene-LOC106793149	LOC106793149	373	805	847	726	383	732	665	367	667	396
gene-LOC106793090	LOC106793090	200	374	129	46	220	569	231	454	32	171
gene-LOC106793083	LOC106793083	428	560	542	790	455	519	505	605	523	510
gene-LOC106793084	LOC106793084	3838	6926	7632	8122	3665	7412	7651	3271	7293	3891
gene-LOC106793082	LOC106793082	538	932	850	870	478	775	780	591	845	717
gene-LOC106793086	LOC106793086	246	678	747	627	265	589	440	342	609	353
gene-LOC106793089	LOC106793089	21	17	12	15	34	7	15	24	13	42
gene-LOC106793088	LOC106793088	1645	3304	3875	4631	1717	3388	4093	1180	3532	1635
gene-LOC106793080	LOC106793080	1201	2771	3211	3299	1244	2644	2208	1221	1667	1520
gene-LOC106793081	LOC106793081	556	671	792	779	464	576	596	498	606	642
gene-LOC106793087	LOC106793087	124	147	157	198	121	128	111	114	167	159
gene-LOC106793066	LOC106793066	10	0	0	0	20	0	1	27	0	25
gene-LOC106793079	LOC106793079	1749	3991	4228	2729	1816	4663	3967	2361	2735	2736
gene-LOC106793107	LOC106793107	272	709	897	822	355	946	874	388	629	451
gene-LOC106793108	LOC106793108	1234	1849	2324	1601	1340	1777	1774	997	1529	1124
gene-LOC106793110	LOC106793110	166	486	535	697	199	503	501	228	564	321
gene-LOC106793111	LOC106793111	63	47	50	28	36	48	56	31	21	38
gene-LOC106793113	LOC106793113	0	0	1	1	2	0	0	3	0	2
gene-LOC106793067	LOC106793067	8	2	3	10	7	7	4	4	1	8
gene-LOC106793112	LOC106793112	33	32	46	80	30	47	52	13	29	17
gene-LOC106793078	LOC106793078	0	1	2	0	1	0	1	0	3	1
gene-LOC106793142	LOC106793142	200	302	303	363	200	241	278	204	269	227
gene-LOC106793134	LOC106793134	923	1504	1485	1062	989	1407	1578	979	1234	915
gene-LOC106793075	LOC106793075	64	5	1	20	87	0	0	57	30	64
gene-LOC106793121	LOC106793121	4592	7747	8642	11509	3466	6876	9840	3201	7911	4942
gene-LOC106793122	LOC106793122	3	4	6	6	2	9	6	2	5	0
gene-LOC106793068	LOC106793068	0	0	2	0	0	1	0	0	0	0
gene-LOC106793130	LOC106793130	318	548	694	799	278	635	549	325	467	320
gene-LOC106793143	LOC106793143	144	197	243	233	185	182	210	131	166	162
gene-LOC106793135	LOC106793135	339	566	767	692	360	676	756	418	577	432
gene-LOC106793154	LOC106793154	134	136	123	146	124	111	99	146	142	143
gene-LOC106793094	LOC106793094	170	301	324	259	185	240	247	266	257	244
gene-LOC106793091	LOC106793091	631	1108	1271	1238	636	1106	1089	803	1066	781
gene-LOC106793093	LOC106793093	216	320	470	286	196	320	378	296	282	301
gene-LOC106793096	LOC106793096	920	1652	1713	1456	849	1882	1529	630	1089	874
gene-LOC106793097	LOC106793097	2	10	7	7	3	8	3	2	9	3
gene-LOC106793095	LOC106793095	6	10	31	23	3	24	18	14	16	10
gene-LOC106793098	LOC106793098	849	1951	2586	2066	859	2262	2203	931	1738	1241
gene-LOC106793099	LOC106793099	823	2147	2274	1984	909	2213	2803	938	1834	1180
gene-LOC106793129	LOC106793129	211	387	450	358	201	414	360	202	374	240
gene-LOC106793128	LOC106793128	356	666	839	806	391	693	765	435	614	454
gene-LOC106793114	LOC106793114	1054	1585	1530	1745	1082	1401	1146	1242	1368	1180
gene-LOC106793105	LOC106793105	30	125	190	195	60	215	206	83	160	79
gene-LOC106793104	LOC106793104	1230	1733	1713	1884	1137	1377	1305	1312	1523	1301
gene-LOC106793106	LOC106793106	9	27	2	5	8	13	15	1	3	14
gene-LOC106793140	LOC106793140	152	312	356	305	227	322	275	241	249	195
gene-LOC106793115	LOC106793115	2314	1651	1836	3476	1116	1232	1672	391	1091	655
gene-LOC106793156	LOC106793156	135	285	333	367	173	265	294	192	282	202
gene-LOC106793139	LOC106793139	277	485	590	414	275	540	453	285	456	417
gene-LOC106793150	LOC106793150	154	924	940	35	267	2017	2279	490	85	424
gene-LOC106793151	LOC106793151	235	593	492	556	227	438	738	240	412	320
gene-LOC106793157	LOC106793157	7	122	27	1	15	68	9	18	0	3
gene-LOC106793127	LOC106793127	3113	3602	4805	4650	2410	3091	3541	1906	5607	2602
gene-LOC106793117	LOC106793117	324	496	535	265	531	504	446	517	359	404
gene-LOC106793119	LOC106793119	491	1346	1423	1138	577	1321	1416	558	1123	771
gene-LOC106793120	LOC106793120	366	399	476	444	377	474	565	431	433	532
gene-LOC106793101	LOC106793101	1304	2895	3281	2123	1440	3078	2959	1177	2505	1767
gene-LOC106793102	LOC106793102	225	518	599	566	265	594	665	217	437	334
gene-LOC106793100	LOC106793100	1240	2634	2730	1906	1149	2707	2808	1172	2100	1543
gene-LOC106793103	LOC106793103	201	140	177	257	156	154	156	189	181	204
gene-LOC106793131	LOC106793131	895	1269	1502	1172	815	1417	1653	668	944	989
gene-LOC106793132	LOC106793132	160	303	574	307	233	234	466	204	274	331
gene-LOC106793133	LOC106793133	42	60	44	33	41	29	26	59	40	44
gene-LOC106793144	LOC106793144	118	283	243	280	124	231	196	158	211	205
gene-Trnav-aac	Trnav-aac	0	0	0	0	0	0	0	0	0	0
gene-LOC106793145	LOC106793145	97	1716	196	4	620	5747	149	1998	24	718
gene-LOC106793136	LOC106793136	104	243	245	183	134	254	305	136	150	132
gene-LOC106793137	LOC106793137	598	1215	1285	1513	563	1286	1717	587	1131	589
gene-LOC106793138	LOC106793138	32	1	1	0	24	0	0	41	0	52
gene-LOC106793153	LOC106793153	12	53	76	1	16	67	30	25	13	20
gene-LOC106793076	LOC106793076	0	3	7	0	4	1	6	0	0	3
gene-LOC106793069	LOC106793069	0	0	0	0	0	0	0	0	0	0
gene-LOC106793146	LOC106793146	2	6	19	0	18	36	77	1	0	7
gene-LOC106793148	LOC106793148	0	12	5	1	0	8	11	0	0	0
gene-LOC106793147	LOC106793147	0	43	100	0	29	0	1	0	3	5
gene-LOC106793070	LOC106793070	0	0	0	0	0	0	0	0	0	0
gene-LOC106793074	LOC106793074	0	12	43	0	10	3	6	0	2	0
gene-LOC106793160	LOC106793160	2	8	13	11	0	24	19	6	31	3
gene-LOC106793158	LOC106793158	0	5	4	0	2	4	4	1	6	0
gene-LOC106793159	LOC106793159	0	1	0	0	0	2	3	0	0	0
gene-LOC106793073	LOC106793073	0	1	1	0	0	2	1	0	0	0
gene-LOC106793077	LOC106793077	0	2	2	1	0	1	4	1	2	0
gene-LOC106793141	LOC106793141	215	322	430	412	276	332	275	245	345	263
gene-LOC106793072	LOC106793072	93	87	104	91	95	50	63	136	126	155
gene-LOC106793071	LOC106793071	0	80	1	0	0	20	15	0	0	0
gene-LOC106793210	LOC106793210	354	630	861	468	355	838	755	396	488	582
gene-LOC106793211	LOC106793211	2636	6791	7029	8495	2831	6950	8578	2710	6099	3239
gene-LOC106793194	LOC106793194	24	106	85	27	101	57	295	2	11	99
gene-LOC106793193	LOC106793193	1389	2406	2859	1881	1123	2439	2216	985	1510	1068
gene-LOC106793287	LOC106793287	287	759	825	825	360	830	955	344	658	451
gene-LOC106793214	LOC106793214	1676	2683	2609	2436	1628	2253	2062	1303	2445	1993
gene-LOC106793213	LOC106793213	2554	5980	6444	5139	2730	5942	6655	2307	4908	2930
gene-LOC106793216	LOC106793216	708	1836	1871	1579	837	1956	2208	842	1608	979
gene-LOC106793212	LOC106793212	502	1040	1038	1098	578	928	988	553	809	618
gene-LOC106793215	LOC106793215	66	315	303	392	104	296	397	107	275	134
gene-LOC106793206	LOC106793206	1218	4707	4436	4693	1582	4645	6083	1515	3783	2188
gene-LOC106793207	LOC106793207	121	214	183	213	234	170	215	151	297	116
gene-LOC106793203	LOC106793203	1719	3405	4068	3556	1836	3540	3525	1743	2986	1928
gene-LOC106793204	LOC106793204	2518	3993	4408	3452	2311	4013	4123	2471	3288	3000
gene-LOC106793205	LOC106793205	1826	2917	3597	3560	1844	3070	3129	1367	2992	1612
gene-LOC106793295	LOC106793295	266	432	457	501	294	422	331	265	363	364
gene-LOC106793250	LOC106793250	914	1743	1658	1569	943	1521	1838	803	1296	939
gene-LOC106793251	LOC106793251	708	1033	1105	1034	659	1079	1000	645	1055	823
gene-LOC106793168	LOC106793168	30	108	238	64	40	92	126	48	154	41
gene-LOC106793218	LOC106793218	249	106	133	129	249	52	52	251	105	314
gene-LOC106793220	LOC106793220	97	240	271	226	104	234	258	85	215	135
gene-LOC106793217	LOC106793217	607	721	782	622	427	749	664	432	537	472
gene-LOC106793221	LOC106793221	26	16	55	31	28	17	38	20	39	29
gene-LOC106793219	LOC106793219	141	375	368	482	142	284	300	200	399	196
gene-LOC106793222	LOC106793222	310	495	562	512	397	496	405	529	499	522
gene-LOC106793223	LOC106793223	315	507	668	426	268	631	424	333	448	357
gene-LOC106793226	LOC106793226	4236	4115	4092	4501	3682	3919	4229	2810	2752	3837
gene-LOC106793225	LOC106793225	146	524	462	367	216	599	510	281	497	225
gene-LOC106793227	LOC106793227	471	883	942	982	421	830	1028	466	834	439
gene-LOC106793161	LOC106793161	0	2	3	1	1	5	3	0	7	1
gene-LOC106793249	LOC106793249	730	811	1567	1429	473	1151	764	529	1036	580
gene-LOC106793187	LOC106793187	14	46	47	33	9	72	40	32	37	14
gene-LOC106793185	LOC106793185	648	1191	1513	1516	971	1136	1426	679	1656	720
gene-LOC106793192	LOC106793192	0	0	1	3	0	3	0	0	0	0
gene-LOC106793191	LOC106793191	191	384	440	433	201	437	424	256	405	371
gene-LOC106793184	LOC106793184	536	1026	1369	1180	640	1284	1233	719	1022	732
gene-LOC106793183	LOC106793183	215	286	298	335	201	147	156	227	234	260
gene-LOC106793190	LOC106793190	19	334	15	1	164	472	27	444	0	286
gene-LOC106793189	LOC106793189	52	1632	123	27	401	2996	300	1845	16	817
gene-LOC106793186	LOC106793186	0	1	1	1	1	0	3	0	0	2
gene-LOC106793171	LOC106793171	0	2	2	2	0	0	2	0	0	1
gene-LOC106793170	LOC106793170	0	0	12	0	3	17	27	0	0	1
gene-LOC106793277	LOC106793277	140	322	476	375	167	446	395	159	284	198
gene-LOC106793278	LOC106793278	73	231	272	173	103	295	279	82	176	169
gene-LOC106793276	LOC106793276	6	35	5	0	9	18	17	35	0	16
gene-LOC106793279	LOC106793279	16	25	19	49	27	30	22	21	14	23
gene-LOC106793201	LOC106793201	599	864	796	639	727	890	1049	707	815	533
gene-LOC106793196	LOC106793196	909	205	186	291	792	57	50	861	280	833
gene-LOC106793202	LOC106793202	9	6	8	7	6	7	2	10	18	16
gene-LOC106793200	LOC106793200	3954	12822	12858	8937	4895	12926	13188	6497	10015	6751
gene-LOC106793198	LOC106793198	814	1740	1903	1838	853	1779	1915	666	1430	970
gene-LOC106793199	LOC106793199	38	146	104	123	52	163	165	156	113	76
gene-LOC106793197	LOC106793197	30	67	70	9	86	40	159	19	14	21
gene-LOC106793162	LOC106793162	742	1228	1228	243	977	2047	3640	123	114	562
gene-LOC106793283	LOC106793283	29	9	26	6	22	4	13	10	2	7
gene-LOC106793284	LOC106793284	151	425	475	320	134	595	504	143	358	183
gene-LOC106793240	LOC106793240	106	304	277	331	117	355	322	101	249	177
gene-LOC106793242	LOC106793242	35	54	74	49	47	93	42	64	70	49
gene-LOC106793236	LOC106793236	263	420	608	694	247	523	526	287	449	269
gene-LOC106793241	LOC106793241	95	253	293	295	99	279	279	122	270	159
gene-LOC106793237	LOC106793237	104	248	307	361	111	244	315	128	244	168
gene-LOC106793238	LOC106793238	460	1482	1428	1086	558	1489	1465	646	892	619
gene-LOC106793268	LOC106793268	369	195	184	269	405	117	99	486	217	508
gene-LOC106793269	LOC106793269	138	330	428	203	140	403	301	193	272	193
gene-LOC106793179	LOC106793179	543	1293	1468	701	474	1084	1017	474	1041	592
gene-LOC106793180	LOC106793180	44	157	71	85	62	117	218	33	61	78
gene-LOC106793178	LOC106793178	64	136	215	36	151	322	485	24	22	103
gene-LOC106793181	LOC106793181	73	70	102	127	71	62	65	77	93	97
gene-LOC106793285	LOC106793285	1075	2554	2462	1359	1377	2866	2806	1143	2232	1558
gene-LOC106793280	LOC106793280	815	1071	1231	827	631	866	979	623	957	851
gene-LOC106793300	LOC106793300	15	41	41	2	17	68	72	10	22	20
gene-LOC106793254	LOC106793254	780	1213	1160	1284	830	1094	1309	833	1120	824
gene-LOC106793252	LOC106793252	65	1810	2235	217	126	2431	1333	637	291	668
gene-LOC106793281	LOC106793281	152	304	369	310	148	374	373	172	237	244
gene-LOC106793167	LOC106793167	76	0	0	0	74	0	0	79	0	79
gene-LOC106793266	LOC106793266	1013	1791	1747	1738	950	1768	1888	943	1196	1055
gene-LOC106793267	LOC106793267	296	646	774	837	287	704	847	321	625	446
gene-LOC106793271	LOC106793271	197	356	619	291	228	411	407	233	290	231
gene-LOC106793176	LOC106793176	438	680	906	946	403	694	714	342	721	447
gene-LOC106793175	LOC106793175	427	1083	1036	1181	469	834	1131	594	781	673
gene-LOC106793174	LOC106793174	41	82	102	129	39	77	74	41	53	39
gene-LOC106793177	LOC106793177	109	205	213	238	150	128	99	151	251	130
gene-LOC106793173	LOC106793173	3040	2489	3594	4402	3060	2738	2379	3237	2598	2102
gene-LOC106793256	LOC106793256	823	1524	2248	1817	711	1982	1718	1087	1331	1023
gene-LOC106793247	LOC106793247	156	603	493	552	252	535	357	333	473	213
gene-LOC106793246	LOC106793246	163	202	262	298	167	210	214	149	237	179
gene-LOC106793248	LOC106793248	39	113	123	113	50	130	122	58	110	68
gene-LOC106793245	LOC106793245	991	3607	3513	4970	1206	3685	4407	1913	3183	1586
gene-LOC106793243	LOC106793243	175	366	358	265	193	392	330	329	340	260
gene-LOC106793166	LOC106793166	1	11	1	0	0	3	10	0	0	1
gene-LOC106793165	LOC106793165	0	3	41	0	62	240	108	0	1	31
gene-LOC106793163	LOC106793163	0	1	0	0	0	0	0	0	1	0
gene-LOC106793270	LOC106793270	1206	2192	2286	1398	1069	1809	1841	1182	2004	1697
gene-LOC106793286	LOC106793286	603	1527	1547	1071	643	1528	1452	702	1378	799
gene-LOC106793229	LOC106793229	489	702	1249	1001	337	692	883	303	948	384
gene-LOC106793230	LOC106793230	35	58	90	99	28	69	67	68	66	38
gene-LOC106793228	LOC106793228	1060	1473	1796	1408	956	1731	1515	1131	1250	1032
gene-LOC106793172	LOC106793172	2	4	1	2	0	1	4	1	0	2
gene-LOC106793164	LOC106793164	0	0	0	0	2	0	0	0	0	0
gene-LOC106793302	LOC106793302	8	27	17	30	2	6	23	8	17	11
gene-LOC106793289	LOC106793289	5	15	7	8	9	3	12	8	9	0
gene-LOC106793288	LOC106793288	100	129	222	251	87	154	127	116	156	121
gene-LOC106793291	LOC106793291	48	205	250	202	92	169	115	93	130	105
gene-LOC106793292	LOC106793292	557	713	737	706	562	367	251	512	702	606
gene-LOC106793299	LOC106793299	290	712	794	483	351	734	741	364	530	393
gene-LOC106793301	LOC106793301	47	62	37	41	53	36	32	82	45	52
gene-LOC106793169	LOC106793169	49	126	92	160	54	21	11	110	114	86
gene-LOC106793264	LOC106793264	862	1374	1595	1505	928	1534	1626	1071	1390	1116
gene-LOC106793263	LOC106793263	403	682	862	760	390	633	699	457	734	465
gene-LOC106793265	LOC106793265	3505	8432	8976	6747	3710	10021	10033	4655	6955	6100
gene-LOC106793298	LOC106793298	189	654	984	1585	215	717	658	235	736	258
gene-LOC106793231	LOC106793231	2766	4419	7420	7600	2620	6352	4095	3103	4723	2634
gene-LOC106793232	LOC106793232	301	114	157	280	272	111	97	317	236	318
gene-LOC106793261	LOC106793261	198	384	357	487	214	266	169	253	376	278
gene-LOC106793259	LOC106793259	12	13	7	12	33	0	3	24	7	24
gene-LOC106793262	LOC106793262	135	257	206	258	133	217	239	175	200	137
gene-LOC106793257	LOC106793257	166	388	429	23	326	969	152	518	122	352
gene-LOC106793260	LOC106793260	3	30	26	5	10	36	33	21	11	21
gene-LOC106793290	LOC106793290	90	1234	1370	65	268	916	441	489	210	358
gene-LOC106793274	LOC106793274	30	70	58	39	32	43	68	20	24	20
gene-LOC106793275	LOC106793275	11	22	14	29	18	8	3	24	19	10
gene-LOC106793273	LOC106793273	164	210	268	208	128	187	149	129	180	157
gene-LOC106793293	LOC106793293	248	518	622	436	266	608	526	316	534	315
gene-LOC106793294	LOC106793294	235	461	553	625	220	514	537	315	508	348
gene-LOC106793208	LOC106793208	128	294	315	327	122	217	299	161	223	204
gene-LOC106793209	LOC106793209	2346	2914	4728	5731	1368	3636	3078	1371	3245	1676
gene-LOC106793235	LOC106793235	2864	5633	5573	5093	3084	5413	5646	2947	4601	3727
gene-LOC106793234	LOC106793234	104	165	204	189	97	141	140	117	159	101
gene-LOC106793233	LOC106793233	1382	2821	2707	2263	1237	3004	3763	1231	2307	1547
gene-LOC106793255	LOC106793255	76943	25534	15802	14921	132477	28523	22995	100697	40495	24092
gene-LOC106793399	LOC106793399	441	459	552	405	300	471	478	259	336	272
gene-LOC106793326	LOC106793326	164	256	271	319	194	268	310	196	249	204
