"Liostenogaster_flavolineata","Polistes_dominula"
"Lflavo2a003031","gene7817"
"Lflavo2a003032","gene9651"
"Lflavo2a003033","gene5379"
"Lflavo2a003034","gene3667"
"Lflavo2a003036","gene5382"
"Lflavo2a003037","gene5383"
"Lflavo2a003038","gene1768"
"Lflavo2a003042","gene5838"
"Lflavo2a003043","gene2670"
"Lflavo2a003044","gene9896"
"Lflavo2a003045","gene2674"
"Lflavo2a003046","gene5839"
"Lflavo2a003048","gene9653"
"Lflavo2a003049","gene5921"
"Lflavo2a003050","gene8860"
"Lflavo2a003053","gene8270"
"Lflavo2a003055","gene1731"
"Lflavo2a003057","gene10917"
"Lflavo2a003060","gene9276"
"Lflavo2a003062","gene1995"
"Lflavo2a003063","gene9868"
"Lflavo2a003064","gene3557"
"Lflavo2a003068","gene7787"
"Lflavo2a003070","gene5666"
"Lflavo2a003071","gene8852"
"Lflavo2a003072","gene5885"
"Lflavo2a003075","gene4063"
"Lflavo2a003076","gene4059"
"Lflavo2a003078","gene4062"
"Lflavo2a003080","gene4065"
"Lflavo2a003083","gene4064"
"Lflavo2a003084","gene1181"
"Lflavo2a003085","gene1186"
"Lflavo2a003086","gene9993"
"Lflavo2a003087","gene1182"
"Lflavo2a003089","gene7795"
"Lflavo2a003090","gene7793"
"Lflavo2a003092","gene5186"
"Lflavo2a003093","gene1418"
"Lflavo2a003094","gene1179"
"Lflavo2a003097","gene1178"
"Lflavo2a003099","gene7794"
"Lflavo2a003101","gene1265"
"Lflavo2a003102","gene7792"
"Lflavo2a003104","gene7798"
"Lflavo2a003106","gene9994"
"Lflavo2a003107","gene446"
"Lflavo2a003108","gene1180"
"Lflavo2a003109","gene7797"
"Lflavo2a003110","gene1184"
"Lflavo2a003111","gene5187"
"Lflavo2a003112","gene445"
"Lflavo2a003115","gene1419"
"Lflavo2a003116","gene7791"
"Lflavo2a003117","gene7632"
"Lflavo2a003118","gene1177"
"Lflavo2a003119","gene1392"
"Lflavo2a003124","gene5357"
"Lflavo2a003127","gene5360"
"Lflavo2a003128","gene5359"
"Lflavo2a003129","gene1394"
"Lflavo2a003130","gene5361"
"Lflavo2a003131","gene5356"
"Lflavo2a003133","gene1391"
"Lflavo2a003135","gene5362"
"Lflavo2a003139","gene6766"
"Lflavo2a003140","gene5355"
"Lflavo2a003144","gene1808"
"Lflavo2a003145","gene559"
"Lflavo2a003146","gene3445"
"Lflavo2a003147","gene1730"
"Lflavo2a003148","gene3444"
"Lflavo2a003149","gene7293"
"Lflavo2a003150","gene3438"
"Lflavo2a003151","gene2340"
"Lflavo2a003156","gene5483"
"Lflavo2a003157","gene2336"
"Lflavo2a003159","gene2817"
"Lflavo2a003160","gene3834"
"Lflavo2a003161","gene2341"
"Lflavo2a003162","gene3440"
"Lflavo2a003163","gene3828"
"Lflavo2a003164","gene10440"
"Lflavo2a003165","gene537"
"Lflavo2a003166","gene5766"
"Lflavo2a003167","gene6820"
"Lflavo2a003169","gene3451"
"Lflavo2a003172","gene3450"
"Lflavo2a003173","gene487"
"Lflavo2a003175","gene3441"
"Lflavo2a003176","gene5596"
"Lflavo2a003177","gene6537"
"Lflavo2a003178","gene6923"
"Lflavo2a003179","gene8478"
"Lflavo2a003179","gene8477"
"Lflavo2a003181","gene4253"
"Lflavo2a003183","gene3452"
"Lflavo2a003184","gene8474"
"Lflavo2a003186","gene9846"
"Lflavo2a003187","gene8120"
"Lflavo2a003188","gene6661"
"Lflavo2a003190","gene9016"
"Lflavo2a003191","gene3971"
"Lflavo2a003192","gene8119"
"Lflavo2a003194","gene7254"
"Lflavo2a003197","gene8116"
"Lflavo2a003198","gene7290"
"Lflavo2a003199","gene4828"
"Lflavo2a003200","gene2339"
"Lflavo2a003201","gene7257"
"Lflavo2a003202","gene2335"
"Lflavo2a003204","gene10194"
"Lflavo2a003206","gene7292"
"Lflavo2a003208","gene8115"
"Lflavo2a003209","gene3446"
"Lflavo2a003210","gene2338"
"Lflavo2a003211","gene538"
"Lflavo2a003213","gene7252"
"Lflavo2a003214","gene560"
"Lflavo2a003216","gene8118"
"Lflavo2a003219","gene10197"
"Lflavo2a003220","gene10031"
"Lflavo2a003223","gene6660"
"Lflavo2a003224","gene6347"
"Lflavo2a003225","gene3835"
"Lflavo2a003226","gene3443"
"Lflavo2a003227","gene2337"
"Lflavo2a003229","gene7256"
"Lflavo2a003230","gene9007"
"Lflavo2a003232","gene1110"
"Lflavo2a003233","gene7250"
"Lflavo2a003234","gene3439"
"Lflavo2a003235","gene10441"
"Lflavo2a003236","gene2343"
"Lflavo2a003237","gene3973"
"Lflavo2a003238","gene6665"
"Lflavo2a003239","gene7251"
"Lflavo2a003240","gene3830"
"Lflavo2a003243","gene3832"
"Lflavo2a003244","gene7253"
"Lflavo2a003245","gene5595"
"Lflavo2a003246","gene6662"
"Lflavo2a003248","gene9873"
"Lflavo2a003250","gene5778"
"Lflavo2a003251","gene6663"
"Lflavo2a003253","gene7288"
"Lflavo2a003255","gene3972"
"Lflavo2a003257","gene7255"
"Lflavo2a003258","gene1729"
"Lflavo2a003259","gene2342"
"Lflavo2a003260","gene8475"
"Lflavo2a003264","gene5862"
"Lflavo2a003265","gene9006"
"Lflavo2a003266","gene7291"
"Lflavo2a003267","gene10928"
"Lflavo2a003268","gene6819"
"Lflavo2a003269","gene7769"
"Lflavo2a003270","gene485"
"Lflavo2a003271","gene1694"
"Lflavo2a003272","gene8794"
"Lflavo2a003275","gene5836"
"Lflavo2a003276","gene8770"
"Lflavo2a003279","gene10709"
"Lflavo2a003281","gene6624"
"Lflavo2a003282","gene528"
"Lflavo2a003283","gene6625"
"Lflavo2a003286","gene8849"
"Lflavo2a003287","gene6978"
"Lflavo2a003288","gene6393"
"Lflavo2a003291","gene6622"
"Lflavo2a003293","gene10706"
"Lflavo2a003300","gene8772"
"Lflavo2a003301","gene9546"
"Lflavo2a003302","gene7827"
"Lflavo2a003303","gene6623"
"Lflavo2a003304","gene8798"
"Lflavo2a003305","gene6268"
"Lflavo2a003307","gene10708"
"Lflavo2a003308","gene8773"
"Lflavo2a003309","gene4661"
"Lflavo2a003310","gene6626"
"Lflavo2a003312","gene8795"
"Lflavo2a003313","gene5837"
"Lflavo2a003314","gene2530"
"Lflavo2a003315","gene8768"
"Lflavo2a003316","gene6976"
"Lflavo2a003320","gene10705"
"Lflavo2a003323","gene6975"
"Lflavo2a003325","gene7829"
"Lflavo2a003327","gene9034"
"Lflavo2a003329","gene7833"
"Lflavo2a003330","gene7834"
"Lflavo2a003331","gene7828"
"Lflavo2a003333","gene8793"
"Lflavo2a003334","gene8771"
"Lflavo2a003338","gene3564"
"Lflavo2a003339","gene8848"
"Lflavo2a003340","gene6977"
"Lflavo2a003341","gene1758"
"Lflavo2a003342","gene6420"
"Lflavo2a003345","gene7071"
"Lflavo2a003347","gene7736"
"Lflavo2a003348","gene6332"
"Lflavo2a003349","gene7731"
"Lflavo2a003350","gene7743"
"Lflavo2a003351","gene1240"
"Lflavo2a003352","gene1231"
"Lflavo2a003353","gene1233"
"Lflavo2a003356","gene7744"
"Lflavo2a003357","gene7224"
"Lflavo2a003358","gene7741"
"Lflavo2a003360","gene7721"
"Lflavo2a003361","gene7728"
"Lflavo2a003362","gene1230"
"Lflavo2a003363","gene7737"
"Lflavo2a003364","gene6439"
"Lflavo2a003365","gene2333"
"Lflavo2a003367","gene6438"
"Lflavo2a003368","gene2330"
"Lflavo2a003369","gene6333"
"Lflavo2a003370","gene7727"
"Lflavo2a003372","gene1239"
"Lflavo2a003374","gene7729"
"Lflavo2a003375","gene2331"
"Lflavo2a003376","gene7690"
"Lflavo2a003377","gene3318"
"Lflavo2a003378","gene7730"
"Lflavo2a003379","gene2328"
"Lflavo2a003380","gene1241"
"Lflavo2a003381","gene7738"
"Lflavo2a003382","gene7225"
"Lflavo2a003384","gene7691"
"Lflavo2a003387","gene7735"
"Lflavo2a003388","gene3317"
"Lflavo2a003391","gene7739"
"Lflavo2a003392","gene2329"
"Lflavo2a003393","gene7072"
"Lflavo2a003394","gene7726"
"Lflavo2a003398","gene7732"
"Lflavo2a003399","gene1237"
"Lflavo2a003401","gene1243"
"Lflavo2a003404","gene6334"
"Lflavo2a003405","gene11095"
"Lflavo2a003407","gene7692"
"Lflavo2a003408","gene2332"
"Lflavo2a003409","gene7723"
"Lflavo2a003410","gene7725"
"Lflavo2a003411","gene7722"
"Lflavo2a003412","gene7733"
"Lflavo2a003413","gene2327"
"Lflavo2a003415","gene7693"
"Lflavo2a003418","gene7734"
"Lflavo2a003419","gene7724"
"Lflavo2a003421","gene7742"
"Lflavo2a003422","gene1232"
"Lflavo2a003423","gene1234"
"Lflavo2a003429","gene7216"
"Lflavo2a003434","gene430"
"Lflavo2a003435","gene8814"
"Lflavo2a003436","gene8815"
"Lflavo2a003437","gene5402"
"Lflavo2a003438","gene5658"
"Lflavo2a003440","gene1423"
"Lflavo2a003441","gene7181"
"Lflavo2a003442","gene1108"
"Lflavo2a003444","gene5403"
"Lflavo2a003445","gene1421"
"Lflavo2a003448","gene9985"
"Lflavo2a003449","gene1425"
"Lflavo2a003450","gene1107"
"Lflavo2a003452","gene4138"
"Lflavo2a003453","gene5405"
"Lflavo2a003454","gene1427"
"Lflavo2a003455","gene1810"
"Lflavo2a003457","gene1424"
"Lflavo2a003458","gene10168"
"Lflavo2a003459","gene5394"
"Lflavo2a003461","gene5656"
"Lflavo2a003462","gene1426"
"Lflavo2a003463","gene7184"
"Lflavo2a003464","gene5397"
"Lflavo2a003465","gene1109"
"Lflavo2a003467","gene5406"
"Lflavo2a003468","gene8964"
"Lflavo2a003469","gene1420"
"Lflavo2a003470","gene7185"
"Lflavo2a003471","gene5401"
"Lflavo2a003472","gene5395"
"Lflavo2a003473","gene5400"
"Lflavo2a003474","gene7180"
"Lflavo2a003476","gene7186"
"Lflavo2a003477","gene1422"
"Lflavo2a003480","gene5659"
"Lflavo2a003481","gene5404"
"Lflavo2a003482","gene1811"
"Lflavo2a003483","gene5396"
"Lflavo2a003491","gene8722"
"Lflavo2a003493","gene11288"
"Lflavo2a003499","gene11309"
"Lflavo2a003500","gene9399"
"Lflavo2a003511","gene10639"
"Lflavo2a003512","gene1448"
"Lflavo2a003513","gene9057"
"Lflavo2a003515","gene9518"
"Lflavo2a003516","gene8863"
"Lflavo2a003518","gene7378"
"Lflavo2a003520","gene9054"
"Lflavo2a003524","gene9056"
"Lflavo2a003525","gene9513"
"Lflavo2a003526","gene9512"
"Lflavo2a003528","gene7380"
"Lflavo2a003529","gene8864"
"Lflavo2a003533","gene9083"
"Lflavo2a003534","gene7385"
"Lflavo2a003535","gene7384"
"Lflavo2a003540","gene7381"
"Lflavo2a003541","gene9082"
"Lflavo2a003542","gene9510"
"Lflavo2a003543","gene7382"
"Lflavo2a003546","gene9511"
"Lflavo2a003551","gene1449"
"Lflavo2a003555","gene9058"
"Lflavo2a003556","gene6685"
"Lflavo2a003566","gene2592"
"Lflavo2a003567","gene7698"
"Lflavo2a003568","gene5217"
"Lflavo2a003570","gene6021"
"Lflavo2a003571","gene5216"
"Lflavo2a003572","gene671"
"Lflavo2a003573","gene2596"
"Lflavo2a003574","gene3634"
"Lflavo2a003575","gene6023"
"Lflavo2a003577","gene1000"
"Lflavo2a003578","gene1006"
"Lflavo2a003579","gene6032"
"Lflavo2a003580","gene441"
"Lflavo2a003581","gene1003"
"Lflavo2a003583","gene377"
"Lflavo2a003584","gene3633"
"Lflavo2a003585","gene9704"
"Lflavo2a003586","gene1002"
"Lflavo2a003587","gene3632"
"Lflavo2a003588","gene6034"
"Lflavo2a003589","gene6035"
"Lflavo2a003590","gene2593"
"Lflavo2a003592","gene6027"
"Lflavo2a003594","gene378"
"Lflavo2a003596","gene10448"
"Lflavo2a003597","gene5821"
"Lflavo2a003599","gene6346"
"Lflavo2a003601","gene5218"
"Lflavo2a003602","gene5301"
"Lflavo2a003603","gene3294"
"Lflavo2a003604","gene6022"
"Lflavo2a003606","gene7696"
"Lflavo2a003609","gene1005"
"Lflavo2a003610","gene6080"
"Lflavo2a003611","gene1004"
"Lflavo2a003613","gene670"
"Lflavo2a003614","gene8073"
"Lflavo2a003617","gene2594"
"Lflavo2a003618","gene2595"
"Lflavo2a003621","gene7695"
"Lflavo2a003622","gene6039"
"Lflavo2a003623","gene3295"
"Lflavo2a003624","gene7162"
"Lflavo2a003625","gene10449"
"Lflavo2a003628","gene7694"
"Lflavo2a003630","gene2498"
"Lflavo2a003631","gene7925"
"Lflavo2a003633","gene6082"
"Lflavo2a003634","gene6077"
"Lflavo2a003635","gene2499"
"Lflavo2a003637","gene10093"
"Lflavo2a003638","gene5219"
"Lflavo2a003639","gene6026"
"Lflavo2a003640","gene2500"
"Lflavo2a003641","gene3297"
"Lflavo2a003642","gene6081"
"Lflavo2a003643","gene3636"
"Lflavo2a003644","gene7981"
"Lflavo2a003645","gene8890"
"Lflavo2a003646","gene6019"
"Lflavo2a003648","gene9703"
"Lflavo2a003649","gene7982"
"Lflavo2a003651","gene10092"
"Lflavo2a003652","gene379"
"Lflavo2a003653","gene6025"
"Lflavo2a003654","gene6038"
"Lflavo2a003656","gene6024"
"Lflavo2a003657","gene7160"
"Lflavo2a003658","gene7158"
"Lflavo2a003660","gene10872"
"Lflavo2a003662","gene5765"
"Lflavo2a003663","gene8547"
"Lflavo2a003664","gene6029"
"Lflavo2a003665","gene8546"
"Lflavo2a003666","gene6036"
"Lflavo2a003667","gene8888"
"Lflavo2a003668","gene6020"
"Lflavo2a003669","gene625"
"Lflavo2a003670","gene6028"
"Lflavo2a003671","gene3296"
"Lflavo2a003672","gene5221"
"Lflavo2a003673","gene6040"
"Lflavo2a003674","gene5300"
"Lflavo2a003675","gene8887"
"Lflavo2a003676","gene6033"
"Lflavo2a003679","gene6031"
"Lflavo2a003680","gene3635"
"Lflavo2a003681","gene6083"
"Lflavo2a003682","gene10567"
"Lflavo2a003683","gene10930"
"Lflavo2a003684","gene253"
"Lflavo2a003685","gene10569"
"Lflavo2a003687","gene258"
"Lflavo2a003690","gene259"
"Lflavo2a003691","gene249"
"Lflavo2a003692","gene5754"
"Lflavo2a003693","gene250"
"Lflavo2a003694","gene238"
"Lflavo2a003695","gene240"
"Lflavo2a003696","gene255"
"Lflavo2a003697","gene8534"
"Lflavo2a003698","gene3756"
"Lflavo2a003701","gene242"
"Lflavo2a003702","gene235"
"Lflavo2a003703","gene10568"
"Lflavo2a003704","gene239"
"Lflavo2a003706","gene252"
"Lflavo2a003708","gene10566"
"Lflavo2a003709","gene236"
"Lflavo2a003710","gene241"
"Lflavo2a003711","gene260"
"Lflavo2a003712","gene254"
"Lflavo2a003713","gene256"
"Lflavo2a003715","gene8535"
"Lflavo2a003716","gene233"
"Lflavo2a003717","gene237"
"Lflavo2a003719","gene10929"
"Lflavo2a003721","gene261"
"Lflavo2a003722","gene247"
"Lflavo2a003723","gene682"
"Lflavo2a003724","gene681"
"Lflavo2a003726","gene680"
"Lflavo2a003728","gene5168"
"Lflavo2a003729","gene4424"
"Lflavo2a003732","gene735"
"Lflavo2a003733","gene730"
"Lflavo2a003734","gene4483"
"Lflavo2a003735","gene6609"
"Lflavo2a003737","gene1264"
"Lflavo2a003739","gene9481"
"Lflavo2a003740","gene3748"
"Lflavo2a003742","gene10428"
"Lflavo2a003744","gene732"
"Lflavo2a003745","gene10429"
"Lflavo2a003747","gene802"
"Lflavo2a003748","gene6378"
"Lflavo2a003749","gene1015"
"Lflavo2a003750","gene6617"
"Lflavo2a003751","gene4477"
"Lflavo2a003752","gene1261"
"Lflavo2a003754","gene5198"
"Lflavo2a003755","gene731"
"Lflavo2a003757","gene3910"
"Lflavo2a003758","gene1133"
"Lflavo2a003760","gene5167"
"Lflavo2a003762","gene1262"
"Lflavo2a003765","gene8125"
"Lflavo2a003768","gene3874"
"Lflavo2a003769","gene4480"
"Lflavo2a003771","gene4426"
"Lflavo2a003773","gene3909"
"Lflavo2a003774","gene4475"
"Lflavo2a003775","gene10581"
"Lflavo2a003776","gene6383"
"Lflavo2a003777","gene734"
"Lflavo2a003778","gene6381"
"Lflavo2a003779","gene6616"
"Lflavo2a003781","gene6608"
"Lflavo2a003782","gene5166"
"Lflavo2a003783","gene717"
"Lflavo2a003784","gene4479"
"Lflavo2a003785","gene4357"
"Lflavo2a003786","gene8127"
"Lflavo2a003787","gene6610"
"Lflavo2a003788","gene6376"
"Lflavo2a003789","gene4358"
"Lflavo2a003790","gene4478"
"Lflavo2a003791","gene4769"
"Lflavo2a003792","gene3905"
"Lflavo2a003794","gene5169"
"Lflavo2a003795","gene733"
"Lflavo2a003796","gene5616"
"Lflavo2a003798","gene5615"
"Lflavo2a003799","gene5170"
"Lflavo2a003800","gene4482"
"Lflavo2a003802","gene6618"
"Lflavo2a003803","gene738"
"Lflavo2a003804","gene3908"
"Lflavo2a003805","gene729"
"Lflavo2a003806","gene8128"
"Lflavo2a003808","gene8130"
"Lflavo2a003809","gene6382"
"Lflavo2a003811","gene6422"
"Lflavo2a003812","gene1134"
"Lflavo2a003813","gene10427"
"Lflavo2a003814","gene6607"
"Lflavo2a003815","gene737"
"Lflavo2a003816","gene8129"
"Lflavo2a003819","gene736"
"Lflavo2a003820","gene9681"
"Lflavo2a003822","gene6619"
"Lflavo2a003824","gene3912"
"Lflavo2a003825","gene8126"
"Lflavo2a003826","gene4484"
"Lflavo2a003827","gene4476"
"Lflavo2a003828","gene6421"
"Lflavo2a003830","gene9480"
"Lflavo2a003833","gene6380"
"Lflavo2a003835","gene6621"
"Lflavo2a003839","gene6614"
"Lflavo2a003840","gene5171"
"Lflavo2a003843","gene1135"
"Lflavo2a003846","gene1263"
"Lflavo2a003847","gene741"
"Lflavo2a003849","gene740"
"Lflavo2a003851","gene4079"
"Lflavo2a003860","gene10690"
"Lflavo2a003862","gene6867"
"Lflavo2a003865","gene10689"
"Lflavo2a003866","gene10686"
"Lflavo2a003869","gene6866"
"Lflavo2a003874","gene6865"
"Lflavo2a003875","gene10683"
"Lflavo2a003876","gene10688"
"Lflavo2a003877","gene10691"
"Lflavo2a003878","gene10693"
"Lflavo2a003880","gene10682"
"Lflavo2a003882","gene10692"
"Lflavo2a003883","gene10684"
"Lflavo2a003885","gene10685"
"Lflavo2a003889","gene669"
"Lflavo2a003902","gene8949"
"Lflavo2a003937","gene1326"
"Lflavo2a003938","gene1335"
"Lflavo2a003939","gene1324"
"Lflavo2a003940","gene7639"
"Lflavo2a003943","gene1320"
"Lflavo2a003944","gene1773"
"Lflavo2a003945","gene1338"
"Lflavo2a003946","gene1329"
"Lflavo2a003947","gene1319"
"Lflavo2a003948","gene1873"
"Lflavo2a003950","gene1876"
"Lflavo2a003954","gene1315"
"Lflavo2a003958","gene1318"
"Lflavo2a003961","gene1328"
"Lflavo2a003965","gene1317"
"Lflavo2a003966","gene1875"
"Lflavo2a003967","gene1769"
"Lflavo2a003970","gene1770"
"Lflavo2a003973","gene1336"
"Lflavo2a003974","gene1877"
"Lflavo2a003976","gene1321"
"Lflavo2a003977","gene1872"
"Lflavo2a003978","gene1334"
"Lflavo2a003979","gene1323"
"Lflavo2a003984","gene1772"
"Lflavo2a003986","gene1337"
"Lflavo2a003987","gene9149"
"Lflavo2a003988","gene10461"
"Lflavo2a003989","gene9148"
"Lflavo2a003991","gene8047"
"Lflavo2a003992","gene2997"
"Lflavo2a003993","gene5390"
"Lflavo2a003995","gene5393"
"Lflavo2a003998","gene2994"
"Lflavo2a004002","gene3002"
"Lflavo2a004003","gene5392"
"Lflavo2a004004","gene10464"
"Lflavo2a004006","gene3003"
"Lflavo2a004009","gene10462"
"Lflavo2a004012","gene5027"
"Lflavo2a004014","gene5387"
"Lflavo2a004015","gene3005"
"Lflavo2a004016","gene3000"
"Lflavo2a004019","gene7315"
"Lflavo2a004020","gene7317"
"Lflavo2a004021","gene2991"
"Lflavo2a004029","gene5388"
"Lflavo2a004030","gene10580"
"Lflavo2a004032","gene9145"
"Lflavo2a004033","gene2996"
"Lflavo2a004034","gene363"
"Lflavo2a004035","gene9143"
"Lflavo2a004036","gene3006"
"Lflavo2a004038","gene9144"
"Lflavo2a004039","gene5020"
"Lflavo2a004041","gene7319"
"Lflavo2a004042","gene7318"
"Lflavo2a004043","gene2995"
"Lflavo2a004046","gene10463"
"Lflavo2a004047","gene5389"
"Lflavo2a004050","gene3004"
"Lflavo2a004058","gene2999"
"Lflavo2a004059","gene3472"
"Lflavo2a004064","gene5164"
"Lflavo2a004067","gene3108"
"Lflavo2a004068","gene5152"
"Lflavo2a004070","gene5163"
"Lflavo2a004071","gene5165"
"Lflavo2a004072","gene5154"
"Lflavo2a004075","gene5155"
"Lflavo2a004078","gene3109"
"Lflavo2a004079","gene5162"
"Lflavo2a004082","gene5161"
"Lflavo2a004087","gene3146"
"Lflavo2a004088","gene3141"
"Lflavo2a004089","gene10670"
"Lflavo2a004090","gene305"
"Lflavo2a004091","gene7889"
"Lflavo2a004092","gene299"
"Lflavo2a004093","gene9688"
"Lflavo2a004094","gene2255"
"Lflavo2a004095","gene1072"
"Lflavo2a004096","gene8101"
"Lflavo2a004097","gene297"
"Lflavo2a004098","gene2254"
"Lflavo2a004099","gene6200"
"Lflavo2a004102","gene6201"
"Lflavo2a004104","gene294"
"Lflavo2a004105","gene293"
"Lflavo2a004106","gene4836"
"Lflavo2a004107","gene2198"
"Lflavo2a004110","gene2253"
"Lflavo2a004112","gene10359"
"Lflavo2a004113","gene9684"
"Lflavo2a004114","gene7895"
"Lflavo2a004115","gene2251"
"Lflavo2a004116","gene2"
"Lflavo2a004117","gene4839"
"Lflavo2a004119","gene3142"
"Lflavo2a004121","gene10422"
"Lflavo2a004122","gene11248"
"Lflavo2a004123","gene5698"
"Lflavo2a004124","gene5697"
"Lflavo2a004125","gene8099"
"Lflavo2a004126","gene7890"
"Lflavo2a004128","gene306"
"Lflavo2a004129","gene4837"
"Lflavo2a004131","gene7892"
"Lflavo2a004132","gene9683"
"Lflavo2a004133","gene302"
"Lflavo2a004135","gene9694"
"Lflavo2a004137","gene301"
"Lflavo2a004139","gene8098"
"Lflavo2a004140","gene9298"
"Lflavo2a004141","gene4842"
"Lflavo2a004142","gene8102"
"Lflavo2a004143","gene9696"
"Lflavo2a004144","gene970"
"Lflavo2a004146","gene8096"
"Lflavo2a004149","gene7891"
"Lflavo2a004151","gene4841"
"Lflavo2a004152","gene5696"
"Lflavo2a004153","gene10420"
"Lflavo2a004154","gene10972"
"Lflavo2a004155","gene5692"
"Lflavo2a004156","gene10421"
"Lflavo2a004157","gene304"
"Lflavo2a004158","gene6202"
"Lflavo2a004159","gene8100"
"Lflavo2a004161","gene3673"
"Lflavo2a004163","gene5695"
"Lflavo2a004164","gene9692"
"Lflavo2a004165","gene4843"
"Lflavo2a004166","gene3145"
"Lflavo2a004167","gene3"
"Lflavo2a004168","gene9682"
"Lflavo2a004169","gene9695"
"Lflavo2a004170","gene9686"
"Lflavo2a004171","gene9693"
"Lflavo2a004172","gene2199"
"Lflavo2a004174","gene1"
"Lflavo2a004175","gene2245"
"Lflavo2a004177","gene303"
"Lflavo2a004180","gene5594"
"Lflavo2a004183","gene296"
"Lflavo2a004186","gene295"
"Lflavo2a004188","gene5655"
"Lflavo2a004189","gene298"
"Lflavo2a004190","gene9690"
"Lflavo2a004191","gene3143"
"Lflavo2a004192","gene2252"
"Lflavo2a004193","gene307"
"Lflavo2a004196","gene334"
"Lflavo2a004197","gene6272"
"Lflavo2a004199","gene6270"
"Lflavo2a004201","gene330"
"Lflavo2a004203","gene1386"
"Lflavo2a004208","gene6269"
"Lflavo2a004211","gene2988"
"Lflavo2a004212","gene336"
"Lflavo2a004216","gene6271"
"Lflavo2a004217","gene2651"
"Lflavo2a004223","gene3622"
"Lflavo2a004227","gene2990"
"Lflavo2a004234","gene335"
"Lflavo2a004236","gene3624"
"Lflavo2a004237","gene1388"
"Lflavo2a004239","gene337"
"Lflavo2a004240","gene332"
"Lflavo2a004246","gene3623"
"Lflavo2a004255","gene2584"
"Lflavo2a004256","gene4990"
"Lflavo2a004258","gene4989"
"Lflavo2a004259","gene2583"
"Lflavo2a004260","gene2941"
"Lflavo2a004261","gene1859"
"Lflavo2a004265","gene10272"
"Lflavo2a004270","gene7082"
"Lflavo2a004271","gene6151"
"Lflavo2a004272","gene7087"
"Lflavo2a004275","gene4523"
"Lflavo2a004276","gene7085"
"Lflavo2a004277","gene8392"
"Lflavo2a004278","gene7090"
"Lflavo2a004279","gene4525"
"Lflavo2a004281","gene8021"
"Lflavo2a004282","gene7092"
"Lflavo2a004283","gene4517"
"Lflavo2a004284","gene1856"
"Lflavo2a004285","gene7084"
"Lflavo2a004286","gene1857"
"Lflavo2a004287","gene4516"
"Lflavo2a004288","gene8310"
"Lflavo2a004289","gene7088"
"Lflavo2a004290","gene2940"
"Lflavo2a004291","gene8394"
"Lflavo2a004292","gene8309"
"Lflavo2a004294","gene1862"
"Lflavo2a004296","gene4524"
"Lflavo2a004297","gene1858"
"Lflavo2a004298","gene4518"
"Lflavo2a004299","gene1861"
"Lflavo2a004300","gene7089"
"Lflavo2a004301","gene7091"
"Lflavo2a004302","gene1860"
"Lflavo2a004303","gene7083"
"Lflavo2a004304","gene1855"
"Lflavo2a004305","gene4527"
"Lflavo2a004307","gene6152"
"Lflavo2a004308","gene4526"
"Lflavo2a004323","gene11108"
"Lflavo2a004343","gene281"
"Lflavo2a004344","gene280"
"Lflavo2a004345","gene8598"
"Lflavo2a004348","gene282"
"Lflavo2a004349","gene10759"
"Lflavo2a004350","gene1359"
"Lflavo2a004351","gene1380"
"Lflavo2a004352","gene5353"
"Lflavo2a004354","gene10753"
"Lflavo2a004355","gene292"
"Lflavo2a004356","gene710"
"Lflavo2a004358","gene709"
"Lflavo2a004359","gene10755"
"Lflavo2a004361","gene705"
"Lflavo2a004362","gene10757"
"Lflavo2a004365","gene708"
"Lflavo2a004366","gene10756"
"Lflavo2a004368","gene10758"
"Lflavo2a004369","gene1379"
"Lflavo2a004370","gene5354"
"Lflavo2a004371","gene291"
"Lflavo2a004372","gene1415"
"Lflavo2a004373","gene286"
"Lflavo2a004374","gene5352"
"Lflavo2a004375","gene10220"
"Lflavo2a004377","gene6189"
"Lflavo2a004378","gene1360"
"Lflavo2a004379","gene706"
"Lflavo2a004380","gene8597"
"Lflavo2a004381","gene6188"
"Lflavo2a004382","gene707"
"Lflavo2a004384","gene704"
"Lflavo2a004386","gene283"
"Lflavo2a004387","gene4455"
"Lflavo2a004388","gene46"
"Lflavo2a004390","gene5543"
"Lflavo2a004394","gene3267"
"Lflavo2a004396","gene10367"
"Lflavo2a004398","gene5542"
"Lflavo2a004399","gene10368"
"Lflavo2a004400","gene9710"
"Lflavo2a004401","gene3269"
"Lflavo2a004402","gene6756"
"Lflavo2a004403","gene1091"
"Lflavo2a004404","gene6642"
"Lflavo2a004406","gene9215"
"Lflavo2a004407","gene5813"
"Lflavo2a004408","gene1756"
"Lflavo2a004411","gene5551"
"Lflavo2a004413","gene9211"
"Lflavo2a004416","gene45"
"Lflavo2a004417","gene6575"
"Lflavo2a004418","gene1131"
"Lflavo2a004419","gene10550"
"Lflavo2a004420","gene10549"
"Lflavo2a004421","gene4365"
"Lflavo2a004422","gene1052"
"Lflavo2a004423","gene10551"
"Lflavo2a004425","gene5549"
"Lflavo2a004426","gene1092"
"Lflavo2a004427","gene4366"
"Lflavo2a004429","gene8637"
"Lflavo2a004430","gene1051"
"Lflavo2a004431","gene4367"
"Lflavo2a004434","gene9216"
"Lflavo2a004437","gene7156"
"Lflavo2a004438","gene5546"
"Lflavo2a004440","gene6576"
"Lflavo2a004441","gene4857"
"Lflavo2a004443","gene8634"
"Lflavo2a004444","gene10369"
