Orthogroup	Liostenogaster_flavolineata	Drosophila_melanogaster
OG0001045	Lflavo2a007166P1	NP_001284957.1, NP_001284958.1, NP_001284959.1, NP_001284960.1, NP_572345.1, NP_727116.1, NP_727117.1
OG0001046	Lflavo2a002325P1	NP_001036581.1, NP_001189042.1, NP_001036582.1, NP_001036586.1, NP_728889.1, NP_728890.1, NP_728891.1
OG0001047	Lflavo2a013867P1, Lflavo2a007480P1	NP_001286141.1, NP_610174.1
OG0001049	Lflavo2a012882P1, Lflavo2a012882P2, Lflavo2a012882P3	NP_001033861.1, NP_001033862.1, NP_608493.2, NP_722602.1, NP_722603.1, NP_722604.1
OG0001050	Lflavo2a004239P1	NP_001259353.1, NP_001259354.1, NP_001259355.1, NP_001259357.1, NP_572501.1
OG0001051	Lflavo2a006587P1, Lflavo2a005760P1	NP_001188701.2, NP_608946.3
OG0001052	Lflavo2a007357P2, Lflavo2a007357P3	NP_001262572.1, NP_731924.1, NP_001262571.1, NP_731923.2, NP_001097792.1
OG0001053	Lflavo2a008723P1	NP_001261197.1, NP_612022.1, NP_995947.1
OG0001054	Lflavo2a010774P1	NP_001285360.1, NP_001285361.1, NP_001285362.1, NP_523382.1, NP_650407.1
OG0001055	Lflavo2a005923P1, Lflavo2a006088P1	NP_001163072.1, NP_001260777.1, NP_610287.2
OG0001056	Lflavo2a006023P1, Lflavo2a005980P2, Lflavo2a005980P1	NP_001286469.1, NP_611064.2, NP_725499.2, NP_788361.1
OG0001057	Lflavo2a005219P1, Lflavo2a005219P2, Lflavo2a005219P3, Lflavo2a005219P4, Lflavo2a005219P5, Lflavo2a005219P6	NP_650116.2, NP_731632.1, NP_001163591.1, NP_996196.1
OG0001058	Lflavo2a012231P1	NP_001246491.1, NP_611904.1, NP_726435.1, NP_001286833.1
OG0001059	Lflavo2a004516P1, Lflavo2a004516P2	NP_001096950.2, NP_001096951.3, NP_001259445.2, NP_727512.3, NP_001138186.1
OG0001061	Lflavo2a011663P1	NP_001259402.1, NP_511105.2, NP_727407.1, NP_996395.1, NP_996396.1, NP_996397.1, NP_996398.1, NP_996399.1
OG0001062	Lflavo2a001007P1, Lflavo2a001007P2, Lflavo2a001007P4, Lflavo2a001007P3	NP_001162710.2, NP_525080.3, NP_727281.2
OG0001063	Lflavo2a011742P1	NP_001262870.1, NP_524460.2, NP_001163699.1, NP_732848.1, NP_732849.2, NP_732850.1, NP_732851.2
OG0001064	Lflavo2a002720P1	NP_001287545.1, NP_651499.2
OG0001067	Lflavo2a012169P1	NP_001303423.1
OG0001068	Lflavo2a007601P1	NP_001097449.2, NP_001163297.1, NP_001246506.1, NP_611975.3, NP_726492.2, NP_726493.2, NP_001286860.1
OG0001069	Lflavo2a009730P2, Lflavo2a009730P1	NP_001188729.1
OG0001070	Lflavo2a009512P1	NP_001262829.1, NP_651012.2
OG0001071	Lflavo2a005643P1	NP_001247266.1, NP_001262885.1, NP_651187.2
OG0001072	Lflavo2a003584P1, Lflavo2a003584P2	NP_648895.1
OG0001073	Lflavo2a008423P2, Lflavo2a008423P1, Lflavo2a008423P4, Lflavo2a008423P3	NP_001097766.1, NP_524338.2, NP_001262525.1
OG0001074	Lflavo2a011787P1, Lflavo2a011787P2	NP_611855.1
OG0001075	Lflavo2a003803P1	NP_731129.1, NP_001262327.1, NP_649693.3
OG0001076	Lflavo2a013981P1	NP_001188656.1, NP_001285359.1, NP_001188654.1, NP_001188655.1, NP_573195.1, NP_001303563.1
OG0001077	Lflavo2a012829P1	NP_001287124.1, NP_649167.1
OG0001078	Lflavo2a005303P2, Lflavo2a005303P1, Lflavo2a005303P3	NP_608804.1, NP_722936.1
OG0001079	Lflavo2a010529P1	NP_001163019.1, NP_001260615.1, NP_001286093.1, NP_610017.1
OG0001080	Lflavo2a008011P3, Lflavo2a008011P7, Lflavo2a008011P4, Lflavo2a008011P1	NP_001138011.1, NP_649566.2, NP_001262293.1, NP_730976.1
OG0001082	Lflavo2a012755P1	NP_001262461.1, NP_001262462.1, NP_001262463.1, NP_001262460.1, NP_649995.2
OG0001084	Lflavo2a008542P1, Lflavo2a008665P1	NP_001189078.1, NP_729509.1, NP_729510.1
OG0001085	Lflavo2a006911P3, Lflavo2a006911P1, Lflavo2a006911P2, Lflavo2a008903P2, Lflavo2a008108P1	NP_001287589.1, NP_651716.1, NP_001287590.1
OG0001086	Lflavo2a009238P2, Lflavo2a009238P1, Lflavo2a009238P3	NP_001014535.1, NP_001286600.1, NP_001286601.1, NP_001286599.1, NP_611395.1, NP_725851.1
OG0001087	Lflavo2a012610P1, Lflavo2a012610P2	NP_477342.1, NP_599144.1, NP_728674.1
OG0001088	Lflavo2a013967P1	NP_523684.2, NP_724935.1, NP_995801.1, NP_724934.1, NP_788304.1, NP_788305.1, NP_788306.1, NP_788307.1, NP_995802.1
OG0001090	Lflavo2a010426P1, Lflavo2a010400P1, Lflavo2a010400P2	NP_001163181.1, NP_001286546.1, NP_611249.2, NP_725709.1
OG0001091	Lflavo2a005216P1, Lflavo2a005216P2	NP_647746.1, NP_996221.1, NP_996222.1
OG0001092	Lflavo2a013318P1	NP_001036375.2, NP_001163041.1, NP_001260678.1, NP_610120.1
OG0001094	Lflavo2a000814P3, Lflavo2a000814P1, Lflavo2a000814P2	NP_001261907.1, NP_536745.4, NP_730088.1, NP_001261906.1, NP_536746.1, NP_730089.1
OG0001097	Lflavo2a003765P1	NP_001033818.1, NP_001284755.1, NP_477390.1, NP_726690.1, NP_726691.1, NP_726692.1, NP_726693.1, NP_726694.1, NP_726695.1
OG0001098	Lflavo2a013810P1	NP_001162752.1, NP_001245663.1, NP_001259540.1, NP_001259541.1, NP_511150.1, NP_001285937.1, NP_609715.1
OG0001099	Lflavo2a000038P1	NP_476590.1
OG0001100	Lflavo2a009311P1	NP_524360.2, NP_001247120.1, NP_001262590.1
OG0001101	Lflavo2a013720P1	NP_001286883.1, NP_612008.1, NP_728484.1
OG0001104	Lflavo2a001807P1	NP_001259432.1, NP_511110.1, NP_788898.1
OG0001104	Lflavo2a002303P1, Lflavo2a002303P2	NP_001285090.1, NP_511109.1, NP_727450.1, NP_727448.1, NP_727449.1
OG0001105	Lflavo2a005008P1, Lflavo2a005008P2	NP_610386.2, NP_724683.2, NP_001137619.1, NP_001260806.1
OG0001107	Lflavo2a003784P1	NP_001162841.1, NP_001162842.1, NP_001245815.1, NP_001259792.1, NP_001259795.1, NP_001259796.1, NP_722612.1, NP_722613.1, NP_001259793.1, NP_001259794.1
OG0001108	Lflavo2a012679P1	NP_001285825.1, NP_476875.1, NP_001097144.1, NP_476734.1
OG0001109	Lflavo2a004818P1	NP_001189017.1, NP_001261266.1, NP_001303399.1, NP_647628.1
OG0001110	Lflavo2a001941P1	NP_001247036.1, NP_001138036.1, NP_731525.2, NP_650030.1, NP_996195.1, NP_731522.1, NP_731524.1, NP_731523.1
OG0001111	Lflavo2a000199P1, Lflavo2a000199P2	NP_001262881.1, NP_651178.1
OG0001112	Lflavo2a003944P3, Lflavo2a003944P2, Lflavo2a003944P1	NP_732934.2, NP_524473.2, NP_732933.1, NP_001163709.2, NP_732935.2
OG0001113	Lflavo2a009621P1	NP_651855.1
OG0001114	Lflavo2a003376P1, Lflavo2a003376P2	NP_649161.1
OG0001115	Lflavo2a000822P1, Lflavo2a000811P1, Lflavo2a000800P1	NP_001189114.1, NP_648822.1, NP_001261908.1, NP_648821.1
OG0001116	Lflavo2a001234P1	NP_001247240.1, NP_732775.1, NP_001247241.1, NP_732773.1, NP_732776.1
OG0001117	Lflavo2a007867P1, Lflavo2a007866P1, Lflavo2a007866P2	NP_651839.1
OG0001118	Lflavo2a007979P1	NP_649233.2, NP_730541.1
OG0001119	Lflavo2a005171P1, Lflavo2a011459P1, Lflavo2a013375P1	NP_001334738.1, NP_001334739.1
OG0001120	Lflavo2a010092P1	NP_001285249.1, NP_001285250.1, NP_572979.1
OG0001120	Lflavo2a014174P1	NP_651466.1
OG0001121	Lflavo2a001378P1, Lflavo2a001378P2	NP_001286671.1, NP_611570.3, NP_726049.1, NP_726048.1
OG0001122	Lflavo2a004978P1	NP_611872.1, NP_001285165.1, NP_001285166.1, NP_572824.1, NP_727638.2, NP_001138087.1, NP_650892.2, NP_001261216.1, NP_001261217.1, NP_001261218.1, NP_612049.1, NP_648161.1
OG0001123	Lflavo2a010549P1	NP_001162930.1, NP_001162932.1, NP_723541.1
OG0001124	Lflavo2a010569P1	NP_476865.1, NP_723948.1, NP_723949.1
OG0001125	Lflavo2a013251P1	NP_001286222.1, NP_001097236.2, NP_610438.2
OG0001126	Lflavo2a010771P1	NP_001260790.1, NP_724597.1, NP_001246191.1, NP_724598.1, NP_001260789.1, NP_724599.1
OG0001127	Lflavo2a000567P1, Lflavo2a000557P1	NP_001284933.1, NP_001245547.1, NP_572300.2, NP_001284932.1
OG0001128	Lflavo2a013143P1	NP_001285155.1, NP_572802.1, NP_001285154.1, NP_572801.2
OG0001129	Lflavo2a008571P1, Lflavo2a008571P2	NP_001261470.1, NP_001261469.1, NP_648033.2, NP_001261468.1
OG0001131	Lflavo2a008760P3, Lflavo2a008760P5, Lflavo2a008760P2	NP_001137777.1, NP_001259976.1, NP_652064.2, NP_722866.1
OG0001132	Lflavo2a003940P1	NP_001163706.1, NP_788728.1
OG0001133	Lflavo2a005391P1	NP_609613.2, NP_723791.2, NP_723789.2, NP_723790.2
OG0001134	Lflavo2a013532P1	NP_001261771.1, NP_001261776.1, NP_001261775.1, NP_001261770.1, NP_001261772.1, NP_001261774.1, NP_001261769.1, NP_648585.3, NP_001261773.1
OG0001135	Lflavo2a009079P4, Lflavo2a009079P3, Lflavo2a009079P1, Lflavo2a009079P2	NP_001287255.1, NP_788611.1
OG0001136	Lflavo2a009102P1	NP_788858.1, NP_001284905.1, NP_788859.1, NP_001284904.1
OG0001137	Lflavo2a001683P1, Lflavo2a001683P2	NP_001036362.1, NP_001036363.1, NP_001036364.2, NP_609733.1, NP_723890.2
OG0001138	Lflavo2a000114P1	NP_729429.1, NP_001261608.1, NP_648266.1, NP_729427.1, NP_729428.1, NP_001356978.1, NP_001356977.1
OG0001139	Lflavo2a009651P1, Lflavo2a009651P2	NP_001287355.1, NP_476709.1
OG0001140	Lflavo2a004078P1	NP_001138069.2, NP_732222.2, NP_001097056.3, NP_609192.1
OG0001141	Lflavo2a013660P2, Lflavo2a013660P4	NP_995623.2, NP_608770.4, NP_001097068.1, NP_001245856.1, NP_001097071.1, NP_001097069.1
OG0001142	Lflavo2a007994P1	NP_611608.1, NP_726115.1, NP_726114.1
OG0001143	Lflavo2a012405P1	NP_652073.2, NP_726389.4
OG0001144	Lflavo2a008075P1	NP_723188.1, NP_001245913.1, NP_523492.1
OG0001145	Lflavo2a013235P1	NP_511118.2
OG0001146	Lflavo2a000024P1	NP_524097.2
OG0001147	Lflavo2a004299P1	NP_524219.1
OG0001149	Lflavo2a011539P1	NP_001189213.1, NP_652025.2
OG0001151	Lflavo2a013537P1, Lflavo2a013537P2	NP_001247339.1, NP_524532.2
OG0001152	Lflavo2a001068P1, Lflavo2a001012P1	NP_001286439.1, NP_788355.1, NP_524702.3, NP_001286213.1, NP_001036532.1, NP_788286.1
OG0001153	Lflavo2a008923P1	NP_523653.2, NP_724613.1
OG0001155	Lflavo2a001544P1	NP_001285456.1, NP_728287.1, NP_523411.1
OG0001157	Lflavo2a011929P1	NP_001097341.1, NP_725603.2, NP_001097342.1, NP_725602.1
OG0001158	Lflavo2a008310P1	NP_001163480.1, NP_001163481.1, NP_001262101.1, NP_524178.2
OG0001159	Lflavo2a011480P1	NP_523655.1, NP_724621.1, NP_724622.1, NP_724623.1
OG0001162	Lflavo2a014083P1	NP_001286018.1, NP_609852.1
OG0001163	Lflavo2a014084P1	NP_649573.2, NP_996156.1
OG0001164	Lflavo2a011673P1	NP_001261989.1, NP_001287097.1, NP_001287098.1, NP_648991.1
OG0001165	Lflavo2a010108P1, Lflavo2a002780P1	NP_651321.1
OG0001166	Lflavo2a006658P1	NP_001260307.1, NP_723501.2
OG0001167	Lflavo2a001953P1	NP_511050.1, NP_728924.2
OG0001170	Lflavo2a001911P1	NP_788615.1, NP_001262427.1, NP_001262428.1, NP_649918.1
OG0001171	Lflavo2a012182P1	NP_001260761.1, NP_001260760.1, NP_524990.1, NP_724533.1
OG0001172	Lflavo2a003256P1, Lflavo2a003212P1	NP_649428.1, NP_730764.1, NP_730765.1, NP_001036608.1, NP_001261873.1, NP_996088.2, NP_649019.2
OG0001174	Lflavo2a013138P1	NP_001287439.1, NP_650960.2, NP_996255.1
OG0001175	Lflavo2a004760P4, Lflavo2a004760P2, Lflavo2a004760P1, Lflavo2a004760P5	NP_650854.1
OG0001176	Lflavo2a000748P1	NP_001285109.1, NP_572687.1, NP_727491.1, NP_727492.1, NP_727493.1, NP_727494.1
OG0001177	Lflavo2a008230P2, Lflavo2a008230P1, Lflavo2a008230P3	NP_610216.1
OG0001179	Lflavo2a008324P1	NP_001261869.1, NP_001189108.1, NP_648749.3
OG0001181	Lflavo2a004710P3, Lflavo2a004710P8, Lflavo2a004710P6, Lflavo2a004710P1, Lflavo2a004710P4, Lflavo2a004710P5, Lflavo2a004710P7, Lflavo2a004701P1	NP_001262788.1, NP_650927.1, NP_001036735.2
OG0001182	Lflavo2a011246P1	NP_001287044.1, NP_648565.1, NP_001287045.1, NP_729798.1
OG0001183	Lflavo2a001525P1	NP_001260779.1, NP_724572.1, NP_724573.1, NP_610293.3
OG0001184	Lflavo2a007581P1	NP_649057.1
OG0001185	Lflavo2a002972P2	NP_001261027.1, NP_652600.1
OG0001186	Lflavo2a001043P1, Lflavo2a001640P1	NP_001261450.1, NP_523941.2
OG0001188	Lflavo2a010103P1	NP_001014719.2, NP_570074.3, NP_726885.1, NP_726886.1
OG0001190	Lflavo2a003265P1	NP_001188742.1, NP_001097129.1, NP_609259.2
OG0001191	Lflavo2a008589P1, Lflavo2a008589P2	NP_001163739.2, NP_001287534.1, NP_001356889.1
OG0001192	Lflavo2a002269P1	NP_001188856.1, NP_001260620.1, NP_001260621.1, NP_610026.1
OG0001193	Lflavo2a010772P1	NP_609595.1, NP_001246015.1, NP_001260424.1, NP_001260425.1, NP_652004.2, NP_723775.1, NP_723776.1, NP_001260426.1, NP_523560.2
OG0001194	Lflavo2a004368P2, Lflavo2a004368P3, Lflavo2a004368P1	NP_651881.2, NP_733442.1
OG0001195	Lflavo2a008925P1	NP_609055.2
OG0001197	Lflavo2a007548P1	NP_001097585.3, NP_001262300.1, NP_524677.1
OG0001198	Lflavo2a004469P1	NP_001260245.1, NP_523510.1, NP_001260246.1
OG0001199	Lflavo2a011303P1	NP_572515.2, NP_001162711.1, NP_001188567.1, NP_001285029.1, NP_001188566.1, NP_001162712.1
OG0001200	Lflavo2a012286P1, Lflavo2a012286P6, Lflavo2a012286P4, Lflavo2a012286P5, Lflavo2a012286P2, Lflavo2a012286P3	NP_001262742.1, NP_001262741.1, NP_650833.1, NP_001163657.1, NP_001262743.1, NP_732455.1
OG0001201	Lflavo2a013282P1, Lflavo2a013279P1	NP_001259767.1, NP_542443.4, NP_728415.4, NP_001259768.1, NP_001259769.1, NP_001259766.1
OG0001202	Lflavo2a012259P1, Lflavo2a012259P2	NP_651288.1
OG0001203	Lflavo2a005228P1	NP_001259815.1, NP_001259816.1, NP_001259817.1, NP_477270.2
OG0001204	Lflavo2a000877P1	NP_001137695.1, NP_611254.2, NP_001163182.1, NP_001163183.1
OG0001206	Lflavo2a010757P1	NP_001163065.1, NP_724492.1, NP_001163066.1, NP_001036475.3, NP_001036474.2
OG0001207	Lflavo2a011115P1, Lflavo2a011115P2, Lflavo2a011115P3	NP_609408.1, NP_723591.1, NP_001260350.1, NP_609407.1, NP_001285763.1, NP_609252.1, NP_609253.1, NP_001285762.1, NP_609250.2, NP_609251.2
OG0001208	Lflavo2a010783P1	NP_001259821.1, NP_608520.1
OG0001210	Lflavo2a001062P1	NP_477133.1
OG0001211	Lflavo2a009863P1	NP_001284859.1, NP_525068.1
OG0001212	Lflavo2a006248P1, Lflavo2a006300P1	NP_001163477.1, NP_001287122.1, NP_649155.3
OG0001213	Lflavo2a004762P1	NP_001262104.1, NP_001262105.1, NP_649210.1, NP_730517.1, NP_730518.1, NP_730519.1, NP_730520.1, NP_788547.1
OG0001215	Lflavo2a012205P1, Lflavo2a012205P2	NP_610953.1
OG0001216	Lflavo2a014230P1	NP_001260291.1, NP_523523.2, NP_723460.1
OG0001217	Lflavo2a009947P1	NP_001262908.1, NP_524479.1
OG0001218	Lflavo2a012020P3, Lflavo2a012020P1, Lflavo2a012020P2	NP_001286746.1, NP_611720.3, NP_726252.1
OG0001219	Lflavo2a010132P1	NP_001287527.1, NP_001287528.1, NP_651398.1, NP_733107.1
OG0001220	Lflavo2a001232P1	NP_001033875.1, NP_001033876.1, NP_001033877.1
OG0001221	Lflavo2a009588P1, Lflavo2a009588P2	NP_651923.2
OG0001222	Lflavo2a014219P1	NP_001137930.1, NP_001097569.1, NP_648373.1, NP_001097568.1, NP_001287017.1
OG0001223	Lflavo2a000318P1	NP_001162713.1, NP_001245586.1, NP_572521.2
OG0001223	Lflavo2a009044P1	NP_536794.1, NP_611240.1, NP_476755.1, NP_723361.1, NP_608842.1
OG0001224	Lflavo2a013240P1	NP_611302.1, NP_725760.1
OG0001226	Lflavo2a005181P1, Lflavo2a005181P2	NP_001163577.1, NP_001163578.1, NP_001287264.1, NP_651988.2, NP_731403.2
OG0001229	Lflavo2a002036P1	NP_001246140.1, NP_610158.3, NP_724398.2, NP_724399.2, NP_724400.2, NP_724401.2, NP_724402.2
OG0001230	Lflavo2a005514P1	NP_001259951.1, NP_001259952.1, NP_001259953.1, NP_608703.2, NP_722827.1, NP_722828.1, NP_722829.1, NP_001259954.1
OG0001231	Lflavo2a006390P1, Lflavo2a006390P2	NP_001261886.1, NP_001261887.1
OG0001236	Lflavo2a010506P1, Lflavo2a010506P2	NP_732541.1, NP_732542.1, NP_001262774.1, NP_001303429.1
OG0001237	Lflavo2a005639P1	NP_001096969.1, NP_001285200.1, NP_001285201.1
OG0001238	Lflavo2a002320P1	NP_001163625.1, NP_001287343.1, NP_524369.1, NP_732081.1, NP_732082.1, NP_732083.1
OG0001239	Lflavo2a008595P1	NP_001263061.1, NP_651687.3, NP_733282.1
OG0001241	Lflavo2a006407P1	NP_001261755.1, NP_648571.1
OG0001243	Lflavo2a013674P1	NP_647872.1
OG0001244	Lflavo2a011506P1	NP_001189276.1, NP_001303545.1, NP_524475.1
OG0001245	Lflavo2a005807P1, Lflavo2a005807P2	NP_001247346.1, NP_001247347.1, NP_001247348.1, NP_733244.5, NP_001163757.1, NP_524998.1, NP_733245.1
OG0001246	Lflavo2a007346P1, Lflavo2a011842P1	NP_536776.2
OG0001247	Lflavo2a003455P1	NP_001014612.1, NP_649942.1
OG0001248	Lflavo2a005250P1	NP_648499.1
OG0001249	Lflavo2a013098P1	NP_648313.1
OG0001250	Lflavo2a014214P1, Lflavo2a014214P2	NP_001259513.1, NP_572878.1
OG0001251	Lflavo2a010751P1	NP_001263091.1, NP_651749.1
OG0001252	Lflavo2a003363P1, Lflavo2a003363P2	NP_647877.1, NP_728963.1
OG0001253	Lflavo2a004494P1	NP_609362.1
OG0001255	Lflavo2a000545P1, Lflavo2a000545P2	NP_788503.1, NP_788504.1, NP_788505.1, NP_001261814.1, NP_524697.1
OG0001256	Lflavo2a005218P1, Lflavo2a006949P1, Lflavo2a000903P1	NP_001286175.1, NP_001286176.1, NP_610340.1, NP_001369065.1
OG0001257	Lflavo2a004916P1	NP_001097001.1, NP_523372.2, NP_001259621.1
OG0001258	Lflavo2a009684P1	NP_001286090.1, NP_001286091.1, NP_610001.1, NP_724223.4
OG0001260	Lflavo2a002784P1, Lflavo2a002784P2	NP_001369117.1, NP_611836.2
OG0001261	Lflavo2a003358P1, Lflavo2a003358P2	NP_001287595.1, NP_651737.1, NP_001263083.1
OG0001262	Lflavo2a014118P1, Lflavo2a014118P2	NP_001259088.1, NP_569834.1
OG0001263	Lflavo2a001960P1	NP_001097008.2, NP_001259635.1, NP_001259636.1, NP_001245725.1, NP_573187.2, NP_001259637.1
OG0001264	Lflavo2a014002P1	NP_001261368.1, NP_995987.1, NP_001097492.2, NP_001261367.1, NP_001189041.1, NP_523900.1, NP_995988.1
OG0001265	Lflavo2a004904P1	NP_001163740.1, NP_001163741.1, NP_001287535.1, NP_651437.1, NP_733123.1, NP_733124.1
OG0001266	Lflavo2a001119P1, Lflavo2a001119P2	NP_001285274.1, NP_788908.1, NP_001356946.1, NP_788907.1
OG0001268	Lflavo2a008033P1, Lflavo2a008033P2, Lflavo2a008033P3, Lflavo2a008033P4	NP_611333.1, NP_001097365.1, NP_001097366.1
OG0001270	Lflavo2a009001P1	NP_476729.1, NP_001097333.1, NP_476728.1, NP_001097334.1, NP_476727.1, NP_001261017.1
OG0001271	Lflavo2a008658P2, Lflavo2a008658P3, Lflavo2a008658P7, Lflavo2a008658P5	NP_001262604.1, NP_732036.2, NP_996218.1
OG0001272	Lflavo2a014339P1	NP_525084.1, NP_727538.1
OG0001274	Lflavo2a008910P1	NP_001033869.1, NP_001259856.1, NP_001033870.1
OG0001276	Lflavo2a005686P1, Lflavo2a005686P2	NP_001262135.1, NP_524193.2
OG0001277	Lflavo2a009464P1	NP_001286475.1, NP_725521.1
OG0001278	Lflavo2a006780P1	NP_001097680.1, NP_001287156.1, NP_649464.1
OG0001279	Lflavo2a006795P1	NP_650901.2
OG0001283	Lflavo2a005591P1	NP_572836.1
OG0001284	Lflavo2a006461P1	NP_001245895.1, NP_001245898.1, NP_001245894.1, NP_001245897.1, NP_001260101.1, NP_608938.1, NP_723092.1, NP_001245896.1
OG0001285	Lflavo2a002791P1	NP_001287541.1, NP_733141.1, NP_733142.1, NP_733143.1, NP_733144.3, NP_001262985.1, NP_733140.2, NP_996300.1, NP_524515.2, NP_733145.3
OG0001286	Lflavo2a009206P1, Lflavo2a009206P2	NP_610511.3, NP_001260830.1, NP_995788.1
OG0001287	Lflavo2a000326P1	NP_001261088.1, NP_611415.2, NP_611414.1, NP_001246418.1, NP_725876.1, NP_611413.2, NP_001163202.2, NP_001261089.1, NP_611416.2
OG0001288	Lflavo2a002370P1, Lflavo2a010650P2, Lflavo2a010650P5	NP_524655.1, NP_728486.1
OG0001290	Lflavo2a006299P1	NP_001162692.1, NP_572400.1
OG0001292	Lflavo2a001272P1	NP_001014613.2, NP_001027170.1, NP_476577.3, NP_476576.1, NP_476578.3
OG0001293	Lflavo2a007558P1	NP_610446.1, NP_995781.1, NP_995782.1
OG0001294	Lflavo2a010090P1, Lflavo2a010090P5, Lflavo2a010090P3, Lflavo2a010090P4, Lflavo2a010090P2	NP_523760.1
OG0001295	Lflavo2a008703P1, Lflavo2a008703P2	NP_001188772.1, NP_001260316.1, NP_723540.1
OG0001296	Lflavo2a004328P1, Lflavo2a010611P1, Lflavo2a004594P1, Lflavo2a004594P2	NP_001263008.1, NP_476971.1
OG0001298	Lflavo2a013407P1, Lflavo2a013407P2, Lflavo2a013407P3	NP_001246147.1, NP_652063.1
OG0001299	Lflavo2a005263P1, Lflavo2a005263P2	NP_001285196.1, NP_001259503.1, NP_727679.1, NP_511145.2, NP_001259504.1, NP_001259505.1
OG0001300	Lflavo2a011514P1	NP_001245775.1, NP_001245776.1, NP_523417.2
OG0001302	Lflavo2a001604P1	NP_001188837.1, NP_001188838.1
OG0001303	Lflavo2a001537P1	NP_649808.1
OG0001304	Lflavo2a011626P1	NP_524683.2
OG0001305	Lflavo2a012424P1	NP_001260577.1, NP_724192.1, NP_001246091.1, NP_724193.1, NP_609967.1
OG0001307	Lflavo2a006197P1	NP_001260013.1, NP_523469.2, NP_001260014.1
OG0001308	Lflavo2a003270P1	NP_733041.2, NP_001303446.1, NP_001303447.1, NP_001262931.1
OG0001309	Lflavo2a001704P1	NP_609206.1
OG0001309	Lflavo2a001656P4, Lflavo2a001656P1, Lflavo2a001656P2	NP_611651.4, NP_726175.3
OG0001310	Lflavo2a011169P1	NP_001285211.1, NP_727708.1
OG0001311	Lflavo2a009921P1	NP_001137878.2, NP_001246580.1, NP_001137879.3
OG0001312	Lflavo2a013046P2, Lflavo2a013046P4, Lflavo2a013046P1, Lflavo2a013046P3	NP_001189074.1, NP_648276.1, NP_729438.1, NP_729439.1
OG0001313	Lflavo2a004128P1	NP_728573.1, NP_728574.1
OG0001314	Lflavo2a004071P1, Lflavo2a004064P1	NP_001162895.2
OG0001315	Lflavo2a012134P1	NP_726286.1, NP_001286756.1, NP_001286757.1, NP_001286758.1, NP_001286754.1, NP_611751.1, NP_726284.1, NP_726285.1, NP_001286755.1
OG0001316	Lflavo2a004553P1, Lflavo2a004553P2	NP_001138163.1, NP_511054.4, NP_001259266.1
OG0001318	Lflavo2a006010P1	NP_001286589.1, NP_788409.1
OG0001320	Lflavo2a001028P2, Lflavo2a001028P1, Lflavo2a001028P3, Lflavo2a001028P4	NP_001163309.2, NP_001163310.2, NP_612031.3, NP_728522.2, NP_728523.2
OG0001322	Lflavo2a011574P1	NP_001286326.1, NP_001286327.1, NP_725099.2, NP_612572.3
OG0001323	Lflavo2a009226P1	NP_001137800.1, NP_001260131.1, NP_001285671.1, NP_609027.3
OG0001324	Lflavo2a000433P2	NP_610203.2, NP_724453.1, NP_724454.1, NP_001260719.1, NP_724455.2
OG0001326	Lflavo2a003094P1, Lflavo2a003094P2	NP_995939.1, NP_001246495.1, NP_611936.2, NP_001286848.1
OG0001327	Lflavo2a004470P1	NP_001036666.2, NP_001287157.1, NP_788574.3
OG0001328	Lflavo2a010050P1	NP_001027249.1, NP_001027252.1, NP_001027250.1, NP_001027248.1
OG0001329	Lflavo2a004236P1	NP_650889.1, NP_732515.1
OG0001331	Lflavo2a001821P2, Lflavo2a001821P1, Lflavo2a001821P6, Lflavo2a001821P3, Lflavo2a001821P5, Lflavo2a001821P4	NP_001261664.1, NP_524014.2, NP_729562.1
OG0001332	Lflavo2a011565P1	NP_001261626.1, NP_001261627.1, NP_524829.1, NP_729481.1, NP_729482.1, NP_729483.1, NP_729484.1, NP_729485.1, NP_729480.1
OG0001333	Lflavo2a013314P1	NP_608737.1, NP_651434.3
OG0001334	Lflavo2a006816P1	NP_001261703.1, NP_648440.2, NP_729673.2, NP_729674.2, NP_729675.2, NP_001261701.1, NP_729672.1, NP_001261702.1
OG0001335	Lflavo2a000993P1, Lflavo2a000993P2	NP_001286774.1, NP_001286775.1, NP_001286773.1, NP_476864.2, NP_788434.1
OG0001336	Lflavo2a012902P1	NP_001286615.1, NP_611421.1
OG0001337	Lflavo2a007950P1	NP_611023.1, NP_725443.1, NP_001286442.1, NP_001286443.1, NP_001286444.1
OG0001338	Lflavo2a005844P2, Lflavo2a005844P5, Lflavo2a005844P3, Lflavo2a005844P1, Lflavo2a005844P4	NP_001137750.1, NP_001286821.1, NP_001303418.1, NP_477122.1, NP_731134.1
OG0001339	Lflavo2a001065P1	NP_001245957.1, NP_001245956.1, NP_001036350.2, NP_001245955.1, NP_609334.1, NP_001260310.1, NP_001369126.1
OG0001340	Lflavo2a005707P1	NP_001287429.1, NP_732519.3, NP_001287428.1, NP_001287430.1, NP_650891.1, NP_996244.1
OG0001341	Lflavo2a009133P1	NP_611359.1, NP_001097370.2, NP_001097369.2, NP_001188969.1, NP_611361.4, NP_001286587.1
OG0001342	Lflavo2a009467P1	NP_001286602.1, NP_001014537.1, NP_001014536.1, NP_725857.1, NP_725858.1, NP_001137709.1, NP_725859.2
OG0001344	Lflavo2a000845P1	NP_001097392.1, NP_611547.2
