Orthogroup	Liostenogaster_flavolineata	Polistes_dominula
OG0000472	Lflavo2a012928P1	lcl|NW_015148975.1_prot_XP_015191056.1_3488, lcl|NW_015148975.1_prot_XP_015191060.1_3491, lcl|NW_015148975.1_prot_XP_015191057.1_3489, lcl|NW_015148975.1_prot_XP_015191059.1_3490
OG0000473	Lflavo2a011501P1, Lflavo2a011501P2	lcl|NW_015148977.1_prot_XP_015171133.1_3982, lcl|NW_015148977.1_prot_XP_015171132.1_3983, lcl|NW_015148977.1_prot_XP_015171136.1_3981, lcl|NW_015148977.1_prot_XP_015171131.1_3984
OG0000475	Lflavo2a007574P3, Lflavo2a007574P1, Lflavo2a007574P2, Lflavo2a007583P1	lcl|NW_015148973.1_prot_XP_015190011.1_2263, lcl|NW_015148973.1_prot_XP_015190010.1_2264, lcl|NW_015148973.1_prot_XP_015190012.1_2262, lcl|NW_015148973.1_prot_XP_015190013.1_2261, lcl|NW_015148973.1_prot_XP_015190014.1_2265
OG0000476	Lflavo2a003101P1, Lflavo2a003101P2	lcl|NW_015148973.1_prot_XP_015190303.1_2568, lcl|NW_015148973.1_prot_XP_015190304.1_2569, lcl|NW_015148973.1_prot_XP_015190302.1_2567, lcl|NW_015148973.1_prot_XP_015190301.1_2563, lcl|NW_015148973.1_prot_XP_015190293.1_2566, lcl|NW_015148973.1_prot_XP_015190299.1_2562, lcl|NW_015148973.1_prot_XP_015190294.1_2565, lcl|NW_015148973.1_prot_XP_015190295.1_2564, lcl|NW_015148973.1_prot_XP_015190300.1_2559, lcl|NW_015148973.1_prot_XP_015190297.1_2560, lcl|NW_015148973.1_prot_XP_015190298.1_2561
OG0000477	Lflavo2a004356P1	lcl|NW_015148972.1_prot_XP_015183935.1_1337, lcl|NW_015148972.1_prot_XP_015183943.1_1335, lcl|NW_015148972.1_prot_XP_015183925.1_1336
OG0000478	Lflavo2a009366P2, Lflavo2a009366P1, Lflavo2a009366P4, Lflavo2a009366P3, Lflavo2a009366P5	lcl|NW_015148999.1_prot_XP_015176993.1_9132, lcl|NW_015148999.1_prot_XP_015176991.1_9131, lcl|NW_015148999.1_prot_XP_015176988.1_9130, lcl|NW_015148999.1_prot_XP_015176989.1_9129, lcl|NW_015148999.1_prot_XP_015176992.1_9128
OG0000479	Lflavo2a014085P1	lcl|NW_015148989.1_prot_XP_015174511.1_6969, lcl|NW_015148989.1_prot_XP_015174509.1_6970, lcl|NW_015148989.1_prot_XP_015174512.1_6972, lcl|NW_015148989.1_prot_XP_015174513.1_6973, lcl|NW_015148989.1_prot_XP_015174510.1_6971
OG0000480	Lflavo2a009737P1, Lflavo2a009737P6, Lflavo2a009737P4, Lflavo2a009737P2, Lflavo2a009737P3, Lflavo2a009737P5	lcl|NW_015149031.1_prot_XP_015182364.1_14117, lcl|NW_015149031.1_prot_XP_015182370.1_14112, lcl|NW_015149031.1_prot_XP_015182369.1_14113, lcl|NW_015149031.1_prot_XP_015182368.1_14114, lcl|NW_015149031.1_prot_XP_015182366.1_14116, lcl|NW_015149031.1_prot_XP_015182367.1_14115
OG0000481	Lflavo2a000386P2, Lflavo2a000386P6, Lflavo2a000386P1, Lflavo2a000386P5, Lflavo2a000386P4, Lflavo2a000386P3, Lflavo2a000386P7	lcl|NW_015149022.1_prot_XP_015181281.1_12994, lcl|NW_015149022.1_prot_XP_015181280.1_12993, lcl|NW_015149022.1_prot_XP_015181282.1_12995
OG0000482	Lflavo2a004193P1	lcl|NW_015148970.1_prot_XP_015172442.1_589, lcl|NW_015148970.1_prot_XP_015172460.1_590, lcl|NW_015148970.1_prot_XP_015172450.1_593, lcl|NW_015148970.1_prot_XP_015172415.1_592, lcl|NW_015148970.1_prot_XP_015172435.1_591, lcl|NW_015148970.1_prot_XP_015172426.1_594
OG0000483	Lflavo2a000796P1, Lflavo2a000796P2	lcl|NW_015148982.1_prot_XP_015172798.1_5622, lcl|NW_015148982.1_prot_XP_015172797.1_5624, lcl|NW_015148982.1_prot_XP_015172793.1_5623, lcl|NW_015148982.1_prot_XP_015172796.1_5621
OG0000484	Lflavo2a006608P1	lcl|NW_015149010.1_prot_XP_015178932.1_10866, lcl|NW_015149010.1_prot_XP_015178933.1_10867, lcl|NW_015149010.1_prot_XP_015178934.1_10861, lcl|NW_015149010.1_prot_XP_015178928.1_10862, lcl|NW_015149010.1_prot_XP_015178929.1_10864, lcl|NW_015149010.1_prot_XP_015178931.1_10865, lcl|NW_015149010.1_prot_XP_015178930.1_10863
OG0000485	Lflavo2a008981P1, Lflavo2a008981P2	lcl|NW_015149006.1_prot_XP_015177952.1_10108, lcl|NW_015149006.1_prot_XP_015177953.1_10109, lcl|NW_015149006.1_prot_XP_015177954.1_10107, lcl|NW_015149006.1_prot_XP_015177951.1_10110
OG0000486	Lflavo2a002318P3, Lflavo2a002318P1, Lflavo2a002318P2	lcl|NW_015149051.1_prot_XP_015184431.1_15881, lcl|NW_015149051.1_prot_XP_015184429.1_15882, lcl|NW_015149051.1_prot_XP_015184432.1_15879, lcl|NW_015149051.1_prot_XP_015184430.1_15880
OG0000487	Lflavo2a002663P3, Lflavo2a002663P2, Lflavo2a002663P1, Lflavo2a002663P4	lcl|NW_015149161.1_prot_XP_015189204.1_20197, lcl|NW_015149161.1_prot_XP_015189205.1_20198, lcl|NW_015149161.1_prot_XP_015189200.1_20200, lcl|NW_015149161.1_prot_XP_015189201.1_20201, lcl|NW_015149161.1_prot_XP_015189202.1_20202, lcl|NW_015149161.1_prot_XP_015189203.1_20203, lcl|NW_015149161.1_prot_XP_015189207.1_20196, lcl|NW_015149161.1_prot_XP_015189206.1_20199
OG0000488	Lflavo2a012729P1, Lflavo2a012729P2	lcl|NW_015149060.1_prot_XP_015185143.1_16550, lcl|NW_015149060.1_prot_XP_015185142.1_16548, lcl|NW_015149060.1_prot_XP_015185141.1_16549
OG0000489	Lflavo2a004021P5, Lflavo2a004021P3, Lflavo2a004021P4, Lflavo2a004021P1, Lflavo2a004021P2	lcl|NW_015148984.1_prot_XP_015173301.1_5921
OG0000490	Lflavo2a012042P1, Lflavo2a012133P1	lcl|NW_015149074.1_prot_XP_015186194.1_17443, lcl|NW_015149074.1_prot_XP_015186195.1_17444
OG0000491	Lflavo2a003773P1	lcl|NW_015148992.1_prot_XP_015175383.1_7742
OG0000493	Lflavo2a001029P1	lcl|NW_015148973.1_prot_XP_015190509.1_2178
OG0000494	Lflavo2a013644P1, Lflavo2a013644P2	lcl|NW_015149016.1_prot_XP_015180371.1_12294, lcl|NW_015149016.1_prot_XP_015180369.1_12292, lcl|NW_015149016.1_prot_XP_015180368.1_12291, lcl|NW_015149016.1_prot_XP_015180370.1_12293
OG0000495	Lflavo2a012132P2, Lflavo2a012132P7, Lflavo2a012132P4, Lflavo2a012132P6, Lflavo2a012132P1, Lflavo2a012132P3	lcl|NW_015149021.1_prot_XP_015181148.1_12969, lcl|NW_015149021.1_prot_XP_015181147.1_12966, lcl|NW_015149021.1_prot_XP_015181145.1_12967, lcl|NW_015149021.1_prot_XP_015181146.1_12968
OG0000496	Lflavo2a005753P1	lcl|NW_015148987.1_prot_XP_015174027.1_6460, lcl|NW_015148987.1_prot_XP_015174026.1_6459, lcl|NW_015148987.1_prot_XP_015174035.1_6458, lcl|NW_015148987.1_prot_XP_015174030.1_6463, lcl|NW_015148987.1_prot_XP_015174031.1_6464, lcl|NW_015148987.1_prot_XP_015174032.1_6465, lcl|NW_015148987.1_prot_XP_015174029.1_6457, lcl|NW_015148987.1_prot_XP_015174033.1_6461, lcl|NW_015148987.1_prot_XP_015174034.1_6462
OG0000497	Lflavo2a014303P1	lcl|NW_015149048.1_prot_XP_015184169.1_15650, lcl|NW_015149048.1_prot_XP_015184172.1_15649, lcl|NW_015149048.1_prot_XP_015184171.1_15651, lcl|NW_015149048.1_prot_XP_015184170.1_15652
OG0000498	Lflavo2a007324P1	lcl|NW_015149013.1_prot_XP_015179807.1_11677
OG0000499	Lflavo2a010597P1	lcl|NW_015148971.1_prot_XP_015175584.1_758
OG0000500	Lflavo2a003769P1, Lflavo2a003769P2, Lflavo2a006698P1	lcl|NW_015148998.1_prot_XP_015176534.1_8820, lcl|NW_015148998.1_prot_XP_015176535.1_8821, lcl|NW_015148998.1_prot_XP_015176536.1_8822, lcl|NW_015148998.1_prot_XP_015176537.1_8823, lcl|NW_015148998.1_prot_XP_015176538.1_8824, lcl|NW_015148998.1_prot_XP_015176530.1_8825, lcl|NW_015148998.1_prot_XP_015176532.1_8826, lcl|NW_015148998.1_prot_XP_015176533.1_8827
OG0000501	Lflavo2a004270P1	lcl|NW_015149026.1_prot_XP_015181842.1_13688, lcl|NW_015149026.1_prot_XP_015181843.1_13689
OG0000502	Lflavo2a005245P6, Lflavo2a005245P2, Lflavo2a005245P7, Lflavo2a005245P3, Lflavo2a005245P4, Lflavo2a005245P5	lcl|NW_015149131.1_prot_XP_015188635.1_19718, lcl|NW_015149131.1_prot_XP_015188630.1_19716, lcl|NW_015149131.1_prot_XP_015188631.1_19717, lcl|NW_015149131.1_prot_XP_015188632.1_19715, lcl|NW_015149131.1_prot_XP_015188634.1_19713, lcl|NW_015149131.1_prot_XP_015188633.1_19714
OG0000503	Lflavo2a002212P1, Lflavo2a002212P2	lcl|NW_015148990.1_prot_XP_015174903.1_7002, lcl|NW_015148990.1_prot_XP_015174904.1_7003
OG0000504	Lflavo2a005700P1	lcl|NW_015149041.1_prot_XP_015183457.1_15010
OG0000505	Lflavo2a000528P1	lcl|NW_015148973.1_prot_XP_015188783.1_2591, lcl|NW_015148973.1_prot_XP_015188792.1_2592, lcl|NW_015148973.1_prot_XP_015188801.1_2593, lcl|NW_015148973.1_prot_XP_015188807.1_2594, lcl|NW_015148973.1_prot_XP_015188816.1_2595
OG0000506	Lflavo2a012747P17, Lflavo2a012747P21, Lflavo2a012747P8, Lflavo2a012747P2, Lflavo2a012747P3, Lflavo2a012747P9, Lflavo2a012747P6, Lflavo2a012747P1, Lflavo2a012747P5, Lflavo2a012747P4, Lflavo2a012747P7	lcl|NW_015149004.1_prot_XP_015177620.1_9772, lcl|NW_015149004.1_prot_XP_015177619.1_9773, lcl|NW_015149004.1_prot_XP_015177621.1_9774, lcl|NW_015149004.1_prot_XP_015177622.1_9775
OG0000507	Lflavo2a002155P1	lcl|NW_015149034.1_prot_XP_015182588.1_14230, lcl|NW_015149034.1_prot_XP_015182585.1_14231, lcl|NW_015149034.1_prot_XP_015182586.1_14232, lcl|NW_015149034.1_prot_XP_015182587.1_14233
OG0000508	Lflavo2a002513P5	lcl|NW_015149114.1_prot_XP_015188136.1_19249, lcl|NW_015149114.1_prot_XP_015188134.1_19248
OG0000509	Lflavo2a000936P1	lcl|NW_015149012.1_prot_XP_015179451.1_11413, lcl|NW_015149012.1_prot_XP_015179452.1_11414, lcl|NW_015149012.1_prot_XP_015179453.1_11415, lcl|NW_015149012.1_prot_XP_015179454.1_11416, lcl|NW_015149012.1_prot_XP_015179455.1_11417
OG0000511	Lflavo2a001421P4, Lflavo2a001421P3, Lflavo2a001421P1, Lflavo2a001421P2	lcl|NW_015148975.1_prot_XP_015191220.1_3320
OG0000512	Lflavo2a000390P1	lcl|NW_015149054.1_prot_XP_015184645.1_16095, lcl|NW_015149054.1_prot_XP_015184644.1_16093, lcl|NW_015149054.1_prot_XP_015184647.1_16092
OG0000513	Lflavo2a007003P1	lcl|NW_015148970.1_prot_XP_015191234.1_68, lcl|NW_015148970.1_prot_XP_015191243.1_69, lcl|NW_015148970.1_prot_XP_015191252.1_70, lcl|NW_015148970.1_prot_XP_015191192.1_71, lcl|NW_015148970.1_prot_XP_015191199.1_72, lcl|NW_015148970.1_prot_XP_015191208.1_73, lcl|NW_015148970.1_prot_XP_015191217.1_74, lcl|NW_015148970.1_prot_XP_015191225.1_75
OG0000514	Lflavo2a002876P1	lcl|NW_015149015.1_prot_XP_015180081.1_12020, lcl|NW_015149015.1_prot_XP_015180080.1_12021, lcl|NW_015149015.1_prot_XP_015180077.1_12023, lcl|NW_015149015.1_prot_XP_015180079.1_12022, lcl|NW_015149015.1_prot_XP_015180078.1_12024, lcl|NW_015149015.1_prot_XP_015180076.1_12025
OG0000515	Lflavo2a002330P3, Lflavo2a002330P1, Lflavo2a002330P2	lcl|NW_015148996.1_prot_XP_015176024.1_8346, lcl|NW_015148996.1_prot_XP_015176023.1_8342, lcl|NW_015148996.1_prot_XP_015176026.1_8347, lcl|NW_015148996.1_prot_XP_015176021.1_8343, lcl|NW_015148996.1_prot_XP_015176022.1_8345, lcl|NW_015148996.1_prot_XP_015176025.1_8344
OG0000516	Lflavo2a007401P1	lcl|NW_015148988.1_prot_XP_015174344.1_6833, lcl|NW_015148988.1_prot_XP_015174345.1_6834, lcl|NW_015148988.1_prot_XP_015174346.1_6835, lcl|NW_015148988.1_prot_XP_015174347.1_6836
OG0000517	Lflavo2a003423P1	lcl|NW_015148973.1_prot_XP_015190102.1_2500, lcl|NW_015148973.1_prot_XP_015190101.1_2499, lcl|NW_015148973.1_prot_XP_015190103.1_2498
OG0000518	Lflavo2a004645P1, Lflavo2a004645P2	lcl|NW_015149055.1_prot_XP_015184739.1_16243, lcl|NW_015149055.1_prot_XP_015184740.1_16244, lcl|NW_015149055.1_prot_XP_015184741.1_16245, lcl|NW_015149055.1_prot_XP_015184729.1_16236, lcl|NW_015149055.1_prot_XP_015184728.1_16233, lcl|NW_015149055.1_prot_XP_015184736.1_16235, lcl|NW_015149055.1_prot_XP_015184730.1_16238, lcl|NW_015149055.1_prot_XP_015184731.1_16239, lcl|NW_015149055.1_prot_XP_015184732.1_16240, lcl|NW_015149055.1_prot_XP_015184733.1_16241, lcl|NW_015149055.1_prot_XP_015184737.1_16242, lcl|NW_015149055.1_prot_XP_015184735.1_16234, lcl|NW_015149055.1_prot_XP_015184738.1_16237
OG0000519	Lflavo2a004211P1	lcl|NW_015148984.1_prot_XP_015173296.1_5917, lcl|NW_015148984.1_prot_XP_015173297.1_5918, lcl|NW_015148984.1_prot_XP_015173298.1_5919, lcl|NW_015148984.1_prot_XP_015173293.1_5916, lcl|NW_015148984.1_prot_XP_015173295.1_5915, lcl|NW_015148984.1_prot_XP_015173292.1_5913, lcl|NW_015148984.1_prot_XP_015173294.1_5914
OG0000520	Lflavo2a005351P1	lcl|NW_015148997.1_prot_XP_015176246.1_8641
OG0000521	Lflavo2a000803P1	lcl|NW_015149080.1_prot_XP_015186486.1_17727, lcl|NW_015149080.1_prot_XP_015186485.1_17725, lcl|NW_015149080.1_prot_XP_015186484.1_17726
OG0000523	Lflavo2a007425P1	lcl|NW_015148991.1_prot_XP_015175001.1_7598, lcl|NW_015148991.1_prot_XP_015175002.1_7599, lcl|NW_015148991.1_prot_XP_015175003.1_7600, lcl|NW_015148991.1_prot_XP_015175004.1_7601, lcl|NW_015148991.1_prot_XP_015175005.1_7602, lcl|NW_015148991.1_prot_XP_015175007.1_7596, lcl|NW_015148991.1_prot_XP_015175006.1_7597, lcl|NW_015148991.1_prot_XP_015175008.1_7603, lcl|NW_015148991.1_prot_XP_015175010.1_7604, lcl|NW_015148991.1_prot_XP_015175011.1_7605
OG0000524	Lflavo2a002006P1	lcl|NW_015148980.1_prot_XP_015172482.1_5157
OG0000525	Lflavo2a006526P1, Lflavo2a003552P1, Lflavo2a003557P1	lcl|NW_015149063.1_prot_XP_015185370.1_16785
OG0000526	Lflavo2a008233P1	lcl|NW_015149029.1_prot_XP_015182159.1_13885, lcl|NW_015149029.1_prot_XP_015182160.1_13886, lcl|NW_015149029.1_prot_XP_015182161.1_13887, lcl|NW_015149029.1_prot_XP_015182162.1_13888, lcl|NW_015149029.1_prot_XP_015182163.1_13889, lcl|NW_015149029.1_prot_XP_015182164.1_13890, lcl|NW_015149029.1_prot_XP_015182165.1_13891, lcl|NW_015149029.1_prot_XP_015182166.1_13892
OG0000527	Lflavo2a001648P3, Lflavo2a001648P2, Lflavo2a001648P1	lcl|NW_015148991.1_prot_XP_015175109.1_7400, lcl|NW_015148991.1_prot_XP_015175106.1_7398, lcl|NW_015148991.1_prot_XP_015175107.1_7399, lcl|NW_015148991.1_prot_XP_015175108.1_7397, lcl|NW_015148991.1_prot_XP_015175111.1_7401, lcl|NW_015148991.1_prot_XP_015175112.1_7402, lcl|NW_015148991.1_prot_XP_015175113.1_7403, lcl|NW_015148991.1_prot_XP_015175114.1_7404
OG0000528	Lflavo2a006588P1, Lflavo2a006588P2	lcl|NW_015148971.1_prot_XP_015180482.1_1030, lcl|NW_015148971.1_prot_XP_015180492.1_1031, lcl|NW_015148971.1_prot_XP_015180510.1_1032, lcl|NW_015148971.1_prot_XP_015180501.1_1033
OG0000529	Lflavo2a004979P1	lcl|NW_015149144.1_prot_XP_015188868.1_19901, lcl|NW_015149144.1_prot_XP_015188869.1_19902, lcl|NW_015149144.1_prot_XP_015188871.1_19903
OG0000530	Lflavo2a009747P1, Lflavo2a009747P2	lcl|NW_015149162.1_prot_XP_015189237.1_20223, lcl|NW_015149162.1_prot_XP_015189236.1_20225, lcl|NW_015149162.1_prot_XP_015189239.1_20226, lcl|NW_015149162.1_prot_XP_015189238.1_20222, lcl|NW_015149162.1_prot_XP_015189235.1_20224
OG0000531	Lflavo2a002087P1	lcl|NW_015148970.1_prot_XP_015191475.1_318, lcl|NW_015148970.1_prot_XP_015191467.1_319, lcl|NW_015148970.1_prot_XP_015191484.1_325, lcl|NW_015148970.1_prot_XP_015191425.1_320, lcl|NW_015148970.1_prot_XP_015191433.1_321, lcl|NW_015148970.1_prot_XP_015191441.1_322, lcl|NW_015148970.1_prot_XP_015191450.1_323, lcl|NW_015148970.1_prot_XP_015191457.1_324
OG0000532	Lflavo2a008897P1	lcl|NW_015148973.1_prot_XP_015190022.1_2166, lcl|NW_015149015.1_prot_XP_015180247.1_11996, lcl|NW_015149015.1_prot_XP_015179982.1_11994
OG0000533	Lflavo2a006387P1	lcl|NW_015148978.1_prot_XP_015171556.1_4277
OG0000534	Lflavo2a009065P1	lcl|NW_015149011.1_prot_XP_015179089.1_11287
OG0000536	Lflavo2a012620P1	lcl|NW_015149054.1_prot_XP_015184679.1_16121
OG0000537	Lflavo2a007097P2, Lflavo2a007097P1, Lflavo2a007097P3	lcl|NW_015149121.1_prot_XP_015188369.1_19455, lcl|NW_015149121.1_prot_XP_015188371.1_19456, lcl|NW_015149121.1_prot_XP_015188372.1_19457, lcl|NW_015149121.1_prot_XP_015188370.1_19454, lcl|NW_015149121.1_prot_XP_015188368.1_19453
OG0000538	Lflavo2a002116P1	lcl|NW_015149036.1_prot_XP_015182897.1_14534, lcl|NW_015149036.1_prot_XP_015182898.1_14535, lcl|NW_015149036.1_prot_XP_015182899.1_14536, lcl|NW_015149036.1_prot_XP_015182900.1_14537
OG0000539	Lflavo2a010456P1	lcl|NW_015149047.1_prot_XP_015184067.1_15523, lcl|NW_015149047.1_prot_XP_015184062.1_15524, lcl|NW_015149047.1_prot_XP_015184063.1_15525, lcl|NW_015149047.1_prot_XP_015184064.1_15526, lcl|NW_015149047.1_prot_XP_015184065.1_15527, lcl|NW_015149047.1_prot_XP_015184066.1_15528
OG0000540	Lflavo2a010439P1	lcl|NW_015149010.1_prot_XP_015178838.1_10799, lcl|NW_015149010.1_prot_XP_015178835.1_10800, lcl|NW_015149010.1_prot_XP_015178839.1_10797, lcl|NW_015149010.1_prot_XP_015178840.1_10796, lcl|NW_015149010.1_prot_XP_015178842.1_10795, lcl|NW_015149010.1_prot_XP_015178836.1_10801, lcl|NW_015149010.1_prot_XP_015178837.1_10798, lcl|NW_015149010.1_prot_XP_015178843.1_10802
OG0000541	Lflavo2a011619P1, Lflavo2a011619P4, Lflavo2a011619P2, Lflavo2a011619P3	lcl|NW_015149074.1_prot_XP_015186140.1_17455, lcl|NW_015149074.1_prot_XP_015186135.1_17453, lcl|NW_015149074.1_prot_XP_015186137.1_17454, lcl|NW_015149074.1_prot_XP_015186138.1_17456, lcl|NW_015149074.1_prot_XP_015186136.1_17457, lcl|NW_015149074.1_prot_XP_015186134.1_17458
OG0000542	Lflavo2a011869P1	lcl|NW_015148990.1_prot_XP_015174729.1_7104, lcl|NW_015148990.1_prot_XP_015174731.1_7102, lcl|NW_015148990.1_prot_XP_015174726.1_7105, lcl|NW_015148990.1_prot_XP_015174732.1_7103, lcl|NW_015148990.1_prot_XP_015174728.1_7106, lcl|NW_015148990.1_prot_XP_015174727.1_7107
OG0000543	Lflavo2a003418P3, Lflavo2a003418P6, Lflavo2a003418P4, Lflavo2a003418P1, Lflavo2a003418P2	lcl|NW_015149039.1_prot_XP_015183186.1_14783, lcl|NW_015149039.1_prot_XP_015183187.1_14785, lcl|NW_015149039.1_prot_XP_015183185.1_14786, lcl|NW_015149039.1_prot_XP_015183183.1_14782, lcl|NW_015149039.1_prot_XP_015183184.1_14784
OG0000544	Lflavo2a009134P1	lcl|NW_015148978.1_prot_XP_015171484.1_4394, lcl|NW_015148978.1_prot_XP_015171485.1_4395, lcl|NW_015148978.1_prot_XP_015171486.1_4396
OG0000545	Lflavo2a004165P1, Lflavo2a004165P2, Lflavo2a004165P3	lcl|NW_015149002.1_prot_XP_015177378.1_9491, lcl|NW_015149002.1_prot_XP_015177379.1_9492, lcl|NW_015149002.1_prot_XP_015177380.1_9493, lcl|NW_015149002.1_prot_XP_015177381.1_9494, lcl|NW_015149002.1_prot_XP_015177382.1_9495
OG0000546	Lflavo2a006522P2, Lflavo2a006522P3, Lflavo2a006522P4, Lflavo2a006522P6, Lflavo2a006522P5	lcl|NW_015148976.1_prot_XP_015191803.1_3658, lcl|NW_015148976.1_prot_XP_015191804.1_3657, lcl|NW_015148976.1_prot_XP_015191800.1_3656, lcl|NW_015148976.1_prot_XP_015191801.1_3655, lcl|NW_015148976.1_prot_XP_015191805.1_3653, lcl|NW_015148976.1_prot_XP_015191802.1_3654
OG0000547	Lflavo2a004451P2, Lflavo2a004451P1, Lflavo2a004451P5, Lflavo2a004451P3, Lflavo2a004451P6, Lflavo2a004451P4, Lflavo2a004451P7	lcl|NW_015148987.1_prot_XP_015174071.1_6469, lcl|NW_015148987.1_prot_XP_015174070.1_6468, lcl|NW_015148987.1_prot_XP_015174069.1_6472, lcl|NW_015148987.1_prot_XP_015174068.1_6473
OG0000548	Lflavo2a009855P3, Lflavo2a009855P1, Lflavo2a009855P2	lcl|NW_015148973.1_prot_XP_015190317.1_1875, lcl|NW_015148973.1_prot_XP_015190315.1_1874, lcl|NW_015148973.1_prot_XP_015190310.1_1869, lcl|NW_015148973.1_prot_XP_015190311.1_1870, lcl|NW_015148973.1_prot_XP_015190312.1_1871, lcl|NW_015148973.1_prot_XP_015190313.1_1872, lcl|NW_015148973.1_prot_XP_015190314.1_1873
OG0000549	Lflavo2a007134P1	lcl|NW_015149023.1_prot_XP_015181371.1_13186, lcl|NW_015149023.1_prot_XP_015181369.1_13184, lcl|NW_015149023.1_prot_XP_015181370.1_13185, lcl|NW_015149023.1_prot_XP_015181366.1_13181, lcl|NW_015149023.1_prot_XP_015181367.1_13182, lcl|NW_015149023.1_prot_XP_015181368.1_13183, lcl|NW_015149023.1_prot_XP_015181365.1_13180, lcl|NW_015149023.1_prot_XP_015181364.1_13179
OG0000550	Lflavo2a012151P1	lcl|NW_015148971.1_prot_XP_015177651.1_815, lcl|NW_015148971.1_prot_XP_015177659.1_816, lcl|NW_015148971.1_prot_XP_015177666.1_817, lcl|NW_015148971.1_prot_XP_015177676.1_818, lcl|NW_015148971.1_prot_XP_015177685.1_819
OG0000551	Lflavo2a007693P1, Lflavo2a007693P2	lcl|NW_015149020.1_prot_XP_015181004.1_12811, lcl|NW_015149020.1_prot_XP_015181005.1_12812
OG0000552	Lflavo2a014149P1	lcl|NW_015148976.1_prot_XP_015191750.1_3678, lcl|NW_015148976.1_prot_XP_015191752.1_3675, lcl|NW_015148976.1_prot_XP_015191749.1_3676, lcl|NW_015148976.1_prot_XP_015191751.1_3677, lcl|NW_015148976.1_prot_XP_015191744.1_3679, lcl|NW_015148976.1_prot_XP_015191745.1_3680, lcl|NW_015148976.1_prot_XP_015191746.1_3681, lcl|NW_015148976.1_prot_XP_015191747.1_3682, lcl|NW_015148976.1_prot_XP_015191748.1_3683
OG0000553	Lflavo2a006122P1, Lflavo2a006122P2	lcl|NW_015149085.1_prot_XP_015186828.1_18088
OG0000553	Lflavo2a008113P1	lcl|NW_015148994.1_prot_XP_015175602.1_8094
OG0000554	Lflavo2a007712P1	lcl|NW_015149022.1_prot_XP_015181256.1_13020, lcl|NW_015149022.1_prot_XP_015181254.1_13021, lcl|NW_015149022.1_prot_XP_015181253.1_13024, lcl|NW_015149022.1_prot_XP_015181255.1_13022, lcl|NW_015149022.1_prot_XP_015181257.1_13023
OG0000555	Lflavo2a009075P1, Lflavo2a009075P2	lcl|NW_015148993.1_prot_XP_015175509.1_7896, lcl|NW_015148993.1_prot_XP_015175513.1_7898, lcl|NW_015148993.1_prot_XP_015175511.1_7895, lcl|NW_015148993.1_prot_XP_015175510.1_7899, lcl|NW_015148993.1_prot_XP_015175512.1_7897
OG0000556	Lflavo2a001263P1	lcl|NW_015149065.1_prot_XP_015185494.1_16886
OG0000556	Lflavo2a001266P1	lcl|NW_015149065.1_prot_XP_015185497.1_16889, lcl|NW_015149065.1_prot_XP_015185495.1_16887, lcl|NW_015149065.1_prot_XP_015185496.1_16888
OG0000557	Lflavo2a010290P1	lcl|NW_015148971.1_prot_XP_015177146.1_1189, lcl|NW_015148971.1_prot_XP_015177106.1_1190, lcl|NW_015148971.1_prot_XP_015177115.1_1191, lcl|NW_015148971.1_prot_XP_015177122.1_1192, lcl|NW_015148971.1_prot_XP_015177130.1_1193, lcl|NW_015148971.1_prot_XP_015177135.1_1194
OG0000558	Lflavo2a007782P1	lcl|NW_015148976.1_prot_XP_015191861.1_3796, lcl|NW_015148976.1_prot_XP_015191862.1_3797, lcl|NW_015148976.1_prot_XP_015191863.1_3800, lcl|NW_015148976.1_prot_XP_015191859.1_3798, lcl|NW_015148976.1_prot_XP_015191860.1_3799
OG0000559	Lflavo2a001535P1	lcl|NW_015148973.1_prot_XP_015190400.1_2358
OG0000559	Lflavo2a011196P1	lcl|NW_015148994.1_prot_XP_015175788.1_7963, lcl|NW_015148994.1_prot_XP_015175789.1_7964, lcl|NW_015148994.1_prot_XP_015175790.1_7965, lcl|NW_015148994.1_prot_XP_015175791.1_7966, lcl|NW_015148994.1_prot_XP_015175793.1_7967
OG0000560	Lflavo2a004953P1, Lflavo2a004953P2	lcl|NW_015149008.1_prot_XP_015178480.1_10593, lcl|NW_015149008.1_prot_XP_015178481.1_10594, lcl|NW_015149008.1_prot_XP_015178483.1_10595, lcl|NW_015149008.1_prot_XP_015178484.1_10596, lcl|NW_015149008.1_prot_XP_015178485.1_10597, lcl|NW_015149008.1_prot_XP_015178486.1_10598
OG0000561	Lflavo2a003828P1	lcl|NW_015149016.1_prot_XP_015180509.1_12383, lcl|NW_015149016.1_prot_XP_015180508.1_12384, lcl|NW_015149016.1_prot_XP_015180515.1_12389, lcl|NW_015149016.1_prot_XP_015180511.1_12385, lcl|NW_015149016.1_prot_XP_015180512.1_12386, lcl|NW_015149016.1_prot_XP_015180513.1_12387, lcl|NW_015149016.1_prot_XP_015180514.1_12388
OG0000562	Lflavo2a001669P1	lcl|NW_015148993.1_prot_XP_015175536.1_7912, lcl|NW_015148993.1_prot_XP_015175534.1_7914, lcl|NW_015148993.1_prot_XP_015175535.1_7913, lcl|NW_015148993.1_prot_XP_015175537.1_7911
OG0000563	Lflavo2a005946P1	lcl|NW_015148978.1_prot_XP_015171576.1_4481, lcl|NW_015148978.1_prot_XP_015171575.1_4482
