Orthogroup	Liostenogaster_flavolineata	Vespula_vulgaris
OG0000874	Lflavo2a007198P1	KAF7411314.1, KAF7411312.1
OG0000875	Lflavo2a011256P1, Lflavo2a011256P2	KAF7379026.1
OG0000876	Lflavo2a013047P1	KAF7398367.1
OG0000877	Lflavo2a004355P1, Lflavo2a004355P2	KAF7385712.1
OG0000879	Lflavo2a010074P1	KAF7391274.1
OG0000881	Lflavo2a013696P1, Lflavo2a013619P1	KAF7412532.1
OG0000883	Lflavo2a009388P2	KAF7400849.1
OG0000884	Lflavo2a008536P3, Lflavo2a008536P1, Lflavo2a008536P2	KAF7387843.1
OG0000887	Lflavo2a011665P1	KAF7403017.1
OG0000888	Lflavo2a010256P1, Lflavo2a010256P2	KAF7403030.1
OG0000889	Lflavo2a007445P1	KAF7402900.1
OG0000890	Lflavo2a010162P1	KAF7394903.1
OG0000891	Lflavo2a011345P1	KAF7405403.1
OG0000893	Lflavo2a010603P1	KAF7383351.1
OG0000894	Lflavo2a006655P1	KAF7389016.1
OG0000894	Lflavo2a006652P1	KAF7389017.1
OG0000894	Lflavo2a006660P1, Lflavo2a006660P2	KAF7389018.1, KAF7389019.1
OG0000895	Lflavo2a008121P1	KAF7381553.1, KAF7381554.1
OG0000896	Lflavo2a005741P1, Lflavo2a005714P1	KAF7400505.1, KAF7400504.1
OG0000898	Lflavo2a006055P1, Lflavo2a005953P1	KAF7396545.1
OG0000900	Lflavo2a002423P4, Lflavo2a002423P1, Lflavo2a002423P5	KAF7403123.1
OG0000901	Lflavo2a007072P1, Lflavo2a007072P2	KAF7394769.1
OG0000902	Lflavo2a003795P1	KAF7405476.1
OG0000902	Lflavo2a000991P1	KAF7379568.1
OG0000903	Lflavo2a011718P1	KAF7389299.1
OG0000904	Lflavo2a000579P1	KAF7391236.1
OG0000905	Lflavo2a011257P1	KAF7394646.1, KAF7394647.1
OG0000906	Lflavo2a014206P1	KAF7411464.1
OG0000907	Lflavo2a005225P3, Lflavo2a005225P8, Lflavo2a005225P6, Lflavo2a005225P1, Lflavo2a005225P4, Lflavo2a005225P5, Lflavo2a005225P2, Lflavo2a005225P7	KAF7393287.1
OG0000908	Lflavo2a008022P2, Lflavo2a008022P1	KAF7393060.1
OG0000909	Lflavo2a000953P1	KAF7386651.1
OG0000910	Lflavo2a006958P2, Lflavo2a006958P1, Lflavo2a006958P3	KAF7400642.1
OG0000911	Lflavo2a009965P1, Lflavo2a009981P1, Lflavo2a009981P2	KAF7382923.1
OG0000912	Lflavo2a011168P1, Lflavo2a011155P1	KAF7393342.1
OG0000913	Lflavo2a002753P1	KAF7384971.1
OG0000914	Lflavo2a000314P1, Lflavo2a000314P2	KAF7396535.1
OG0000915	Lflavo2a006635P1, Lflavo2a006635P2	KAF7382186.1
OG0000916	Lflavo2a013918P3, Lflavo2a013918P1, Lflavo2a013918P2	KAF7380043.1
OG0000917	Lflavo2a013852P2, Lflavo2a013852P1, Lflavo2a000653P1, Lflavo2a000698P1	KAF7393072.1
OG0000918	Lflavo2a011276P1	KAF7400276.1
OG0000919	Lflavo2a008148P1	KAF7411892.1
OG0000920	Lflavo2a004513P1, Lflavo2a004513P2	KAF7382955.1
OG0000921	Lflavo2a013036P1	KAF7394976.1
OG0000921	Lflavo2a008679P1	KAF7405548.1
OG0000922	Lflavo2a012823P1	KAF7380719.1
OG0000923	Lflavo2a013545P1	KAF7378949.1
OG0000924	Lflavo2a003078P1	KAF7381454.1
OG0000925	Lflavo2a012038P1	KAF7385856.1
OG0000925	Lflavo2a012096P1, Lflavo2a012096P2, Lflavo2a012096P3, Lflavo2a012096P4	KAF7385854.1
OG0000926	Lflavo2a009376P1	KAF7391187.1
OG0000927	Lflavo2a001588P1, Lflavo2a001588P4, Lflavo2a001588P2, Lflavo2a001588P3	KAF7391205.1
OG0000928	Lflavo2a005056P2, Lflavo2a005056P1, Lflavo2a005056P3	KAF7404864.1
OG0000929	Lflavo2a008540P1	KAF7408112.1
OG0000930	Lflavo2a007296P1	KAF7378822.1
OG0000931	Lflavo2a006136P2, Lflavo2a006136P1, Lflavo2a006136P3	KAF7384314.1
OG0000934	Lflavo2a012328P1	KAF7391278.1
OG0000935	Lflavo2a009925P1	KAF7411140.1
OG0000936	Lflavo2a009776P1	KAF7407267.1
OG0000937	Lflavo2a007137P1	KAF7398675.1
OG0000938	Lflavo2a000229P1, Lflavo2a000229P2	KAF7388078.1
OG0000939	Lflavo2a002021P1, Lflavo2a002021P2	KAF7400597.1
OG0000940	Lflavo2a011035P2, Lflavo2a011035P1, Lflavo2a011035P3	KAF7393042.1
OG0000941	Lflavo2a003156P1	KAF7386834.1
OG0000942	Lflavo2a007064P3, Lflavo2a007064P4, Lflavo2a007064P1, Lflavo2a007064P2	KAF7400788.1
OG0000943	Lflavo2a004682P4, Lflavo2a004682P3, Lflavo2a004682P5	KAF7389118.1
OG0000944	Lflavo2a005929P1	KAF7384894.1
OG0000945	Lflavo2a006805P1	KAF7411563.1
OG0000946	Lflavo2a000375P1	KAF7404688.1
OG0000948	Lflavo2a011496P1, Lflavo2a011496P2	KAF7390928.1
OG0000949	Lflavo2a009412P1, Lflavo2a009412P2	KAF7401023.1
OG0000951	Lflavo2a008955P8, Lflavo2a008955P7, Lflavo2a008955P5, Lflavo2a008955P6, Lflavo2a008955P3, Lflavo2a008955P1, Lflavo2a008955P2, Lflavo2a008955P4	KAF7408780.1
OG0000953	Lflavo2a003140P1	KAF7398425.1
OG0000955	Lflavo2a013457P1	KAF7400332.1
OG0000956	Lflavo2a004025P1, Lflavo2a010594P1	KAF7407274.1, KAF7407277.1
OG0000957	Lflavo2a012769P1	KAF7389273.1
OG0000958	Lflavo2a011060P2	KAF7384407.1
OG0000959	Lflavo2a009939P1	KAF7380700.1
OG0000960	Lflavo2a005536P1	KAF7394888.1
OG0000961	Lflavo2a003194P2, Lflavo2a003194P1, Lflavo2a003194P3	KAF7411649.1
OG0000962	Lflavo2a003518P1	KAF7405363.1
OG0000963	Lflavo2a008745P1, Lflavo2a008745P2	KAF7412210.1
OG0000964	Lflavo2a007474P1	KAF7382772.1
OG0000966	Lflavo2a004402P1	KAF7382922.1
OG0000967	Lflavo2a003581P2, Lflavo2a003581P1	KAF7408855.1, KAF7408610.1
OG0000968	Lflavo2a007685P4, Lflavo2a007685P8, Lflavo2a007685P7, Lflavo2a007685P11, Lflavo2a007685P9	KAF7394772.1
OG0000969	Lflavo2a006807P1	KAF7402975.1
OG0000970	Lflavo2a002270P1	KAF7402832.1
OG0000971	Lflavo2a009532P1, Lflavo2a009532P2, Lflavo2a009532P4	KAF7384169.1
OG0000972	Lflavo2a013875P2, Lflavo2a013875P1, Lflavo2a013875P3	KAF7408724.1
OG0000974	Lflavo2a002112P1	KAF7412476.1, KAF7412478.1
OG0000975	Lflavo2a003042P3, Lflavo2a003042P4, Lflavo2a003042P1, Lflavo2a003042P2, Lflavo2a003042P5	KAF7381616.1
OG0000978	Lflavo2a007009P1	KAF7395010.1
OG0000979	Lflavo2a009548P4, Lflavo2a009548P2, Lflavo2a009548P1, Lflavo2a009548P3	KAF7380786.1
OG0000981	Lflavo2a008347P1	KAF7378761.1
OG0000982	Lflavo2a002133P1	KAF7380066.1
OG0000983	Lflavo2a006671P1	KAF7404780.1
OG0000985	Lflavo2a007564P1	KAF7398432.1
OG0000986	Lflavo2a009598P2	KAF7407929.1, KAF7407930.1
OG0000987	Lflavo2a004985P1	KAF7400817.1
OG0000988	Lflavo2a004237P1	KAF7398801.1
OG0000990	Lflavo2a003524P1, Lflavo2a003524P2	KAF7379347.1
OG0000991	Lflavo2a001679P1	KAF7407339.1
OG0000992	Lflavo2a004371P1, Lflavo2a004371P2	KAF7385705.1, KAF7385707.1, KAF7385709.1, KAF7385710.1
OG0000993	Lflavo2a007702P1	KAF7382932.1
OG0000995	Lflavo2a002187P1	KAF7385673.1, KAF7382928.1
OG0000996	Lflavo2a014344P1	KAF7396433.1
OG0000997	Lflavo2a007714P1, Lflavo2a007714P2, Lflavo2a007708P1	KAF7382914.1, KAF7382915.1
OG0000998	Lflavo2a012564P1, Lflavo2a012564P2, Lflavo2a012564P3	KAF7401040.1
OG0000999	Lflavo2a005972P1	KAF7390987.1
OG0001000	Lflavo2a002792P1	KAF7378964.1
OG0001002	Lflavo2a003421P1	KAF7411439.1
OG0001003	Lflavo2a002097P1	KAF7382018.1
OG0001004	Lflavo2a003657P1, Lflavo2a003657P2	KAF7400594.1
OG0001005	Lflavo2a013776P1, Lflavo2a013776P2	KAF7384840.1
OG0001006	Lflavo2a005182P1, Lflavo2a005182P2	KAF7407688.1
OG0001007	Lflavo2a001125P3, Lflavo2a001125P2, Lflavo2a001125P1	KAF7383474.1
OG0001009	Lflavo2a009774P1, Lflavo2a009774P2	KAF7387940.1
OG0001010	Lflavo2a000066P1	KAF7385864.1
OG0001011	Lflavo2a006666P1	KAF7412285.1
OG0001012	Lflavo2a000646P1	KAF7407804.1
OG0001013	Lflavo2a001718P1	KAF7408507.1
OG0001014	Lflavo2a011833P1	KAF7396142.1, KAF7396140.1
OG0001015	Lflavo2a005316P1	KAF7386663.1
OG0001016	Lflavo2a005126P1	KAF7407974.1
OG0001017	Lflavo2a013268P1	KAF7411116.1
OG0001020	Lflavo2a005635P1, Lflavo2a005635P2, Lflavo2a005635P3	KAF7412215.1
OG0001021	Lflavo2a012575P1	KAF7391380.1
OG0001023	Lflavo2a000955P1	KAF7395042.1
OG0001024	Lflavo2a008140P1, Lflavo2a008140P2, Lflavo2a001592P1	KAF7390891.1
OG0001025	Lflavo2a004437P1	KAF7400591.1
OG0001025	Lflavo2a001069P1	KAF7382713.1
OG0001026	Lflavo2a008750P1, Lflavo2a008750P2, Lflavo2a008750P3, Lflavo2a008750P4	KAF7396596.1, KAF7396590.1
OG0001027	Lflavo2a008775P1	KAF7396591.1
OG0001029	Lflavo2a006813P1	KAF7403006.1
OG0001030	Lflavo2a007756P2, Lflavo2a007756P1, Lflavo2a007756P3	KAF7382808.1
OG0001031	Lflavo2a007760P1	KAF7382811.1
OG0001032	Lflavo2a011967P1	KAF7391009.1
OG0001033	Lflavo2a009463P1	KAF7388844.1
OG0001034	Lflavo2a007921P1	KAF7388825.1
OG0001036	Lflavo2a000789P1, Lflavo2a000789P2	KAF7381619.1
OG0001037	Lflavo2a000754P1, Lflavo2a000754P2	KAF7404851.1
OG0001038	Lflavo2a007517P1, Lflavo2a007517P4, Lflavo2a007517P2, Lflavo2a007517P3	KAF7400576.1
OG0001039	Lflavo2a006954P1, Lflavo2a006954P2	KAF7411639.1, KAF7411636.1
OG0001040	Lflavo2a011086P1	KAF7379029.1
OG0001041	Lflavo2a013126P2, Lflavo2a013126P1, Lflavo2a013126P3	KAF7411248.1
OG0001042	Lflavo2a000660P1	KAF7392716.1
OG0001044	Lflavo2a005005P1	KAF7412382.1
OG0001046	Lflavo2a002325P1	KAF7407628.1
OG0001047	Lflavo2a013867P1	KAF7392909.1
OG0001047	Lflavo2a007480P1	KAF7389317.1
OG0001050	Lflavo2a004239P1	KAF7398763.1
OG0001051	Lflavo2a006587P1	KAF7402534.1
OG0001051	Lflavo2a005760P1	KAF7402533.1
OG0001052	Lflavo2a007357P2, Lflavo2a007357P3	KAF7411823.1
OG0001053	Lflavo2a008723P1	KAF7385191.1
OG0001054	Lflavo2a010774P1	KAF7396385.1
OG0001055	Lflavo2a005923P1, Lflavo2a006088P1	KAF7404867.1
OG0001056	Lflavo2a006023P1, Lflavo2a005980P2, Lflavo2a005980P1	KAF7383419.1
OG0001057	Lflavo2a005219P1, Lflavo2a005219P2, Lflavo2a005219P3, Lflavo2a005219P4, Lflavo2a005219P5, Lflavo2a005219P6	KAF7398825.1
OG0001059	Lflavo2a004516P1, Lflavo2a004516P2	KAF7391298.1
OG0001061	Lflavo2a011663P1	KAF7402669.1
OG0001062	Lflavo2a001007P1, Lflavo2a001007P2, Lflavo2a001007P4, Lflavo2a001007P3	KAF7402724.1
OG0001063	Lflavo2a011742P1	KAF7408236.1
OG0001064	Lflavo2a002720P1	KAF7408768.1
OG0001066	Lflavo2a000283P1	KAF7385747.1
OG0001067	Lflavo2a012169P1	KAF7385871.1
OG0001069	Lflavo2a009730P2, Lflavo2a009730P1	KAF7386931.1
OG0001070	Lflavo2a009512P1	KAF7384317.1
OG0001071	Lflavo2a005643P1	KAF7396599.1
OG0001072	Lflavo2a003584P1, Lflavo2a003584P2	KAF7407286.1
OG0001073	Lflavo2a008423P2, Lflavo2a008423P1, Lflavo2a008423P4, Lflavo2a008423P3	KAF7381436.1
OG0001074	Lflavo2a011787P1, Lflavo2a011787P2	KAF7405239.1
OG0001075	Lflavo2a003803P1	KAF7405471.1
OG0001076	Lflavo2a013981P1	KAF7385876.1
OG0001077	Lflavo2a012829P1	KAF7411800.1
OG0001078	Lflavo2a005303P2, Lflavo2a005303P1, Lflavo2a005303P3	KAF7384298.1
OG0001079	Lflavo2a010529P1	KAF7378545.1
OG0001080	Lflavo2a008011P3, Lflavo2a008011P7, Lflavo2a008011P4, Lflavo2a008011P1	KAF7381417.1
OG0001083	Lflavo2a005726P1, Lflavo2a005736P1	KAF7378750.1, KAF7378803.1
OG0001084	Lflavo2a008542P1, Lflavo2a008665P1	KAF7405129.1
OG0001085	Lflavo2a006911P3, Lflavo2a006911P1, Lflavo2a006911P2	KAF7407824.1
OG0001085	Lflavo2a008903P2, Lflavo2a008108P1	KAF7401028.1
OG0001086	Lflavo2a009238P2, Lflavo2a009238P1, Lflavo2a009238P3	KAF7378846.1
OG0001087	Lflavo2a012610P1, Lflavo2a012610P2	KAF7387899.1
OG0001088	Lflavo2a013967P1	KAF7384362.1
OG0001089	Lflavo2a002206P1, Lflavo2a002205P1	KAF7394815.1
OG0001090	Lflavo2a010426P1, Lflavo2a010400P1, Lflavo2a010400P2	KAF7400406.1
OG0001091	Lflavo2a005216P1, Lflavo2a005216P2	KAF7398816.1
OG0001092	Lflavo2a013318P1	KAF7405215.1
OG0001094	Lflavo2a000814P3, Lflavo2a000814P1, Lflavo2a000814P2	KAF7392915.1
OG0001097	Lflavo2a003765P1	KAF7378590.1
OG0001098	Lflavo2a013810P1	KAF7408616.1
OG0001100	Lflavo2a009311P1	KAF7405415.1
OG0001104	Lflavo2a001807P1	KAF7380234.1
OG0001104	Lflavo2a002303P1, Lflavo2a002303P2	KAF7407557.1
OG0001106	Lflavo2a006062P1	KAF7407786.1, KAF7407791.1
OG0001107	Lflavo2a003784P1	KAF7408257.1
OG0001108	Lflavo2a012679P1	KAF7384918.1, KAF7384919.1
OG0001109	Lflavo2a004818P1	KAF7404644.1
OG0001110	Lflavo2a001941P1	KAF7396438.1
OG0001111	Lflavo2a000199P1, Lflavo2a000199P2	KAF7408327.1
OG0001112	Lflavo2a003944P3, Lflavo2a003944P2, Lflavo2a003944P1	KAF7412738.1
OG0001113	Lflavo2a009621P1	KAF7407893.1
OG0001114	Lflavo2a003376P1, Lflavo2a003376P2	KAF7411442.1
OG0001115	Lflavo2a000822P1	KAF7392917.1
OG0001115	Lflavo2a000811P1	KAF7392916.1
OG0001115	Lflavo2a000800P1	KAF7392918.1
OG0001116	Lflavo2a001234P1	KAF7382937.1
OG0001117	Lflavo2a007867P1	KAF7388894.1
OG0001117	Lflavo2a007866P1, Lflavo2a007866P2	KAF7381474.1
OG0001118	Lflavo2a007979P1	KAF7405080.1
OG0001119	Lflavo2a005171P1, Lflavo2a011459P1, Lflavo2a013375P1	KAF7408186.1, KAF7408184.1
OG0001120	Lflavo2a010092P1	KAF7404792.1
OG0001120	Lflavo2a014174P1	KAF7382017.1
OG0001122	Lflavo2a004978P1	KAF7382894.1
OG0001123	Lflavo2a010549P1	KAF7388019.1
OG0001124	Lflavo2a010569P1	KAF7388011.1
OG0001125	Lflavo2a013251P1	KAF7407140.1
OG0001127	Lflavo2a000567P1, Lflavo2a000557P1	KAF7380163.1
OG0001128	Lflavo2a013143P1	KAF7394575.1, KAF7394574.1
OG0001129	Lflavo2a008571P1, Lflavo2a008571P2	KAF7389271.1
OG0001132	Lflavo2a003940P1	KAF7390991.1
OG0001133	Lflavo2a005391P1	KAF7394985.1
OG0001134	Lflavo2a013532P1	KAF7388226.1
OG0001135	Lflavo2a009079P4, Lflavo2a009079P3, Lflavo2a009079P1, Lflavo2a009079P2	KAF7378789.1
OG0001136	Lflavo2a009102P1	KAF7412242.1
OG0001137	Lflavo2a001683P1, Lflavo2a001683P2	KAF7408508.1
OG0001140	Lflavo2a004078P1	KAF7389041.1
OG0001141	Lflavo2a013660P2, Lflavo2a013660P4	KAF7403138.1
OG0001143	Lflavo2a012405P1	KAF7400454.1
OG0001144	Lflavo2a008075P1	KAF7381983.1
OG0001145	Lflavo2a013235P1	KAF7407145.1
OG0001146	Lflavo2a000024P1	KAF7405395.1
OG0001147	Lflavo2a004299P1	KAF7412410.1
OG0001148	Lflavo2a012363P2, Lflavo2a012363P1	KAF7382862.1, KAF7382863.1, KAF7382861.1
OG0001149	Lflavo2a011539P1	KAF7402675.1
OG0001150	Lflavo2a000498P1, Lflavo2a000498P4, Lflavo2a000498P2, Lflavo2a000498P3	KAF7381993.1
OG0001151	Lflavo2a013537P1, Lflavo2a013537P2	KAF7378948.1
OG0001152	Lflavo2a001068P1, Lflavo2a001012P1	KAF7391230.1
OG0001153	Lflavo2a008923P1	KAF7392588.1
OG0001154	Lflavo2a001437P2, Lflavo2a001437P3	KAF7400483.1
OG0001155	Lflavo2a001544P1	KAF7391206.1
OG0001156	Lflavo2a000193P1, Lflavo2a000193P2	KAF7391068.1
OG0001157	Lflavo2a011929P1	KAF7393099.1
OG0001158	Lflavo2a008310P1	KAF7404638.1
OG0001159	Lflavo2a011480P1	KAF7391288.1
OG0001160	Lflavo2a003618P10, Lflavo2a003618P9, Lflavo2a003618P5, Lflavo2a003618P8, Lflavo2a003618P7, Lflavo2a003618P3, Lflavo2a003618P1, Lflavo2a003618P2, Lflavo2a003618P4, Lflavo2a003618P6	KAF7390817.1
OG0001161	Lflavo2a010595P1, Lflavo2a010595P2	KAF7402730.1
OG0001162	Lflavo2a014083P1	KAF7404508.1
OG0001164	Lflavo2a011673P1	KAF7388926.1
OG0001165	Lflavo2a010108P1, Lflavo2a002780P1	KAF7412000.1, KAF7412005.1, KAF7412009.1
OG0001166	Lflavo2a006658P1	KAF7386954.1
OG0001167	Lflavo2a001953P1	KAF7391345.1
OG0001168	Lflavo2a006966P1	KAF7396199.1
OG0001169	Lflavo2a001440P1	KAF7408352.1
OG0001170	Lflavo2a001911P1	KAF7396492.1
OG0001171	Lflavo2a012182P1	KAF7398760.1
OG0001172	Lflavo2a003256P1, Lflavo2a003212P1	KAF7378582.1
OG0001174	Lflavo2a013138P1	KAF7382945.1
OG0001175	Lflavo2a004760P4, Lflavo2a004760P2, Lflavo2a004760P1, Lflavo2a004760P5	KAF7382970.1
OG0001176	Lflavo2a000748P1	KAF7396394.1
OG0001177	Lflavo2a008230P2, Lflavo2a008230P1, Lflavo2a008230P3	KAF7404728.1
OG0001179	Lflavo2a008324P1	KAF7404729.1, KAF7404731.1
OG0001181	Lflavo2a004710P3, Lflavo2a004710P8, Lflavo2a004710P6, Lflavo2a004710P1, Lflavo2a004710P4, Lflavo2a004710P5, Lflavo2a004710P7	KAF7386062.1
OG0001181	Lflavo2a004701P1	KAF7386063.1
OG0001182	Lflavo2a011246P1	KAF7394635.1
OG0001183	Lflavo2a001525P1	KAF7391290.1
OG0001184	Lflavo2a007581P1	KAF7398431.1
OG0001185	Lflavo2a002972P2	KAF7383575.1
OG0001186	Lflavo2a001043P1	KAF7392810.1
OG0001186	Lflavo2a001640P1	KAF7393057.1
OG0001187	Lflavo2a010087P1, Lflavo2a010109P1	KAF7378770.1
OG0001188	Lflavo2a010103P1	KAF7391396.1
OG0001189	Lflavo2a004298P1	KAF7408039.1
OG0001190	Lflavo2a003265P1	KAF7384288.1
OG0001191	Lflavo2a008589P1, Lflavo2a008589P2	KAF7407258.1
OG0001192	Lflavo2a002269P1	KAF7402721.1
OG0001193	Lflavo2a010772P1	KAF7407144.1
OG0001194	Lflavo2a004368P2, Lflavo2a004368P3, Lflavo2a004368P1	KAF7405449.1
OG0001195	Lflavo2a008925P1	KAF7392564.1
OG0001196	Lflavo2a000056P1, Lflavo2a000056P2	KAF7394920.1
OG0001197	Lflavo2a007548P1	KAF7411721.1, KAF7411718.1
OG0001198	Lflavo2a004469P1	KAF7382697.1
OG0001199	Lflavo2a011303P1	KAF7387987.1
OG0001200	Lflavo2a012286P1, Lflavo2a012286P6, Lflavo2a012286P4, Lflavo2a012286P5, Lflavo2a012286P2, Lflavo2a012286P3	KAF7378874.1
OG0001202	Lflavo2a012259P1, Lflavo2a012259P2	KAF7384342.1
OG0001203	Lflavo2a005228P1	KAF7398830.1
OG0001204	Lflavo2a000877P1	KAF7385143.1
OG0001205	Lflavo2a003253P1	KAF7382761.1
OG0001206	Lflavo2a010757P1	KAF7384301.1
OG0001207	Lflavo2a011115P1, Lflavo2a011115P2, Lflavo2a011115P3	KAF7379028.1
OG0001208	Lflavo2a010783P1	KAF7384302.1
OG0001209	Lflavo2a007970P1	KAF7381411.1
OG0001210	Lflavo2a001062P1	KAF7391005.1
OG0001211	Lflavo2a009863P1	KAF7396750.1
OG0001212	Lflavo2a006248P1, Lflavo2a006300P1	KAF7412737.1
OG0001213	Lflavo2a004762P1	KAF7402442.1
OG0001214	Lflavo2a008618P1	KAF7388764.1
OG0001215	Lflavo2a012205P1, Lflavo2a012205P2	KAF7408829.1
OG0001216	Lflavo2a014230P1	KAF7380001.1
OG0001218	Lflavo2a012020P3, Lflavo2a012020P1, Lflavo2a012020P2	KAF7379342.1
OG0001219	Lflavo2a010132P1	KAF7394851.1
OG0001221	Lflavo2a009588P1, Lflavo2a009588P2	KAF7383414.1
OG0001222	Lflavo2a014219P1	KAF7411680.1
OG0001223	Lflavo2a000318P1	KAF7384852.1
OG0001223	Lflavo2a009044P1	KAF7380944.1
OG0001224	Lflavo2a013240P1	KAF7396403.1
OG0001226	Lflavo2a005181P1, Lflavo2a005181P2	KAF7380764.1
OG0001229	Lflavo2a002036P1	KAF7382851.1
OG0001230	Lflavo2a005514P1	KAF7390780.1, KAF7384307.1, KAF7384306.1, KAF7384413.1
OG0001231	Lflavo2a006390P1, Lflavo2a006390P2	KAF7389232.1
OG0001233	Lflavo2a013658P1	KAF7381558.1
OG0001236	Lflavo2a010506P1, Lflavo2a010506P2	KAF7407195.1
OG0001237	Lflavo2a005639P1	KAF7404862.1
OG0001238	Lflavo2a002320P1	KAF7408334.1
OG0001239	Lflavo2a008595P1	KAF7387818.1
OG0001240	Lflavo2a014164P4, Lflavo2a014164P1, Lflavo2a014164P2	KAF7396233.1
OG0001241	Lflavo2a006407P1	KAF7398637.1, KAF7398639.1
OG0001242	Lflavo2a003661P1, Lflavo2a010799P1, Lflavo2a005786P2, Lflavo2a005786P3, Lflavo2a005786P4	KAF7378764.1
OG0001243	Lflavo2a013674P1	KAF7411911.1
OG0001245	Lflavo2a005807P1, Lflavo2a005807P2	KAF7385766.1
OG0001246	Lflavo2a007346P1	KAF7396724.1
OG0001246	Lflavo2a011842P1	KAF7407314.1, KAF7407366.1
OG0001248	Lflavo2a005250P1	KAF7398720.1
OG0001249	Lflavo2a013098P1	KAF7386753.1
OG0001250	Lflavo2a014214P1, Lflavo2a014214P2	KAF7386819.1
OG0001251	Lflavo2a010751P1	KAF7392700.1
OG0001253	Lflavo2a004494P1	KAF7386783.1
OG0001255	Lflavo2a000545P1, Lflavo2a000545P2	KAF7393016.1
OG0001256	Lflavo2a005218P1	KAF7391358.1
OG0001256	Lflavo2a006949P1	KAF7411372.1
OG0001257	Lflavo2a004916P1	KAF7408714.1
OG0001258	Lflavo2a009684P1	KAF7408007.1
OG0001259	Lflavo2a011825P1, Lflavo2a011825P2	KAF7407371.1
OG0001261	Lflavo2a003358P1, Lflavo2a003358P2	KAF7411438.1
OG0001262	Lflavo2a014118P1, Lflavo2a014118P2	KAF7400622.1
OG0001263	Lflavo2a001960P1	KAF7407895.1
OG0001265	Lflavo2a004904P1	KAF7400249.1
OG0001266	Lflavo2a001119P1, Lflavo2a001119P2	KAF7383479.1
OG0001267	Lflavo2a001708P4, Lflavo2a001708P5, Lflavo2a001708P2, Lflavo2a001708P1, Lflavo2a001708P3	KAF7402584.1
OG0001268	Lflavo2a008033P1, Lflavo2a008033P2, Lflavo2a008033P3, Lflavo2a008033P4	KAF7388140.1
OG0001270	Lflavo2a009001P1	KAF7404951.1
OG0001271	Lflavo2a008658P2, Lflavo2a008658P3, Lflavo2a008658P7, Lflavo2a008658P5	KAF7407324.1
OG0001272	Lflavo2a014339P1	KAF7378905.1
OG0001273	Lflavo2a007603P1	KAF7403096.1
OG0001274	Lflavo2a008910P1	KAF7392577.1
OG0001276	Lflavo2a005686P1, Lflavo2a005686P2	KAF7394634.1
OG0001277	Lflavo2a009464P1	KAF7400439.1
OG0001278	Lflavo2a006780P1	KAF7402977.1
OG0001279	Lflavo2a006795P1	KAF7402978.1
OG0001280	Lflavo2a006827P1, Lflavo2a006827P2	KAF7402989.1
OG0001283	Lflavo2a005591P1	KAF7411534.1
OG0001284	Lflavo2a006461P1	KAF7412671.1
OG0001285	Lflavo2a002791P1	KAF7396423.1
OG0001286	Lflavo2a009206P1, Lflavo2a009206P2	KAF7378843.1, KAF7378752.1
OG0001287	Lflavo2a000326P1	KAF7382638.1
OG0001288	Lflavo2a002370P1	KAF7402261.1
OG0001288	Lflavo2a010650P2, Lflavo2a010650P5	KAF7412594.1
OG0001289	Lflavo2a007348P7, Lflavo2a007348P6, Lflavo2a007348P4, Lflavo2a007348P1, Lflavo2a007348P3	KAF7396728.1
OG0001290	Lflavo2a006299P1	KAF7391002.1
OG0001291	Lflavo2a008309P1	KAF7408314.1
OG0001292	Lflavo2a001272P1	KAF7385027.1
OG0001293	Lflavo2a007558P1	KAF7411706.1
OG0001294	Lflavo2a010090P1, Lflavo2a010090P5, Lflavo2a010090P3, Lflavo2a010090P4, Lflavo2a010090P2	KAF7378773.1
OG0001295	Lflavo2a008703P1, Lflavo2a008703P2	KAF7408248.1
OG0001296	Lflavo2a004328P1, Lflavo2a010611P1, Lflavo2a004594P1, Lflavo2a004594P2	KAF7405267.1
OG0001298	Lflavo2a013407P1, Lflavo2a013407P2, Lflavo2a013407P3	KAF7408227.1
OG0001299	Lflavo2a005263P1, Lflavo2a005263P2	KAF7411642.1
OG0001300	Lflavo2a011514P1	KAF7390717.1
OG0001301	Lflavo2a013096P1	KAF7390810.1
OG0001302	Lflavo2a001604P1	KAF7384095.1
OG0001303	Lflavo2a001537P1	KAF7396457.1
OG0001305	Lflavo2a012424P1	KAF7404824.1
OG0001306	Lflavo2a006126P4, Lflavo2a006126P3, Lflavo2a006126P1, Lflavo2a006126P2	KAF7384312.1
OG0001307	Lflavo2a006197P1	KAF7382075.1
OG0001309	Lflavo2a001704P1	KAF7402333.1
OG0001309	Lflavo2a001656P4, Lflavo2a001656P1, Lflavo2a001656P2	KAF7402332.1
OG0001310	Lflavo2a011169P1	KAF7402355.1
OG0001311	Lflavo2a009921P1	KAF7411142.1
OG0001312	Lflavo2a013046P2, Lflavo2a013046P4, Lflavo2a013046P1, Lflavo2a013046P3	KAF7392946.1
OG0001313	Lflavo2a004128P1	KAF7385724.1
OG0001314	Lflavo2a004064P1	KAF7389006.1
OG0001315	Lflavo2a012134P1	KAF7400292.1
OG0001318	Lflavo2a006010P1	KAF7388905.1
OG0001319	Lflavo2a004855P1, Lflavo2a004855P2	KAF7412751.1, KAF7412418.1
OG0001321	Lflavo2a002827P1	KAF7403043.1
OG0001323	Lflavo2a009226P1	KAF7403077.1
