Orthogroup	Liostenogaster_flavolineata	Nasonia_vitripennis
OG0000217	Lflavo2a004425P1, Lflavo2a004425P9, Lflavo2a004425P10	XP_031777871.1, XP_031777862.1, XP_031777868.1, XP_031777863.1, XP_016845749.1, XP_031777870.1, XP_031777864.1, XP_031777866.1, XP_031777865.1, XP_031777869.1, XP_031777867.1
OG0000218	Lflavo2a002605P1	XP_031788584.1, XP_031788579.1, XP_031788582.1, XP_031788580.1, XP_031788583.1, XP_031788577.1, XP_031788585.1, XP_032456310.1, XP_032456311.1, XP_031788581.1, XP_016841714.2, XP_031788573.1, XP_031788574.1, XP_031788576.1, XP_031788578.1
OG0000219	Lflavo2a011104P1, Lflavo2a011104P2	XP_001604951.2, XP_001599773.3, XP_031779567.1
OG0000219	Lflavo2a009622P1	XP_001608044.1
OG0000219	Lflavo2a009252P1	NP_001166228.1, XP_032452163.1
OG0000220	Lflavo2a003685P1, Lflavo2a003685P2	XP_032452576.1, XP_032452575.1, XP_016837693.1, XP_016837694.1, XP_016837695.1, XP_016837692.1, XP_008204933.1, XP_031780392.1, XP_008204938.1, XP_008204940.1, XP_031780390.1, XP_031780391.1, XP_031780389.1, XP_032452577.1, XP_031780393.1
OG0000221	Lflavo2a005474P1	XP_016841298.1, XP_032456283.1, XP_016841290.1, XP_016841292.1, XP_016841295.1, XP_016841296.1, XP_031786977.1, XP_016841293.1, XP_016841304.1, XP_016841291.1, XP_016841297.1, XP_016841289.1, XP_016841299.1, XP_016841302.1, XP_016841303.1, XP_016841306.1, XP_016841300.1
OG0000222	Lflavo2a012267P2, Lflavo2a012267P1, Lflavo2a012267P6, Lflavo2a012267P3, Lflavo2a012267P7, Lflavo2a012267P4, Lflavo2a012267P5	XP_016840431.1, XP_008211679.1, XP_032455771.1, XP_016840430.1, XP_032455772.1, XP_031784440.1
OG0000223	Lflavo2a004196P1	XP_008213592.1, XP_008213593.1, XP_031782495.1, XP_008213595.1
OG0000224	Lflavo2a009777P1	XP_032451835.1, XP_031777047.1, XP_032451834.1, XP_016844920.1, XP_016844922.1, XP_032451836.1, XP_016844921.1, XP_031777048.1
OG0000225	Lflavo2a000292P1	XP_016843552.1
OG0000225	Lflavo2a007307P6, Lflavo2a007307P4, Lflavo2a007307P1, Lflavo2a007307P3, Lflavo2a007307P5	XP_031783375.1, XP_031783377.1, XP_032454264.1, XP_032454265.1, XP_031783378.1, XP_031783374.1, XP_031783379.1
OG0000226	Lflavo2a006677P1	XP_031789569.1, XP_031789571.1, XP_032451947.1, XP_031789567.1, XP_008215463.1, XP_031789565.1, XP_031789566.1, XP_032451943.1, XP_031789572.1, XP_032451945.1, XP_032451946.1, XP_031789568.1, XP_032451944.1
OG0000227	Lflavo2a005782P3, Lflavo2a005782P2, Lflavo2a005782P1	XP_031781680.1, XP_031781674.1, XP_031781672.1, XP_031781676.1, XP_031781677.1, XP_031781675.1, XP_032457617.1, XP_031781673.1, XP_031781670.1, XP_031781671.1, XP_031781678.1, XP_031781681.1
OG0000228	Lflavo2a005468P1, Lflavo2a005468P2, Lflavo2a005468P3	XP_031783587.1, XP_008204575.3, XP_031783592.1, XP_031783589.1, XP_031783593.1, XP_031783591.1, XP_031783588.1, XP_031783590.1
OG0000229	Lflavo2a009971P1	XP_008202999.3
OG0000229	Lflavo2a009944P1	XP_032455826.1
OG0000229	Lflavo2a000499P1	XP_001604931.2
OG0000229	Lflavo2a011200P1	XP_031780253.1, XP_008217764.1, XP_031780252.1
OG0000230	Lflavo2a004468P2, Lflavo2a004468P1, Lflavo2a004468P3	XP_032451788.1, XP_032451789.1, XP_032451790.1, XP_008202722.1, XP_032451791.1, XP_032451792.1, XP_016839675.1, XP_001605557.1
OG0000232	Lflavo2a002201P1	NP_001171233.1, XP_008211161.1, XP_008211159.1, XP_032454703.1, XP_031784295.1, XP_016840282.1, NP_001171232.1, XP_016840283.1, XP_016840286.1, XP_016840284.1, XP_008211160.1
OG0000233	Lflavo2a003131P1	XP_001607507.3
OG0000234	Lflavo2a012196P1	XP_031786487.1, XP_031786488.1, XP_032454748.1, XP_032454749.1, XP_032454746.1, XP_016845263.1, XP_031786491.1, XP_031786492.1, XP_032454747.1, XP_031786490.1, XP_031786493.1, XP_031786484.1, XP_031786486.1, XP_031786483.1, XP_031786485.1
OG0000235	Lflavo2a011823P8, Lflavo2a011823P7, Lflavo2a011823P5, Lflavo2a011823P9, Lflavo2a011823P6, Lflavo2a011823P10, Lflavo2a011823P1, Lflavo2a011823P2	XP_016841119.1, XP_016841121.1, XP_016841117.1, XP_016841112.1, XP_016841113.1, XP_016841114.1, XP_031787247.1
OG0000236	Lflavo2a011315P2, Lflavo2a011315P1, Lflavo2a011315P3	XP_032454879.1, XP_032454877.1, XP_016845826.1, XP_016845827.1, XP_031789499.1, XP_016845825.1, XP_016845824.1, XP_031789498.1, XP_031789500.1, XP_003427746.1, XP_003427747.1
OG0000238	Lflavo2a008374P1	XP_008214117.1, XP_016845032.1, XP_016845031.1, XP_008214114.1, XP_016845030.1, XP_031785212.1, XP_008214115.1, XP_008214116.1
OG0000239	Lflavo2a002799P1	XP_016839921.1, XP_016839922.1, XP_031783292.1, XP_032454132.1, XP_032454133.1, XP_032454134.1, XP_032454135.1, XP_032454136.1, XP_032454137.1, XP_032454138.1, XP_032454139.1, XP_032454140.1, XP_032454141.1, XP_032454142.1, XP_032454143.1, XP_032454144.1, XP_032454145.1, XP_032454146.1, XP_032454147.1, XP_032454148.1, XP_032454149.1, XP_032454150.1, XP_032454151.1
OG0000240	Lflavo2a005815P5, Lflavo2a005815P3, Lflavo2a005815P4, Lflavo2a005815P1, Lflavo2a005815P2	XP_032457934.1, XP_032457933.1, XP_031785953.1, XP_031785952.1, XP_031785944.1, XP_031785949.1, XP_031785943.1, XP_031785947.1, XP_031785945.1, XP_031785948.1, XP_031785951.1, XP_031785950.1
OG0000241	Lflavo2a000998P1	XP_032456984.1, XP_032456987.1, XP_032456988.1, XP_032456990.1, XP_032456991.1, XP_032456993.1, XP_031788381.1, XP_031788382.1, XP_032456981.1, XP_032456982.1, XP_032456983.1, XP_031788385.1, XP_032456985.1, XP_032456986.1, XP_032456989.1, XP_031788380.1, XP_032456980.1, XP_031788383.1, XP_031788379.1, XP_031788374.1, XP_031788375.1, XP_031788376.1, XP_031788377.1
OG0000242	Lflavo2a007709P1	XP_031779239.1, XP_032452405.1, XP_031779243.1, XP_031779245.1, XP_031779244.1, XP_031779242.1, XP_032452406.1, XP_031779238.1, XP_031779241.1, XP_031779240.1
OG0000243	Lflavo2a012822P1, Lflavo2a012822P2	XP_031788210.1, XP_031788212.1, XP_031788213.1, XP_031788214.1, XP_031788215.1, XP_031788216.1, XP_031788218.1, XP_032456007.1, XP_032456008.1, XP_032456009.1, XP_032456010.1, XP_032456011.1, XP_032456012.1
OG0000244	Lflavo2a014342P1	XP_032454259.1, XP_032454260.1, XP_032454261.1, XP_032454262.1, XP_031783362.1, XP_032454249.1, XP_032454250.1, XP_032454251.1, XP_032454252.1, XP_032454253.1, XP_032454254.1, XP_032454255.1, XP_032454256.1, XP_032454257.1, XP_032454258.1, XP_032454242.1, XP_032454247.1, XP_032454248.1, XP_032454244.1, XP_032454243.1, XP_032454245.1, XP_032454241.1, XP_032454240.1, XP_032454246.1
OG0000245	Lflavo2a011439P3, Lflavo2a011439P4, Lflavo2a011439P2, Lflavo2a011439P1	XP_031778696.1, XP_031778697.1, XP_031778695.1, XP_031778698.1, XP_031778699.1, XP_016839677.1, XP_031778692.1, XP_031778693.1, XP_032453312.1, XP_031778694.1
OG0000246	Lflavo2a013347P1	XP_016840743.1, XP_032453096.1, XP_016840755.1, XP_016840749.1, XP_016840757.1, XP_016840764.1, XP_032453102.1, XP_016840747.1, XP_016840753.1
OG0000247	Lflavo2a012110P1, Lflavo2a012110P2	XP_031786144.1, XP_001603418.2, XP_031786143.1, XP_016842477.1
OG0000248	Lflavo2a013966P1	XP_032451714.1, XP_032451715.1, XP_032451716.1, XP_032451713.1, XP_032451712.1, XP_032451717.1, XP_032451701.1, XP_032451709.1, XP_031777153.1, XP_031777150.1, XP_031777151.1, XP_031777152.1, XP_032451703.1, XP_032451704.1, XP_032451705.1, XP_032451707.1, XP_032451708.1, XP_032451710.1, XP_032451711.1, XP_032451700.1, XP_032451702.1, XP_032451706.1
OG0000249	Lflavo2a013236P1, Lflavo2a011042P1, Lflavo2a006142P1, Lflavo2a012025P1, Lflavo2a010072P1, Lflavo2a007387P1, Lflavo2a006764P1, Lflavo2a005697P1, Lflavo2a008132P1, Lflavo2a007338P1, Lflavo2a001359P1, Lflavo2a007801P1, Lflavo2a008360P1, Lflavo2a009158P1, Lflavo2a012646P1, Lflavo2a008124P1, Lflavo2a011173P1, Lflavo2a009270P1, Lflavo2a003834P1, Lflavo2a013891P1, Lflavo2a008127P1, Lflavo2a003838P1, Lflavo2a008362P1, Lflavo2a012448P1, Lflavo2a003499P1, Lflavo2a012430P1, Lflavo2a011797P1, Lflavo2a008999P1, Lflavo2a001299P1, Lflavo2a001297P1, Lflavo2a010057P1	XP_031778431.1, XP_031784078.1, XP_031779772.1, XP_031783013.1
OG0000250	Lflavo2a012165P7, Lflavo2a012165P6, Lflavo2a012165P1, Lflavo2a012165P2, Lflavo2a012165P5, Lflavo2a012165P4	XP_001599493.1, XP_008214241.1, XP_032454564.1, NP_001161331.1, NP_001177975.1
OG0000251	Lflavo2a006487P1	XP_031781533.1, XP_031781535.1, XP_031781534.1, XP_001600905.2, XP_001600876.1, XP_001600931.2, XP_001600653.1, XP_008207762.1, XP_032457602.1, XP_032457603.1, XP_031781522.1, XP_032457600.1, XP_003426759.1, XP_031781523.1, XP_001601215.1, XP_031787101.1, XP_001600717.1, XP_008212854.1
OG0000252	Lflavo2a007889P1	XP_031776612.1, XP_031776614.1, XP_031776615.1, XP_031776616.1, XP_031776613.1, XP_031776609.1, XP_031776605.1, XP_031776606.1, XP_031776607.1, XP_031776608.1, XP_031776610.1
OG0000253	Lflavo2a001898P1	XP_016842335.1, XP_003425271.2, XP_031787792.1, XP_008201792.1, XP_008201797.1, XP_031787794.1, XP_016842334.1, XP_016842333.1, XP_031787793.1, XP_016842332.1, XP_016842331.1, XP_032456286.1, XP_031787795.1
OG0000254	Lflavo2a008456P1	XP_032454527.1, XP_031782539.1, XP_031782540.1, XP_032454524.1, XP_032454526.1, XP_032454525.1, XP_031782543.1, XP_031782541.1, XP_031782542.1, XP_031782538.1, XP_031782533.1, XP_032454519.1, XP_032454522.1, XP_032454523.1, XP_032454520.1, XP_032454521.1, XP_031782535.1, XP_031782537.1, XP_031782534.1
OG0000255	Lflavo2a006402P2, Lflavo2a006402P3, Lflavo2a006402P5, Lflavo2a006402P1, Lflavo2a006402P6, Lflavo2a006402P4	XP_031782259.1, XP_032454097.1, XP_031782257.1, XP_031782258.1, XP_031782254.1, XP_031782255.1, XP_031782256.1, XP_032454096.1, XP_003425740.1, XP_008203891.1, XP_032454098.1, XP_032454095.1
OG0000256	Lflavo2a003954P1	XP_032455572.1, XP_032455571.1, XP_032455575.1, XP_032455576.1, XP_032455568.1, XP_032455570.1, XP_032455574.1, XP_032455567.1, XP_032455569.1, XP_032455566.1, XP_032455565.1, XP_032455573.1, XP_008211229.1, XP_008211230.1, XP_001600569.2, XP_008211220.1
OG0000257	Lflavo2a008851P1	XP_016843464.1, XP_016843465.1, XP_016843466.1, XP_008208482.1, XP_016843467.1, XP_008208481.1, XP_032455708.1, XP_032455707.1
OG0000258	Lflavo2a003208P1	XP_032452269.1, XP_031780689.1, XP_031780690.1, XP_031780691.1, XP_031780692.1, XP_031780693.1, XP_031780695.1, XP_031780696.1, XP_032452268.1, XP_031780698.1, XP_031780697.1, XP_031780699.1, XP_031780700.1
OG0000259	Lflavo2a005800P1, Lflavo2a005777P1, Lflavo2a005777P2	XP_031781651.1, XP_031781648.1, XP_031781647.1, XP_031781649.1, XP_031781650.1, XP_031781643.1, XP_016839826.1, XP_016839827.1, XP_031781644.1, XP_031781645.1, XP_031781646.1, XP_016839828.1
OG0000260	Lflavo2a001392P1	XP_031779263.1, XP_032453105.1, XP_016837796.1, XP_016837794.1, XP_016837793.1, XP_031779261.1, XP_032453104.1, XP_016837797.1, XP_016837798.1, XP_016837800.1, XP_031779262.1
OG0000261	Lflavo2a005575P1	XP_016839954.1, XP_016839955.1, XP_016839956.1, XP_016839957.1, XP_016839958.1, XP_031783427.1, XP_032454211.1, XP_032454212.1, XP_032454213.1, XP_031783428.1, XP_032454214.1, XP_032454215.1, XP_032454216.1, XP_032454217.1, XP_032454218.1, XP_032454219.1, XP_032454220.1, XP_032454221.1, XP_032454224.1, XP_016839961.1, XP_016839962.1, XP_016839963.1, XP_032454222.1, XP_032454223.1
OG0000262	Lflavo2a006413P1, Lflavo2a006413P2	XP_032453166.1, XP_031780180.1, XP_031780181.1, XP_031780182.1, XP_031780183.1, XP_031780184.1, XP_031780185.1
OG0000263	Lflavo2a005913P1, Lflavo2a005913P2	XP_031789303.1, XP_031789300.2, XP_031789298.2, XP_031789301.2, XP_031789302.2, XP_031789299.2
OG0000264	Lflavo2a002918P2, Lflavo2a002918P3	XP_001601370.3, XP_016838831.1, XP_016838829.1, XP_008203387.1, XP_031783643.1, XP_016838828.1, XP_016838830.1, XP_008203382.1, XP_008203384.1, XP_008203380.1, XP_016838826.1, XP_016838827.1
OG0000265	Lflavo2a009193P17, Lflavo2a009193P15, Lflavo2a009193P13, Lflavo2a009193P3, Lflavo2a009193P22, Lflavo2a009193P20, Lflavo2a009193P24, Lflavo2a009193P21, Lflavo2a009193P23, Lflavo2a009193P4, Lflavo2a009193P8, Lflavo2a009193P11, Lflavo2a009193P16, Lflavo2a009193P7, Lflavo2a009193P1, Lflavo2a009193P6, Lflavo2a009193P10, Lflavo2a009193P12, Lflavo2a009193P14, Lflavo2a009193P5, Lflavo2a009193P2, Lflavo2a009193P19, Lflavo2a009193P18, Lflavo2a009193P9	XP_001607390.1, XP_008212726.1, XP_003424105.1
OG0000267	Lflavo2a014304P2, Lflavo2a014304P4, Lflavo2a014304P1, Lflavo2a014304P3	XP_032455291.1, XP_032455292.1, XP_032455293.1, XP_032455294.1, XP_032455295.1, XP_008210024.1, XP_032455289.1, XP_032455290.1, XP_031786393.1, XP_031786394.1, XP_031786395.1, XP_031786396.1, XP_031786397.1, XP_031786398.1, XP_031786399.1, XP_031786400.1, XP_031786401.1
OG0000268	Lflavo2a007143P1	XP_008217853.1, XP_016837401.1, XP_016837195.1, XP_016837196.1, XP_016837197.1, XP_016837198.1, XP_031787351.1, XP_031787352.1, XP_003426687.1, XP_031787348.1, XP_031787349.1, XP_031787350.1, XP_008212345.1, XP_008212346.1, XP_031789617.1, XP_032454011.1, XP_031782795.1, XP_031782796.1, XP_008217842.1, XP_008217843.1, XP_032452758.1, XP_016837199.1, XP_031779072.1, XP_008209943.1, XP_031780766.1
OG0000269	Lflavo2a014317P1, Lflavo2a000942P1, Lflavo2a002912P1	XP_031786847.1
OG0000269	Lflavo2a011630P2, Lflavo2a011630P3	XP_001606870.1, XP_016843117.1, XP_001604160.1, XP_001607699.1
OG0000270	Lflavo2a004454P1	XP_031782733.1, XP_032454476.1, XP_032454477.1, XP_032454478.1, XP_032454479.1, XP_032454480.1, XP_031782732.1, XP_032454474.1, XP_032454475.1, XP_031782728.1, XP_031782729.1, XP_031782730.1, XP_031782731.1, XP_032454483.1, XP_032454484.1, XP_032454485.1, XP_031782735.1, XP_032454482.1, XP_031782734.1, XP_032454481.1
OG0000271	Lflavo2a008911P3, Lflavo2a008911P1, Lflavo2a008911P2	XP_001600927.1, XP_003426155.1, XP_032455642.1, XP_003426154.1, XP_008205451.1, XP_032455639.1, XP_032455640.1, XP_032455641.1
OG0000272	Lflavo2a005009P1	XP_032453702.1, XP_032453703.1, XP_008205285.1, XP_008205286.1, XP_032453701.1, XP_031783853.1, XP_001603731.2, XP_008205284.1
OG0000273	Lflavo2a013085P1, Lflavo2a013085P2, Lflavo2a013085P3	XP_031783554.1, XP_031783555.1, XP_008216568.1, XP_032454086.1, XP_031783557.1, XP_032454089.1, XP_031783556.1, XP_032454087.1, XP_031783558.1, XP_032454088.1
OG0000274	Lflavo2a012572P8, Lflavo2a012572P9, Lflavo2a012572P4, Lflavo2a012572P2, Lflavo2a012572P6, Lflavo2a012572P1, Lflavo2a012572P5, Lflavo2a012572P3, Lflavo2a012572P7	XP_016840511.1, XP_016840509.1, XP_016840506.1, XP_016840505.1, XP_031784639.1, XP_031784640.1
OG0000275	Lflavo2a008507P1, Lflavo2a008507P4	XP_031777263.1, XP_031777264.1, XP_031777265.1, XP_031777262.1, XP_031777266.1, XP_031777267.1
OG0000276	Lflavo2a006872P1, Lflavo2a007038P1	XP_016836560.2
OG0000277	Lflavo2a010201P1	XP_008214417.1, XP_032452496.1, XP_031778831.1, XP_008214420.1, XP_031778833.1, XP_032452497.1, XP_032452498.1, XP_032452499.1, XP_032452500.1, XP_032452501.1, XP_032452502.1, XP_031778829.1, XP_031778830.1
OG0000278	Lflavo2a005177P1	XP_032452115.1, XP_032452116.1
OG0000278	Lflavo2a011865P1	NP_001166049.1, XP_032452528.1, NP_001166074.1, NP_001166051.1, XP_031781824.1, XP_008205021.1, XP_031778733.1, XP_008205022.1, XP_016837090.2, XP_001604966.2, NP_001166088.1, XP_001599663.2, XP_003425960.1, NP_001155845.1, NP_001166093.1, XP_016836975.1, XP_008204755.1
OG0000279	Lflavo2a000897P2, Lflavo2a000897P5, Lflavo2a000897P3, Lflavo2a000897P1, Lflavo2a000897P4, Lflavo2a000939P1	XP_008203081.2, XP_031777819.1, XP_031777820.1, XP_031777814.1, XP_032452764.1, XP_031777818.1, XP_031777815.1, XP_031777816.1, XP_031777817.1
OG0000280	Lflavo2a003392P1	XP_031777784.1
OG0000280	Lflavo2a008399P1	XP_031783234.1, XP_016838949.1, XP_016838950.1, XP_032454392.1, XP_032454393.1, XP_031783169.1, XP_031783170.1, XP_016838953.1, XP_016838952.1, XP_031783172.1, XP_031783144.1, XP_003425309.1, XP_001607216.2, XP_001607225.2, XP_001607233.2, XP_008203819.2, XP_032454000.1, XP_032454002.1, XP_001604518.1, XP_031782143.1, XP_008203818.1, XP_032454001.1
OG0000281	Lflavo2a000526P1, Lflavo2a000547P1, Lflavo2a000547P2, Lflavo2a010854P1	XP_008210638.1, XP_032454620.1, XP_032454619.1, XP_003427376.1, XP_008210631.1, XP_008210632.1, XP_032454615.1, XP_032454616.1, XP_032454617.1, XP_032454618.1, XP_008210641.1, XP_032454621.1, XP_032454622.1
OG0000282	Lflavo2a001867P1	XP_016840453.1, XP_032455805.1, XP_032455804.1, XP_016840440.1, XP_016840441.1, XP_016840444.1, XP_016840445.1, XP_031785205.1, XP_032455801.1, XP_032455800.1, XP_032455803.1, XP_032455802.1
OG0000283	Lflavo2a008235P1	XP_001605658.3, XP_031783595.1, XP_001607871.2, XP_031788471.1, NP_001166073.1, XP_016837475.1, XP_032456102.1, NP_001166253.1, XP_032457056.1, NP_001166054.1, XP_016837013.1, XP_008212399.1, XP_031778355.1, XP_032452225.1
OG0000283	Lflavo2a006863P1, Lflavo2a007102P1	NP_001166069.1, NP_001166068.1, XP_016838948.1
OG0000285	Lflavo2a007719P1	XP_001599692.2
OG0000285	Lflavo2a007719P2	NP_001161243.1, XP_032454659.1, XP_032454660.1, XP_032454661.1, XP_032454662.1, XP_032454663.1, XP_032454664.1, XP_032454665.1, XP_032454666.1, XP_032454667.1, XP_031784266.1, XP_031779950.1, XP_031779952.1, XP_031779949.1, XP_031779951.1
OG0000286	Lflavo2a013329P1	NP_001157191.1, NP_001157192.1, XP_032453601.1
OG0000287	Lflavo2a003114P1, Lflavo2a003089P1	XP_008202602.3, XP_031778046.1, XP_031778049.1
OG0000288	Lflavo2a001820P1	XP_031786035.1, XP_031786036.1, XP_031786040.1, XP_031786041.1, XP_031786042.1, XP_032457990.1, XP_032457991.1, XP_032457992.1, XP_032457993.1, XP_032457994.1, XP_032457995.1, XP_032457996.1, XP_032457997.1, XP_032457998.1, XP_032457999.1, XP_032458000.1, XP_032458001.1, XP_032458002.1, XP_032458003.1, XP_032458004.1
OG0000289	Lflavo2a009466P1	XP_003427814.1
OG0000289	Lflavo2a009453P1, Lflavo2a009453P2, Lflavo2a009456P1	XP_016845753.1
OG0000290	Lflavo2a007141P1	XP_031777822.1, XP_003425573.1, XP_008203076.1, XP_031777823.1, XP_032452785.1, XP_032452784.1, XP_031777824.1
OG0000291	Lflavo2a002986P1, Lflavo2a002986P2	XP_001607793.2, XP_008207430.1, XP_008207436.1, XP_032456130.1, XP_032456131.1, XP_032456132.1, XP_032456133.1
OG0000292	Lflavo2a010190P1	XP_008211318.1, XP_031785218.1, XP_031785217.1, XP_032454829.1
OG0000293	Lflavo2a004153P1	XP_031777692.1, XP_008203048.1, XP_031777694.1, XP_031777693.1, XP_001607679.2, XP_016845698.1, XP_016845695.1, XP_016845696.1, XP_003425577.1
OG0000294	Lflavo2a007335P1	XP_031782392.1, XP_031782393.1
OG0000295	Lflavo2a007676P1, Lflavo2a007710P1	XP_016842697.1, XP_008202444.1, XP_032457320.1, XP_008202441.1, XP_008202443.1, XP_003425430.1, XP_008202445.1
OG0000296	Lflavo2a014278P1	XP_031783964.1, XP_032457379.1, XP_031783972.1, XP_031783934.1, XP_031783939.1, XP_031783947.1, XP_031783962.1, XP_031783956.1, XP_032457373.1, XP_031783981.1
OG0000298	Lflavo2a004141P1, Lflavo2a004160P1	XP_031786141.1, XP_031786140.1, XP_031786135.1, XP_031786139.1
OG0000298	Lflavo2a002246P1	XP_001605390.2, XP_008216934.1, XP_008216939.1
OG0000299	Lflavo2a013562P2, Lflavo2a013562P1, Lflavo2a013562P3	XP_031789597.1, XP_031789595.1, XP_031789598.1, XP_032451919.1, XP_031789594.1, XP_031789599.1, XP_031789596.1, XP_032451918.1, XP_032451922.1, XP_032451920.1, XP_032451921.1
OG0000300	Lflavo2a000612P1	XP_008209471.1, XP_008209477.1, XP_032453095.1, XP_031779645.1, XP_032453100.1, XP_032453099.1, XP_031779643.1, XP_031779644.1, XP_032453097.1, XP_032453098.1
OG0000301	Lflavo2a011524P8, Lflavo2a011524P13, Lflavo2a011524P3, Lflavo2a011524P1, Lflavo2a011524P2, Lflavo2a011524P10, Lflavo2a011524P9, Lflavo2a011524P5, Lflavo2a011524P14, Lflavo2a011524P11	XP_031788329.1, XP_016838344.1, XP_031788326.1, XP_031788327.1, XP_031788330.1
OG0000302	Lflavo2a011068P1, Lflavo2a011068P2	XP_016841256.1, XP_032457008.1, XP_032457011.1, XP_032457009.1, XP_032457010.1
OG0000303	Lflavo2a011227P1	XP_032452570.1, XP_032452568.1, XP_032452569.1, XP_031779188.1, XP_032452563.1, XP_008202306.1, XP_032452564.1, XP_032452567.1, XP_031779191.1, XP_031779189.1, XP_032452561.1, XP_032452562.1, XP_031779190.1, XP_032452565.1, XP_031779192.1, XP_032452566.1, XP_031779186.1, XP_031779187.1, XP_032452560.1, XP_031779193.1, XP_031779194.1, XP_031779195.1
OG0000304	Lflavo2a000670P1	XP_032453560.1, XP_032453561.1, XP_032453555.1, XP_032453554.1, XP_032453550.1, XP_032453553.1, XP_032453556.1, XP_032453557.1, XP_032453558.1, XP_032453559.1, XP_032453551.1, XP_032453552.1, XP_032453562.1
OG0000305	Lflavo2a012166P4, Lflavo2a012166P6, Lflavo2a012166P7, Lflavo2a012166P2, Lflavo2a012166P3, Lflavo2a012166P8, Lflavo2a012166P1, Lflavo2a012166P5	XP_008206137.1, XP_031777421.1, XP_031777422.1, XP_031777423.1
OG0000306	Lflavo2a012539P1	XP_016840551.1, XP_008213620.1, XP_031785257.1, XP_031785258.1, XP_031785259.1, XP_031785256.1, XP_031785253.1, XP_031785254.1, XP_031785255.1
OG0000307	Lflavo2a010765P1	XP_031780635.1, XP_031780636.1, XP_031780637.1, XP_031780640.1, XP_031780641.1
OG0000308	Lflavo2a008311P1	XP_032456803.1, XP_032456804.1, XP_031787056.1, XP_031787053.1, XP_031787054.1, XP_016841500.1, XP_031787055.1
OG0000310	Lflavo2a008725P1	XP_031782945.1, XP_031782949.1, XP_031782954.1, XP_031782971.1, XP_032457184.1
OG0000311	Lflavo2a012024P1, Lflavo2a012024P2	XP_016844789.1, XP_016844785.1, XP_016844787.1, XP_008217019.1, XP_008217020.1, XP_016844786.1, XP_016844784.1, XP_016844788.1, XP_016844790.1
OG0000312	Lflavo2a009188P1, Lflavo2a012682P1	XP_031781609.1, XP_031781606.1, XP_031781607.1, XP_031781605.1, XP_016843679.1, XP_031781604.1, XP_031781610.1, XP_031781608.1
OG0000313	Lflavo2a006983P1	XP_031789501.1, XP_031789509.1, XP_031789513.1, XP_031789518.1, XP_032457166.1, XP_032457167.1, XP_032457168.1, XP_031789543.1, XP_031789544.1, XP_031789546.1, XP_031789548.1, XP_032457169.1, XP_032457171.1, XP_031789553.1, XP_031789551.1, XP_031789556.1, XP_031789536.1, XP_031789532.1, XP_031789434.1, XP_031789437.1, XP_031789442.1, XP_031789449.1, XP_031789454.1, XP_031789429.1, XP_031789482.1, XP_031789428.1
OG0000314	Lflavo2a000237P5, Lflavo2a000237P4, Lflavo2a000237P3	XP_001607818.1, XP_032452046.1, XP_031777732.1, XP_032452063.1, XP_032452061.1, XP_008202938.1, XP_032452053.1, XP_008202934.1, XP_032452042.1
OG0000315	Lflavo2a003775P1	XP_031785476.1, XP_031785475.1, XP_032455720.1, XP_031785477.1, XP_031785474.1, XP_031785473.1, XP_032455719.1, XP_031785471.1, XP_031785472.1, XP_031785479.1, XP_032455721.1, XP_032455723.1, XP_032455724.1, XP_032455722.1, XP_032455725.1
OG0000316	Lflavo2a009586P1	XP_008214643.1, XP_032455698.1, XP_032455699.1
OG0000317	Lflavo2a013667P1	NP_001161164.1, XP_031784298.1, XP_031784299.1, XP_031784300.1, XP_031784301.1
OG0000318	Lflavo2a011684P1	XP_031786202.1, XP_032455236.1, XP_031786204.1, XP_031786205.1, XP_031786206.1, XP_031786199.1, XP_031786203.1, XP_031786200.1, XP_031786197.1, XP_031786210.1, XP_031786207.1, XP_031786209.1, XP_031786211.1, XP_031786198.1, XP_031786201.1, XP_031786208.1
OG0000319	Lflavo2a011677P1	XP_001600020.1, XP_032453791.1
OG0000319	Lflavo2a005106P1	XP_008202211.1
OG0000319	Lflavo2a005121P1	XP_003425371.1
OG0000319	Lflavo2a001126P1	XP_001605148.1
OG0000320	Lflavo2a000735P1	XP_031782175.1, XP_031782173.1, XP_008213460.1, XP_016839356.1, XP_031782172.1, XP_032454514.1, XP_031782174.1, XP_032454515.1, XP_031782171.1
OG0000321	Lflavo2a007219P1	NP_001127792.1, XP_031778358.1, XP_032452227.1
OG0000321	Lflavo2a009147P1, Lflavo2a009147P2	XP_008209399.1
OG0000322	Lflavo2a000260P1	XP_008213122.1, XP_031781465.1, XP_032452109.1, XP_032455871.1, XP_032455872.1, XP_016841931.1, XP_032455862.1, XP_016841932.1, XP_001599320.2, XP_032455875.1, XP_032455880.1
OG0000323	Lflavo2a010567P1	XP_008216484.1, XP_008216485.1, XP_031778715.1, XP_032453330.1, XP_032453331.1, XP_032453332.1, XP_032453333.1, XP_032453334.1, XP_032453335.1, XP_032453337.1, XP_032453328.1, XP_032453329.1
OG0000324	Lflavo2a007232P1	XP_031784344.1, XP_003427395.1, XP_008210762.1, XP_008210764.1, XP_031784345.1, XP_032455487.1, XP_032455488.1, XP_001604236.1, XP_003427394.1, XP_032455486.1
OG0000325	Lflavo2a000141P1	XP_016840802.1, XP_031785339.1, XP_016840799.1, XP_031785338.1, XP_031785336.1, XP_031785337.1
