Orthogroup	Liostenogaster_flavolineata	Apis_mellifera
OG0000613	Lflavo2a006593P1	XP_006563114.2, XP_006563115.2, XP_623946.3
OG0000615	Lflavo2a003885P2	XP_006563988.3, XP_026295565.1, XP_026295566.1, XP_026295567.1, XP_026295569.1
OG0000616	Lflavo2a010923P1	XP_006564443.2, XP_016770716.2, XP_016770717.2, XP_016770718.2, XP_026299508.1, XP_006564444.2
OG0000617	Lflavo2a013389P1	XP_006564534.1, XP_392905.2
OG0000618	Lflavo2a000481P1	XP_016770353.2, XP_016770354.2, XP_391903.5, XP_006566395.2, XP_006566396.2, XP_006566397.2, XP_006566398.2, XP_016770352.2, XP_016770355.2
OG0000619	Lflavo2a003440P4, Lflavo2a003440P5, Lflavo2a003440P6, Lflavo2a003440P1, Lflavo2a003440P2, Lflavo2a003440P3	XP_006567757.1, XP_393017.3
OG0000620	Lflavo2a004873P1	XP_016768661.2, XP_016768662.2, XP_016768663.2
OG0000621	Lflavo2a002745P1, Lflavo2a002745P2, Lflavo2a002745P3	XP_006569500.1
OG0000622	Lflavo2a001516P1, Lflavo2a001473P1	XP_006570520.2, XP_016770194.2, XP_016770195.2, XP_006570519.2, XP_624018.4
OG0000623	Lflavo2a011037P2, Lflavo2a011037P1, Lflavo2a011037P6, Lflavo2a011037P5	XP_026297355.1
OG0000624	Lflavo2a004351P1, Lflavo2a004351P2	XP_026296410.1, XP_026296414.1, XP_006571269.1, XP_006571263.1, XP_006571264.1, XP_006571265.1, XP_006571266.1, XP_006571267.1
OG0000625	Lflavo2a001589P2, Lflavo2a001589P1, Lflavo2a001589P3	XP_006571406.1, XP_395396.2
OG0000626	Lflavo2a012070P1, Lflavo2a012070P2	XP_016766178.1, XP_016766173.1, XP_016766174.1, XP_016766175.1, XP_016766176.1, XP_026295006.1, XP_026295007.1, XP_026295009.1, XP_016766177.1
OG0000627	Lflavo2a008024P1	XP_016766745.1, XP_016766744.1, XP_016766743.1, XP_016766741.1, XP_016766742.1
OG0000628	Lflavo2a010743P1	XP_016767587.2, XP_016767588.2, XP_016767589.2, XP_016767590.2, XP_016767592.2, XP_016767593.2, XP_026296397.1
OG0000629	Lflavo2a003799P1	XP_016768593.1, XP_016768592.1, XP_016768590.1, XP_016768591.1
OG0000630	Lflavo2a002537P1	XP_016769470.1, XP_016769471.1, XP_016769472.1, XP_016769473.1, XP_016769474.1, XP_016769475.1, XP_016769476.1
OG0000631	Lflavo2a011763P1	XP_016770555.2, XP_016770553.2, XP_016770558.2, XP_016770559.1, XP_016770549.2, XP_016770550.2, XP_016770552.2, XP_016770554.2, XP_026299861.1, XP_026299860.1
OG0000632	Lflavo2a002839P1, Lflavo2a002892P1	XP_026300098.1, XP_026300097.1, XP_026300096.1, XP_016770975.2, XP_026300092.1, XP_026300093.1, XP_026300094.1, XP_026300095.1
OG0000634	Lflavo2a011812P1	XP_016772289.2, XP_026301255.1
OG0000635	Lflavo2a007686P1	XP_016772600.1, XP_016772601.1, XP_016772602.1, XP_016772599.1, XP_395650.3
OG0000636	Lflavo2a001837P1	XP_026294634.1, XP_026294635.1, XP_026294633.1, XP_026294632.1
OG0000637	Lflavo2a001103P1, Lflavo2a001103P2	XP_026294771.1, XP_026294782.1, XP_026294773.1, XP_026294774.1, XP_026294775.1, XP_026294776.1, XP_026294777.1, XP_026294778.1, XP_026294779.1, XP_026294780.1, XP_026294781.1, XP_026294769.1, XP_026294768.1, XP_026294770.1
OG0000638	Lflavo2a001720P1	XP_026295251.1, XP_026295252.1, XP_026295253.1
OG0000639	Lflavo2a003327P1, Lflavo2a003327P2	XP_026295474.1, XP_026295475.1, XP_026295467.1, XP_026295468.1, XP_026295469.1, XP_026295470.1, XP_026295471.1, XP_026295473.1
OG0000640	Lflavo2a007395P1, Lflavo2a007395P2	XP_026295670.1, XP_026295671.1, XP_026295673.1
OG0000641	Lflavo2a004633P3, Lflavo2a004633P1, Lflavo2a004633P2	XP_026295943.1, XP_026295940.1, XP_026295941.1, XP_026295942.1
OG0000642	Lflavo2a002469P1	XP_026296207.1, XP_624867.2
OG0000643	Lflavo2a006484P1, Lflavo2a006484P2	XP_026296332.1, XP_026296333.1, XP_026296334.1, XP_026296335.1, XP_026296336.1, XP_026296338.1
OG0000644	Lflavo2a002710P1	XP_026296673.1
OG0000645	Lflavo2a012771P1, Lflavo2a012871P1	XP_026296739.1, XP_026296736.1, XP_026296737.1, XP_026296744.1, XP_026296738.1, XP_026296746.1, XP_026296745.1, XP_026296735.1, XP_026296741.1, XP_026296734.1, XP_026296742.1, XP_026296743.1, XP_026296740.1, XP_026296733.1
OG0000646	Lflavo2a002680P1	XP_026296854.1
OG0000647	Lflavo2a012619P2, Lflavo2a012619P1, Lflavo2a012619P3	XP_026297659.1, XP_026297654.1, XP_026297656.1, XP_026297657.1, XP_026297658.1, XP_026297653.1, XP_026297655.1
OG0000648	Lflavo2a014013P1	XP_026298547.1, XP_026298546.1, XP_026298544.1, XP_026298545.1
OG0000649	Lflavo2a006320P1, Lflavo2a006320P2	XP_026299211.1, XP_026299208.1, XP_026299207.1, XP_026299209.1, XP_026299210.1, XP_026299212.1
OG0000650	Lflavo2a012425P2, Lflavo2a012425P1, Lflavo2a012425P3	XP_391912.1, XP_026299566.1, XP_026299567.1, XP_026299568.1
OG0000651	Lflavo2a000491P1	XP_026300610.1, XP_026300605.1, XP_026300606.1, XP_026300607.1, XP_026300608.1, XP_026300609.1, XP_026300604.1, XP_026300603.1, XP_026300611.1
OG0000652	Lflavo2a006066P1, Lflavo2a006066P3, Lflavo2a006066P2, Lflavo2a006066P5, Lflavo2a006066P4	XP_026300626.1, XP_026300627.1, XP_026300622.1, XP_026300623.1, XP_026300624.1, XP_026300625.1, XP_026300619.1, XP_026300620.1, XP_026300621.1
OG0000653	Lflavo2a006848P7, Lflavo2a006848P1, Lflavo2a006848P6, Lflavo2a006848P2, Lflavo2a006848P4	XP_026301279.1, XP_026301280.1, XP_026301281.1, XP_026301277.1, XP_026301278.1
OG0000656	Lflavo2a004485P1, Lflavo2a004485P3, Lflavo2a004485P4	NP_001011585.1, XP_016771941.1, XP_026301046.1, XP_026301045.1
OG0000657	Lflavo2a000232P1	NP_001014994.1, XP_026298412.1, XP_026298414.1
OG0000657	Lflavo2a000263P1	XP_006558427.2
OG0000658	Lflavo2a003374P1, Lflavo2a003374P4, Lflavo2a003374P2, Lflavo2a003374P3	XP_001120401.1, XP_026299649.1, XP_026299650.1, XP_016772917.1, XP_006572233.1
OG0000659	Lflavo2a005401P1	XP_001121319.3, XP_016767868.1
OG0000660	Lflavo2a001332P1	XP_001121559.2, XP_006558083.1, XP_016770677.1, XP_016770678.1, XP_006558084.1
OG0000661	Lflavo2a001979P1, Lflavo2a001979P2, Lflavo2a001979P3, Lflavo2a001979P4	XP_001122055.3, XP_016767335.1, XP_006567306.1
OG0000663	Lflavo2a011090P1	XP_006565206.1, XP_003250589.1, XP_016767486.1, XP_016767487.1, XP_016767488.1, XP_016767490.1, XP_016767491.1, XP_016767492.1, XP_016767493.1, XP_016767494.1, XP_026295877.1, XP_016767495.1
OG0000664	Lflavo2a006063P1	XP_006557352.1, XP_026301660.1, XP_006557354.1, XP_006557355.1, XP_006557356.1
OG0000665	Lflavo2a014228P1	XP_006558562.2, XP_006558563.2, XP_006558564.2, XP_016771262.2, XP_016771264.2, XP_026300650.1
OG0000666	Lflavo2a001114P1	XP_006558878.1, XP_006558877.1, XP_006558876.1, XP_006558874.1, XP_006558872.1, XP_006558871.1, XP_006558873.1
OG0000667	Lflavo2a011237P1	XP_006559067.1, XP_006559068.1, XP_006559069.1, XP_006559066.1, XP_016770475.1, XP_016770476.1, XP_006559064.1, XP_006559070.1, XP_006559065.1, XP_006559062.1, XP_006559063.1
OG0000668	Lflavo2a007933P1	XP_006559344.1, XP_026300992.1, XP_026300993.1, XP_026300994.1, XP_396662.2
OG0000669	Lflavo2a009125P1	XP_623221.2
OG0000670	Lflavo2a014097P1	XP_006559524.1, XP_006559526.1, XP_026298347.1, XP_026298348.1, XP_006559521.1, XP_026298346.1, XP_006559523.1
OG0000671	Lflavo2a004129P3, Lflavo2a004129P1, Lflavo2a004129P4	XP_006559637.1
OG0000672	Lflavo2a012597P1	XP_006559728.2, XP_006559729.2, XP_006559730.2, XP_393129.4
OG0000673	Lflavo2a010856P2, Lflavo2a010856P1, Lflavo2a010856P3, Lflavo2a001736P1	XP_006559990.1
OG0000674	Lflavo2a013013P1	XP_006560034.1, XP_624637.2, XP_006560036.1, XP_006560033.1
OG0000675	Lflavo2a008814P1	XP_006560047.1, XP_391854.1, XP_006560048.1
OG0000676	Lflavo2a003313P3, Lflavo2a003313P4, Lflavo2a003313P2, Lflavo2a003313P1, Lflavo2a003313P5	XP_006560861.1, XP_393406.4
OG0000677	Lflavo2a004816P1, Lflavo2a004816P4, Lflavo2a004816P2, Lflavo2a004816P3	XP_006560898.1, XP_625035.2
OG0000678	Lflavo2a004176P1	XP_392943.3
OG0000678	Lflavo2a011072P1	XP_006561704.1, XP_393296.2, XP_623273.1
OG0000679	Lflavo2a009086P1, Lflavo2a009086P2	XP_396078.4, XP_006562382.1, XP_006562381.1, XP_016771813.1, XP_006562383.1
OG0000680	Lflavo2a005802P6, Lflavo2a005802P7, Lflavo2a005802P5, Lflavo2a005802P9, Lflavo2a005802P2, Lflavo2a005802P8	XP_016768227.1, XP_006562505.1, XP_006562506.1
OG0000681	Lflavo2a004426P1	XP_026301639.1, XP_006563261.2, XP_026301637.1, XP_026301638.1, XP_026301640.1, XP_026301641.1
OG0000682	Lflavo2a008461P1	XP_006563522.1, XP_006563518.1, XP_006563520.1, XP_006563525.1, XP_006563523.1, XP_006563519.1, XP_392838.4, XP_006563521.1
OG0000683	Lflavo2a008060P1	XP_016770533.1, XP_016770534.1, XP_016770532.1, XP_006564477.1
OG0000684	Lflavo2a003628P2, Lflavo2a003628P3, Lflavo2a003628P1, Lflavo2a003628P4	XP_016771668.1, XP_016771669.1, XP_006564879.1, XP_006564878.1, XP_016771667.1, XP_006564880.1
OG0000685	Lflavo2a005018P1	XP_006564907.1, XP_016771840.1, XP_006564903.1, XP_006564906.1, XP_016771839.1
OG0000686	Lflavo2a006684P3, Lflavo2a006684P1, Lflavo2a006684P2	XP_006565247.2, XP_016770920.2, XP_026300110.1, XP_624644.2
OG0000688	Lflavo2a004375P1	XP_006566628.1, XP_016770492.1, XP_016770493.1, XP_006566627.1, XP_006566629.1, XP_006566630.1
OG0000689	Lflavo2a005843P1	XP_006566644.1, XP_016770497.1, XP_016770498.1, XP_394932.4, XP_006566645.1, XP_006566646.1, XP_006566647.1
OG0000690	Lflavo2a004087P1	XP_006566923.2
OG0000691	Lflavo2a001812P1	XP_006567454.1, XP_006567460.1
OG0000692	Lflavo2a002738P1, Lflavo2a002738P2	XP_006569510.1, XP_016768587.1, XP_016768588.1, XP_392439.4, XP_026297623.1
OG0000693	Lflavo2a001902P1	XP_006570355.1
OG0000694	Lflavo2a013818P1	XP_016769651.1, XP_006571503.1, XP_006571504.1, XP_006571505.1, XP_006571506.1, XP_006571507.1, XP_006571511.1, XP_006571512.1, XP_016769671.1, XP_026298241.1, XP_016769645.1, XP_016769649.1
OG0000695	Lflavo2a013616P1	XP_006571898.1, XP_006571899.1
OG0000696	Lflavo2a002959P1	XP_006572019.1, XP_006572013.2, XP_006572014.2, XP_006572015.2, XP_006572016.2, XP_026298517.1, XP_026298518.1, XP_026298519.1
OG0000697	Lflavo2a012793P3, Lflavo2a012793P5, Lflavo2a012793P1, Lflavo2a012793P4	XP_026295174.1, XP_026295172.1, XP_026295173.1, XP_026295171.1, XP_026295169.1, XP_016766623.2, XP_026295170.1, XP_026295168.1
OG0000698	Lflavo2a001013P1, Lflavo2a001013P2	XP_016766874.1, XP_016766875.1, XP_016766878.1, XP_026296500.1
OG0000699	Lflavo2a007181P1	XP_016767253.1, XP_016767252.1, XP_016767254.1, XP_016767256.1
OG0000700	Lflavo2a009543P1	XP_016767431.2, XP_016767433.2, XP_016767434.2, XP_016767437.2, XP_016767436.2, XP_026295916.1
OG0000701	Lflavo2a011388P1, Lflavo2a011388P2	XP_026296705.1, XP_016767752.1, XP_026296703.1, XP_026296704.1
OG0000702	Lflavo2a000497P1, Lflavo2a000497P2	XP_016768599.1, XP_026297582.1
OG0000703	Lflavo2a009798P1	XP_016768930.1, XP_016768931.1, XP_016768932.1, XP_016768934.1, XP_016768943.1
OG0000704	Lflavo2a002835P2, Lflavo2a002835P1, Lflavo2a002835P3	XP_016770097.2, XP_026299031.1
OG0000705	Lflavo2a011451P1	XP_016770512.1, XP_026299867.1, XP_026299871.1, XP_026299868.1, XP_026299869.1, XP_026299870.1, XP_026299865.1, XP_026299866.1, XP_016770515.1, XP_016770509.1
OG0000706	Lflavo2a012958P1, Lflavo2a012958P2	XP_016771326.1, XP_026300600.1, XP_026300599.1, XP_026300597.1, XP_016771325.1, XP_026300598.1
OG0000707	Lflavo2a013234P1	XP_016771376.2, XP_016771375.1, XP_026300443.1, XP_026300444.1, XP_016771373.1, XP_016771372.1, XP_016771370.1, XP_016771371.1
OG0000708	Lflavo2a011930P1	XP_016771462.1, XP_016771459.2, XP_016771458.1, XP_016771461.1, XP_016771457.1, XP_026300462.1, XP_016771460.1, XP_016771463.1
OG0000709	Lflavo2a003639P1, Lflavo2a003639P2	XP_016771510.2, XP_392015.3, XP_016771512.2, XP_016771515.2, XP_016771514.2, XP_016771513.2
OG0000710	Lflavo2a012365P1, Lflavo2a012355P1	XP_026295380.1, XP_026295378.1, XP_026295379.1
OG0000711	Lflavo2a000725P1	XP_026295658.1, XP_026295659.1, XP_026295661.1, XP_026295662.1
OG0000712	Lflavo2a010219P1	XP_026296729.1, XP_026296730.1, XP_026296731.1
OG0000713	Lflavo2a009411P3, Lflavo2a009411P4, Lflavo2a009411P1, Lflavo2a009411P2	XP_026298019.1, XP_026298020.1, XP_026298021.1, XP_026298022.1, XP_026298023.1, XP_026298024.1, XP_026298025.1
OG0000714	Lflavo2a002140P1, Lflavo2a002140P2	XP_026298461.1, XP_026298462.1
OG0000715	Lflavo2a011325P2	XP_026299388.1
OG0000717	Lflavo2a008937P2, Lflavo2a008937P4	XP_026299808.1, XP_026299809.1, XP_026299810.1
OG0000718	Lflavo2a009810P1	XP_026300061.1, XP_026300062.1, XP_026300059.1, XP_026300054.1, XP_026300055.1, XP_026300056.1, XP_026300057.1, XP_026300058.1, XP_026300060.1
OG0000719	Lflavo2a001368P1	XP_026300270.1, XP_026300271.1
OG0000720	Lflavo2a012040P1	XP_026300382.1, XP_026300383.1, XP_026300384.1, XP_026300385.1, XP_026300386.1, XP_026300387.1
OG0000721	Lflavo2a006839P1	XP_026301276.1, XP_026301267.1, XP_026301268.1, XP_026301269.1, XP_026301266.1, XP_026301272.1, XP_026301259.1, XP_026301260.1, XP_026301261.1, XP_026301263.1, XP_026301264.1, XP_026301274.1, XP_026301275.1, XP_026301265.1, XP_026301271.1, XP_026301270.1, XP_026301273.1
OG0000722	Lflavo2a004121P1, Lflavo2a004121P3, Lflavo2a004121P4, Lflavo2a004121P2	XP_026301904.1, XP_026301903.1, XP_026301901.1, XP_026301906.1, XP_026301905.1, XP_026301899.1, XP_026301902.1, XP_026301900.1
OG0000723	Lflavo2a005240P1	XP_026302053.1, XP_026302054.1
OG0000724	Lflavo2a008649P1	XP_026302069.1, XP_026302070.1, XP_026302071.1, XP_026302074.1, XP_026302075.1, XP_026302076.1, XP_026302073.1, XP_026302072.1
OG0000725	Lflavo2a005970P1	XP_396044.4
OG0000726	Lflavo2a008442P1	XP_396922.2
OG0000728	Lflavo2a010905P1	NP_001128406.1, XP_006571519.1, XP_006571520.1
OG0000728	Lflavo2a000105P2, Lflavo2a000105P5, Lflavo2a000105P1, Lflavo2a000105P3, Lflavo2a000105P6, Lflavo2a000105P4	NP_001011643.1
OG0000729	Lflavo2a012153P1	NP_001035355.1, XP_026298406.1, XP_006567391.1, XP_006567388.1, XP_006567389.1, XP_006567390.1, XP_016769334.1, XP_006567392.1, XP_016769335.1
OG0000730	Lflavo2a002400P1	NP_001091685.2, XP_006568116.2, XP_016768787.2
OG0000731	Lflavo2a000406P1	XP_003250526.1, XP_026296405.1
OG0000731	Lflavo2a010267P1	NP_001171492.1, NP_001171493.1, XP_006570759.1
OG0000732	Lflavo2a006900P3, Lflavo2a006900P6, Lflavo2a006900P12, Lflavo2a006900P2, Lflavo2a006900P5, Lflavo2a006900P11, Lflavo2a006900P10, Lflavo2a006900P8, Lflavo2a006900P13, Lflavo2a006900P14, Lflavo2a006900P9, Lflavo2a006900P1	NP_001306197.1, XP_006567860.1
OG0000733	Lflavo2a009802P1	XP_001119965.2, XP_006571463.1, XP_006571465.1, XP_006571466.1, XP_026299485.1, XP_026299515.1, XP_016771049.1, XP_016771062.1
OG0000734	Lflavo2a012047P1, Lflavo2a012036P1	XP_001120061.2, XP_006567415.1
OG0000735	Lflavo2a003659P1	XP_001121184.1, XP_006566528.1
OG0000736	Lflavo2a007161P1	XP_001121365.2, XP_006562009.1
OG0000737	Lflavo2a005910P1	XP_001122616.1, XP_006570777.1, XP_016771428.1, XP_016771429.1
OG0000738	Lflavo2a003566P1, Lflavo2a003566P2	XP_001122664.2, XP_016771592.1, XP_016771593.1
OG0000739	Lflavo2a006250P4, Lflavo2a006250P1, Lflavo2a006250P2	XP_006559171.2, XP_006559172.2, XP_003249445.3, XP_006559170.2
OG0000740	Lflavo2a006410P1	XP_003251568.1, XP_006570560.1
OG0000741	Lflavo2a010229P4, Lflavo2a010229P1, Lflavo2a010229P2, Lflavo2a010229P3	XP_003251782.2, XP_006571761.2
OG0000742	Lflavo2a003391P1	XP_006557619.1, XP_006557620.1, XP_006557621.1, XP_393658.4
OG0000743	Lflavo2a002272P1, Lflavo2a002272P2	XP_016771202.2, XP_026300545.1, XP_016771203.2, XP_016771204.2, XP_016771205.2, XP_016771206.2, XP_016771207.2, XP_006557906.2, XP_006557908.2, XP_026300543.1, XP_026300544.1, XP_016771201.2
OG0000744	Lflavo2a004217P3, Lflavo2a004217P1, Lflavo2a004217P2, Lflavo2a004217P4, Lflavo2a004242P1	XP_016769590.1, XP_396827.5, XP_016769589.1, XP_016769587.1, XP_006558192.2
OG0000745	Lflavo2a013734P2, Lflavo2a013734P1, Lflavo2a013734P3	XP_006559380.1, XP_016771233.1, XP_016771234.1, XP_016771236.1, XP_016771235.1, XP_016771237.1
OG0000746	Lflavo2a002810P1	XP_006559890.1, XP_006559891.1, XP_006559892.1, XP_026297462.1, XP_394703.4, XP_006559888.1, XP_006559889.1
OG0000747	Lflavo2a007878P4, Lflavo2a007878P1, Lflavo2a007878P3, Lflavo2a007878P5, Lflavo2a007878P6	XP_006560041.1, XP_006560040.1, XP_006560042.1, XP_006560043.1, XP_392094.3, XP_006560039.1, XP_006560038.1
OG0000748	Lflavo2a001405P1, Lflavo2a001388P1	XP_006560078.2, XP_026296874.1
OG0000749	Lflavo2a009898P1, Lflavo2a009895P1	XP_006560473.1, XP_623685.1
OG0000750	Lflavo2a005133P1	XP_006561066.2, XP_624636.4, XP_006561067.2
OG0000751	Lflavo2a004581P1	XP_006561157.1, XP_392246.3
OG0000752	Lflavo2a002841P1, Lflavo2a002838P1, Lflavo2a002838P3, Lflavo2a002838P2, Lflavo2a002869P1	XP_006561900.2, XP_006561898.2, XP_016769670.2, XP_026298614.1
OG0000753	Lflavo2a005612P1	XP_026296559.1, XP_006562229.1, XP_006562230.1, XP_006562231.1, XP_016767734.1, XP_026296560.1
OG0000754	Lflavo2a011508P1	XP_006562562.1, XP_006562563.1, XP_016769947.1
OG0000755	Lflavo2a006180P1	XP_006562695.1
OG0000756	Lflavo2a005579P4, Lflavo2a005579P5, Lflavo2a005579P1, Lflavo2a005579P2, Lflavo2a005579P3	XP_016770738.1, XP_006563373.1, XP_016770739.1, XP_026299521.1, XP_016770736.1, XP_016770737.1, XP_026299522.1
OG0000757	Lflavo2a011789P1	XP_006563482.1, XP_006563483.1
OG0000758	Lflavo2a003977P1	XP_016772322.1, XP_006563753.1, XP_006563754.1, XP_026301202.1, XP_026301203.1, XP_006563752.1, XP_016772321.1, XP_394052.4, XP_026301201.1
OG0000759	Lflavo2a006981P1, Lflavo2a006981P2	XP_016770806.2, XP_006564086.2, XP_016770807.2, XP_026299638.1, XP_016770795.1, XP_016770796.1, XP_016770799.1, XP_016770800.1, XP_623663.1, XP_026299639.1, XP_026299643.1, XP_026299640.1, XP_026299641.1, XP_026299642.1
OG0000760	Lflavo2a013014P1	XP_006565070.1, XP_006565069.2, XP_006565073.2, XP_006565071.1, XP_006565072.1
OG0000761	Lflavo2a010473P1	XP_006565727.1, XP_006565726.1, XP_006565728.1, XP_006565729.1
OG0000762	Lflavo2a007932P1	XP_006566329.1, XP_016770587.1, XP_026299815.1
OG0000763	Lflavo2a003404P5, Lflavo2a003404P4, Lflavo2a003404P7, Lflavo2a003404P6	XP_393811.1, XP_006566415.1, XP_016770324.1, XP_016770325.1, XP_006566416.1, XP_006566417.1, XP_016770326.1
OG0000764	Lflavo2a014077P1	XP_016770208.1, XP_016770209.1, XP_026299423.1, XP_393817.4, XP_006566441.1, XP_006566443.1, XP_006566444.1
OG0000765	Lflavo2a005780P1	XP_016770728.1, XP_006566724.1, XP_016770727.1, XP_006566719.1, XP_006566721.1, XP_016770725.1, XP_016770726.1
OG0000766	Lflavo2a007235P2, Lflavo2a007235P4, Lflavo2a007235P1, Lflavo2a007235P3	XP_006567254.1, XP_006567252.1, XP_026295861.1, XP_026295862.1, XP_026295863.1, XP_026295864.1
OG0000767	Lflavo2a000846P1	XP_395193.1
OG0000767	Lflavo2a002526P1, Lflavo2a002526P2	XP_006567401.1
OG0000768	Lflavo2a005549P1	XP_006567820.1, XP_006567823.1, XP_006567824.1, XP_006567825.1, XP_016767792.1, XP_016767795.1, XP_026296835.1
OG0000770	Lflavo2a000611P1, Lflavo2a000611P2	XP_006568070.1, XP_006568071.1, XP_006568072.1, XP_016769060.1, XP_394934.2, XP_006568073.1
OG0000773	Lflavo2a012288P1	XP_006570740.1, XP_006570737.1, XP_006570738.1, XP_394615.2, XP_006570739.1
OG0000774	Lflavo2a003085P1	XP_026296388.1, XP_026296370.1, XP_026296375.1, XP_026296363.1, XP_026296365.1, XP_026296367.1, XP_026296382.1, XP_006571171.3, XP_026296360.1
OG0000775	Lflavo2a005118P1	XP_016771863.2, XP_006571303.2, XP_006571304.2, XP_016771838.2, XP_016771860.2, XP_016771861.2, XP_016771847.2
OG0000776	Lflavo2a001451P1, Lflavo2a001471P1, Lflavo2a001500P1	XP_026294836.1, XP_026294834.1, XP_026294835.1, XP_006572184.2, XP_026294928.1
OG0000776	Lflavo2a001433P1, Lflavo2a001426P1, Lflavo2a001534P1	XP_026294841.1
OG0000777	Lflavo2a008204P3, Lflavo2a008204P4, Lflavo2a008204P2, Lflavo2a008204P1	XP_016766438.1
OG0000778	Lflavo2a003515P1, Lflavo2a003515P4, Lflavo2a003515P2, Lflavo2a003515P3	XP_016768249.1, XP_016768247.1, XP_016768248.1, XP_016768250.1, XP_016768251.1, XP_016768252.1
OG0000779	Lflavo2a007121P1	XP_016769849.1
OG0000780	Lflavo2a006678P1	XP_016770931.1, XP_016770936.1, XP_026300075.1, XP_016770933.1, XP_016770934.1, XP_016770935.1, XP_016770932.1
OG0000781	Lflavo2a007016P1	XP_026294964.1, XP_026294965.1
OG0000782	Lflavo2a007640P1	XP_026295523.1, XP_026295524.1
OG0000782	Lflavo2a007597P1	XP_026295525.1
OG0000783	Lflavo2a003524P3	XP_026295886.1, XP_026295881.1, XP_026295884.1, XP_026295882.1, XP_026295885.1
OG0000784	Lflavo2a009852P1	XP_026296916.1
OG0000785	Lflavo2a000101P1, Lflavo2a008889P1	XP_026297199.1
OG0000786	Lflavo2a007952P1	XP_026297277.1, XP_026297269.1, XP_026297270.1, XP_026297272.1, XP_026297276.1, XP_026297286.1, XP_026297250.1, XP_026297258.1, XP_026297265.1, XP_026297266.1, XP_026297279.1
OG0000787	Lflavo2a010726P1	XP_026297408.1, XP_026297407.1, XP_026297406.1
OG0000788	Lflavo2a005041P1	XP_026297548.1, XP_026297549.1, XP_026297550.1, XP_026297551.1
OG0000789	Lflavo2a009117P1	XP_026297636.1, XP_026297637.1, XP_026297638.1, XP_026297639.1, XP_026297631.1, XP_026297632.1, XP_026297633.1, XP_026297634.1, XP_026297635.1
OG0000790	Lflavo2a006445P1	XP_026298088.1, XP_026298093.1
OG0000791	Lflavo2a000275P2, Lflavo2a000275P1, Lflavo2a000275P3	XP_026298325.1, XP_026298324.1, XP_026298323.1, XP_026298322.1, XP_026298326.1, XP_026298321.1
OG0000792	Lflavo2a009299P1	XP_026298975.1, XP_026298976.1
OG0000793	Lflavo2a011255P1	XP_026299833.1, XP_026299841.1, XP_026299834.1, XP_026299835.1, XP_026299836.1, XP_026299837.1, XP_026299838.1, XP_026299839.1, XP_026299840.1
OG0000794	Lflavo2a011538P1	XP_026299951.1, XP_026299950.1, XP_026299949.1
OG0000795	Lflavo2a004586P1, Lflavo2a004586P4	XP_026300008.1, XP_026300004.1, XP_026300005.1, XP_026300006.1, XP_026300007.1
OG0000796	Lflavo2a011039P1	XP_026300166.1, XP_026300167.1, XP_624348.3
OG0000797	Lflavo2a014237P1, Lflavo2a014237P2, Lflavo2a014237P3	XP_026300541.1, XP_026300542.1, XP_026300539.1, XP_026300540.1
OG0000798	Lflavo2a012508P1	XP_026300580.1
OG0000799	Lflavo2a006001P1	XP_026301553.1, XP_026301555.1, XP_026301556.1, XP_026301554.1
OG0000800	Lflavo2a006672P1, Lflavo2a006672P2	XP_026301789.1, XP_026301791.1, XP_026301788.1, XP_026301793.1, XP_026301794.1, XP_026301792.1, XP_026301790.1
OG0000805	Lflavo2a011159P1	NP_001071282.1, XP_006557941.1
OG0000805	Lflavo2a006132P1	NP_001071287.1, XP_016768084.1
OG0000805	Lflavo2a011165P1	NP_001011583.1
OG0000806	Lflavo2a012571P1	NP_001011624.1, XP_026299318.1, XP_006566306.1, XP_006566307.1
OG0000806	Lflavo2a010942P1	XP_026295979.1, XP_006567347.2, XP_395227.5
OG0000807	Lflavo2a009830P1, Lflavo2a009830P2, Lflavo2a009830P3	XP_016771174.1, XP_006560367.1, NP_001124509.1, XP_006560365.1, XP_016771173.1, XP_016771175.1
OG0000808	Lflavo2a009958P1, Lflavo2a009958P2, Lflavo2a009958P3	XP_026299344.1, XP_026299345.1, XP_026299346.1, XP_026299348.1, NP_001229452.1, XP_026299347.1
OG0000809	Lflavo2a000695P1	XP_026295129.1, XP_026295125.1, XP_026295128.1, XP_026295133.1, XP_026295130.1, XP_026295132.1, XP_026295131.1, NP_001229503.1, XP_026295126.1
OG0000811	Lflavo2a000941P1	NP_001314884.1, XP_026301054.1
OG0000812	Lflavo2a009600P1	XP_001120198.1, XP_016767133.1
OG0000813	Lflavo2a000409P1	XP_001120512.5, XP_026302033.1, XP_026302034.1
OG0000814	Lflavo2a006259P1	XP_394342.1
OG0000814	Lflavo2a007857P1	XP_001120755.1, XP_006568271.1, XP_006568272.1, XP_006568273.1, XP_016766288.1
OG0000815	Lflavo2a002985P1	XP_003250578.1, XP_016771427.1
OG0000815	Lflavo2a012936P1	XP_001120949.1
OG0000817	Lflavo2a005520P1	XP_003249178.1, XP_026300428.1, XP_006557931.1
OG0000818	Lflavo2a010853P1	XP_003249585.1, XP_006559976.1
OG0000819	Lflavo2a003240P1	XP_003249767.1, XP_392285.1
OG0000820	Lflavo2a006506P1	XP_394542.4, XP_006562217.1, XP_003250016.1, XP_006562218.1
OG0000821	Lflavo2a002834P1	XP_003250470.1, XP_623279.1
